# Rigaku 3M pixels above 0.5 counts/frame, no beam, 20 us exposure
# 6 keV = A0163 (mean of 10 repeats); 7 keV = A0165 (mean of 10)
row,col,cts_per_frame_6keV,cts_per_frame_7keV,cts_per_s_6keV,cts_per_s_7keV
855,635,2.1204,1.3649,106021,68243
1360,831,2.0029,1.7703,100146,88514
931,486,1.9869,0.1049,99346,5243
1613,1610,1.8924,0.5600,94619,28002
1194,1131,1.8761,1.4989,93803,74947
5,2061,1.8734,1.6618,93668,83091
897,1392,1.8729,1.1339,93643,56694
319,1005,1.8718,0.0920,93589,4598
97,1443,1.8717,1.1677,93586,58383
819,586,1.8577,1.4536,92884,72681
830,1339,1.8569,1.6047,92844,80234
948,1120,1.8538,1.0067,92689,50334
964,1081,1.8437,1.1829,92186,59144
696,1336,1.8412,1.2703,92061,63513
1401,857,1.8408,1.4516,92039,72580
1559,1720,1.8397,1.2893,91987,64464
475,1258,1.8382,0.9394,91908,46970
1198,860,1.8333,1.1259,91666,56294
1251,1016,1.8313,1.5011,91567,75055
1058,684,1.8305,1.7875,91523,89376
0,1165,1.8232,1.1515,91160,57575
1665,1667,1.8228,1.5084,91140,75422
837,1318,1.8146,1.3544,90731,67720
192,1323,1.8110,0.1471,90552,7357
1234,819,1.8051,1.4299,90254,71494
295,1121,1.7977,1.4522,89887,72609
1340,1366,1.7860,0.9713,89300,48564
1465,998,1.7858,1.3866,89292,69330
1554,1571,1.7806,0.2033,89028,10164
1259,1769,1.7806,1.3166,89028,65831
28,2062,1.7771,1.5005,88857,75027
268,970,1.7715,1.2759,88574,63796
1437,912,1.7619,1.2391,88095,61955
817,591,1.7563,0.3591,87814,17957
895,1540,1.7482,1.1982,87409,59908
211,1885,1.7478,1.2829,87390,64144
1011,2067,1.7468,1.1646,87339,58230
771,1239,1.7408,1.4017,87042,70087
1431,1340,1.7382,1.5145,86909,75724
764,1433,1.7357,1.2459,86786,62294
1470,1675,1.7306,1.5360,86530,76799
1567,974,1.7209,0.1199,86045,5997
1528,1657,1.7166,1.3903,85829,69515
1295,1113,1.7133,0.5799,85664,28993
1166,2067,1.7066,1.7533,85331,87667
382,2052,1.7058,1.2724,85289,63622
1559,1131,1.7041,1.5305,85206,76523
1201,946,1.6927,1.1015,84637,55077
1237,1371,1.6911,1.5804,84553,79022
1626,1940,1.6851,0.6349,84255,31743
833,1180,1.6850,1.5467,84251,77337
1037,1398,1.6820,0.8468,84101,42342
590,1125,1.6694,0.3560,83472,17799
219,1276,1.6618,0.4245,83092,21225
1259,848,1.6532,1.3646,82659,68230
1267,1804,1.6512,1.5111,82559,75555
661,1997,1.6475,0.3746,82373,18729
1463,690,1.6458,0.2701,82289,13504
1585,851,1.6420,1.1868,82098,59341
366,966,1.6356,0.3076,81780,15379
1056,1396,1.6210,1.0875,81049,54373
1245,1785,1.6136,1.3183,80681,65916
1276,1390,1.6072,1.1144,80361,55720
487,1185,1.6017,1.8364,80086,91821
3,1146,1.6007,0.2101,80034,10503
669,1829,1.5972,0.4712,79862,23558
1457,2067,1.5934,1.4745,79668,73723
237,2014,1.5870,0.1847,79349,9234
991,935,1.5808,1.5247,79039,76235
611,535,1.5664,0.3108,78322,15540
962,492,1.5417,1.3182,77085,65908
1070,2006,1.5397,1.8502,76987,92511
902,1578,1.5313,1.1619,76566,58093
1569,1287,1.5240,0.1454,76200,7272
235,1883,1.5232,1.4093,76161,70467
389,1250,1.5204,1.3692,76022,68459
1194,1932,1.5119,1.9495,75593,97477
1381,818,1.5118,1.2766,75590,63830
80,1460,1.5066,1.2659,75331,63296
1345,1602,1.5061,1.4976,75306,74882
1357,1986,1.5049,1.4974,75243,74868
1188,1389,1.5038,1.5002,75192,75009
995,1709,1.5038,1.5008,75192,75039
1259,2063,1.5020,1.9229,75100,96147
912,1982,1.5008,1.4921,75042,74604
794,1617,1.5007,1.3902,75037,69511
148,1993,1.5001,1.4189,75006,70947
1004,1081,1.4993,1.4998,74966,74989
1464,996,1.4990,1.4956,74949,74778
1204,532,1.4982,1.5052,74911,75258
1560,957,1.4980,1.8227,74898,91137
591,1359,1.4971,1.7453,74857,87267
773,1578,1.4970,1.7693,74852,88465
1490,1446,1.4957,1.5063,74787,75316
1075,1384,1.4943,1.5188,74714,75941
261,905,1.4940,1.8385,74700,91924
412,1591,1.4916,1.4224,74582,71119
118,1257,1.4910,1.5380,74551,76901
872,1377,1.4887,1.7040,74433,85202
718,833,1.4884,0.5703,74419,28513
1208,2050,1.4829,0.3948,74144,19738
802,1381,1.4778,1.1873,73891,59367
1667,1323,1.4629,1.0225,73143,51123
965,1920,1.4620,0.2654,73099,13271
1023,1141,1.4505,0.2279,72525,11393
682,851,1.4504,0.4370,72521,21850
1343,703,1.4494,0.5461,72469,27307
300,1627,1.4356,0.7913,71780,39567
419,925,1.4208,0.4844,71039,24218
108,837,1.4154,0.1667,70770,8335
1457,969,1.4122,0.4975,70612,24873
356,2060,1.4022,0.7618,70109,38090
854,1838,1.3983,0.8573,69917,42863
1424,672,1.3931,1.0451,69655,52254
161,834,1.3795,0.2339,68976,11695
444,1648,1.3776,0.5207,68878,26033
1023,1626,1.3683,0.2779,68413,13893
276,845,1.3595,0.5415,67977,27075
1465,858,1.3522,0.3400,67608,16998
1003,1456,1.3517,0.4310,67584,21549
1400,802,1.3500,1.1473,67502,57363
477,663,1.3470,0.0533,67350,2666
333,1821,1.3367,0.6108,66837,30538
137,2033,1.3291,1.3119,66453,65597
458,1654,1.3258,0.8495,66289,42473
1479,1133,1.3230,0.0938,66151,4688
161,1510,1.3206,0.8207,66032,41033
1574,960,1.3182,0.1157,65909,5783
1353,1460,1.3157,0.4732,65785,23659
1499,1952,1.3096,0.0107,65480,535
720,593,1.3083,0.8143,65416,40713
1261,1531,1.3032,1.7176,65162,85879
807,1389,1.2779,0.0291,63895,1454
111,1898,1.2720,1.5519,63601,77593
884,1822,1.2720,0.7597,63598,37987
880,814,1.2696,0.4908,63479,24542
950,1111,1.2612,0.0121,63062,605
30,743,1.2550,0.3927,62752,19635
1363,1738,1.2391,0.2619,61953,13093
962,704,1.2301,1.1061,61503,55303
181,1284,1.2264,0.4216,61319,21081
714,1423,1.2119,0.0011,60597,53
153,2040,1.2060,1.4360,60301,71798
922,841,1.1862,0.0925,59312,4623
722,1134,1.1837,1.3673,59186,68363
902,2052,1.1811,0.2261,59056,11305
972,1521,1.1785,1.5757,58924,78783
747,1385,1.1779,0.1602,58895,8012
125,1605,1.1721,0.0481,58606,2403
853,1980,1.1663,0.0341,58317,1707
1617,1156,1.1599,0.0135,57993,674
204,1673,1.1587,0.2233,57933,11164
177,1688,1.1366,0.1283,56832,6413
767,1399,1.1354,1.4656,56770,73279
166,1645,1.1117,0.0495,55587,2475
117,1763,1.1054,0.4641,55269,23205
901,1768,1.0760,0.0185,53798,927
1059,457,1.0662,0.0416,53312,2080
146,1388,1.0649,0.5748,53246,28739
1307,718,1.0217,0.0446,51083,2230
942,615,1.0143,0.0014,50714,72
1408,1410,1.0135,0.0207,50673,1034
1273,922,1.0114,0.0097,50570,486
444,1115,1.0102,0.0442,50508,2211
1322,955,0.9868,0.0275,49340,1376
393,1158,0.9837,0.0147,49187,736
433,1546,0.9428,0.0025,47140,126
1491,683,0.8900,0.0034,44502,169
318,1754,0.8879,0.0045,44397,224
1536,1694,0.7846,0.2429,39229,12146
1009,1402,0.7654,0.0056,38269,279
1621,1657,0.7496,0.0153,37482,765
1614,936,0.7380,0.0065,36898,325
122,1534,0.7213,0.0053,36067,265
1421,1514,0.7205,0.2318,36026,11591
1531,828,0.7055,0.0004,35274,21
1575,807,0.6372,0.0022,31858,110
1388,1778,0.6140,0.0144,30698,719
419,1151,0.6000,0.0033,30000,167
962,1389,0.5704,0.0001,28522,6
184,2049,0.5549,0.0011,27745,54
746,1157,0.5535,0.0022,27677,108
1041,1999,0.5513,0.0943,27564,4716
252,1524,0.5255,0.0073,26276,365
973,1153,0.5236,0.0030,26180,151
179,1975,0.5036,0.0160,25180,802
1276,1935,0.5029,0.0002,25146,11
325,1998,0.0000,0.5999,0,29997
