,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,1,1782436913.93378,-0.39901881744244505,47.5816897778511,1.099210100620829,0.00024292838313101943,48.28212398941271,131.7600216674805,131.7600003051758,1782436913.703204,1782436913.703643,1782436913.703877,1782436913.704184,1782436913.70463,1782436913.767269,1782436913.196831
1,3,1782436914.9441543,-0.3991083456885581,47.60298233743846,1.0993500968449943,0.000200592075301004,48.30342468066998,131.9636868286133,131.96339013568428,1782436914.891697,1782436914.891907,1782436914.892203,1782436914.892397,1782436914.892662,1782436914.913247,1782436914.76277
2,4,1782436915.3309708,-0.3990849702257097,47.62853936698675,1.0991771063621902,0.00027064264396552357,48.32890214576722,132.06555145263675,132.0650850509385,1782436915.245098,1782436915.245384,1782436915.245639,1782436915.245948,1782436915.246155,1782436915.319228,1782436915.123942
3,7,1782436916.9796946,-0.39909080999568936,47.599583273361475,1.0993589814040758,7.934199794835095e-05,48.29993078676769,132.37044921875003,132.37016979670122,1782436916.941348,1782436916.941612,1782436916.941837,1782436916.942159,1782436916.942525,1782436916.938258,1782436916.695213
4,17,1782436920.2906122,-0.39896573079078707,47.5171775674086,1.0991897547571141,0.0002449065899780076,48.21764649796478,133.3875378417969,133.3871189492436,1782436920.25573,1782436920.256185,1782436920.256426,1782436920.256729,1782436920.257157,1782436920.276201,1782436920.03297
5,22,1782436922.013612,-0.3990577134977337,47.3684275524967,1.0992541212651947,0.0003277022925151426,48.06895166255665,133.89604583740237,133.89559352551478,1782436922.003626,1782436922.003939,1782436922.004159,1782436922.004441,1782436922.004894,1782436922.006265,1782436921.762742
6,27,1782436923.8294806,-0.3989034294855067,47.47528209182231,1.0992027263623176,0.0002147329771070743,48.17579612167616,134.40437133789064,134.40406810178595,1782436923.75591,1782436923.756442,1782436923.756718,1782436923.757029,1782436923.757337,1782436923.788296,1782436923.496923
7,32,1782436925.8852365,-0.39894672510226237,47.54774531192391,1.1025647567167007,0.0002386174414027179,48.2516019609797,134.91293060302738,134.91254267805715,1782436925.827404,1782436925.827601,1782436925.827894,1782436925.82977,1782436925.830029,1782436925.87726,1782436925.58576
8,37,1782436927.8612216,-0.3989855824342612,47.500758687777285,86.75777053871235,0.0003670280912805763,133.8599106721466,135.42140625000002,135.42101725432835,1782436927.803454,1782436927.804103,1782436927.804454,1782436927.804906,1782436927.805269,1782436927.849207,1782436927.55808
9,41,1782436929.5162847,-0.3989336291835105,47.51620342722191,40.34354542469349,0.00036017735838200684,87.46117540009013,135.82825103759768,135.8277969153453,1782436929.418998,1782436929.419323,1782436929.419511,1782436929.419756,1782436929.420248,1782436929.500208,1782436929.217221
