,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782776608.3204732,50.982185,50.98221,5178409.0,687977574.0,105865789.0,1782776608.078699,1782776605.855932,1782772333.229316,1782772333.231552,1782772333.22913
1,2,1782776609.193311,51.03487500000001,51.03484157894737,0.0,1174219.0,0.0,1782776609.164098,1782776608.483761,1782776609.146501,1782776609.150627,1782776609.146669
2,3,1782776610.3229208,51.087520000000005,51.08747315789474,0.0,1174670.0,0.0,1782776610.273888,1782776609.253454,1782776609.146501,1782776610.233361,1782776609.146669
3,4,1782776611.006022,51.140075,51.140104736842105,0.0,1174670.0,0.0,1782776610.966474,1782776610.413007,1782776609.146501,1782776610.233361,1782776609.146669
4,5,1782776612.522374,51.19277,51.192736315789475,0.0,1176129.0,0.0,1782776612.479193,1782776611.102728,1782776609.146501,1782776611.364709,1782776609.146669
5,6,1782776613.32455,51.245380000000004,51.245367894736845,0.0,1176129.0,0.0,1782776613.290898,1782776612.614614,1782776609.146501,1782776611.364709,1782776609.146669
6,7,1782776613.980932,51.298025,51.297999473684214,0.0,1168814.0,0.0,1782776613.935862,1782776613.383595,1782776609.146501,1782776613.546668,1782776609.146669
7,8,1782776614.6457791,51.35067,51.350631052631584,0.0,1168814.0,0.0,1782776614.594945,1782776614.03899,1782776609.146501,1782776613.546668,1782776609.146669
8,9,1782776615.3089828,51.40325000000001,51.40326263157895,0.0,1170905.0,0.0,1782776615.270254,1782776614.717499,1782776609.146501,1782776614.986685,1782776609.146669
9,10,1782776616.481487,51.455940000000005,51.45589421052632,0.0,1170432.0,0.0,1782776616.445676,1782776615.423282,1782776609.146501,1782776616.313168,1782776609.146669
10,11,1782776617.149334,51.50856,51.50852578947369,0.0,1170432.0,0.0,1782776617.102066,1782776616.543512,1782776609.146501,1782776616.313168,1782776609.146669
11,12,1782776618.085433,51.56115500000001,51.56115736842106,0.0,1173496.0,0.0,1782776618.045001,1782776617.250516,1782776609.146501,1782776617.490905,1782776609.146669
12,13,1782776618.7489405,51.613775000000004,51.61378894736842,0.0,1173496.0,0.0,1782776618.704803,1782776618.141617,1782776609.146501,1782776617.490905,1782776609.146669
13,14,1782776619.6667502,51.666405000000005,51.66642052631579,0.0,1169771.0,0.0,1782776619.63234,1782776618.841017,1782776609.146501,1782776619.087677,1782776609.146669
14,15,1782776620.3204613,51.719060000000006,51.71905210526316,0.0,1169771.0,0.0,1782776620.283974,1782776619.728426,1782776609.146501,1782776619.087677,1782776609.146669
15,16,1782776621.2519588,51.771725,51.77168368421053,0.0,1172579.0,0.0,1782776621.214643,1782776620.423386,1782776609.146501,1782776620.679101,1782776609.146669
16,17,1782776621.8881185,51.82432000000001,51.8243152631579,0.0,1172579.0,0.0,1782776621.86145,1782776621.305676,1782776609.146501,1782776620.679101,1782776609.146669
17,18,1782776622.7694247,51.876995,51.87694684210526,0.0,1172434.0,0.0,1782776622.736076,1782776621.9463,1782776609.146501,1782776622.269845,1782776609.146669
18,19,1782776623.78229,51.929610000000004,51.92957842105263,0.0,1172434.0,0.0,1782776623.751235,1782776622.846869,1782776609.146501,1782776622.269845,1782776609.146669
19,20,1782776624.450862,51.982255,51.98221,0.0,1172304.0,0.0,1782776624.413493,1782776623.849883,1782776609.146501,1782776623.785327,1782776609.146669
