,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782776817.1111698,50.23216000000001,50.23217,0.0,1173516.0,0.0,1782776816.986572,1782776814.6892,1782776609.146501,1782776790.184515,1782776609.146669
1,2,1782776817.7147155,50.271685000000005,50.27164368421053,0.0,1173516.0,0.0,1782776817.701558,1782776817.246132,1782776609.146501,1782776790.184515,1782776609.146669
2,3,1782776818.4441793,50.311145,50.31111736842106,383.0,1769896.0,573247.0,1782776818.399921,1782776817.950185,1782776818.060485,1782776818.062996,1782776818.060942
3,4,1782776819.1522863,50.350635000000004,50.350591052631586,383.0,1769896.0,573247.0,1782776819.104728,1782776818.65083,1782776818.060485,1782776818.062996,1782776818.060942
4,5,1782776820.3989697,50.390105000000005,50.390064736842106,345.0,1766168.0,571354.0,1782776820.361895,1782776819.209991,1782776819.447277,1782776819.448445,1782776819.447337
5,6,1782776820.9791334,50.429545000000005,50.429538421052634,345.0,1766168.0,571354.0,1782776820.944625,1782776820.492071,1782776819.447277,1782776819.448445,1782776819.447337
6,7,1782776821.52235,50.46904000000001,50.46901210526316,361.0,1762136.0,571655.0,1782776821.485427,1782776821.038815,1782776821.406683,1782776821.40801,1782776821.406615
7,8,1782776822.4408312,50.50851,50.50848578947369,361.0,1762136.0,571655.0,1782776822.390517,1782776821.585082,1782776821.406683,1782776821.40801,1782776821.406615
8,9,1782776823.0023546,50.54797000000001,50.547959473684216,350.0,1764242.0,571283.0,1782776822.966467,1782776822.518595,1782776822.530423,1782776822.532741,1782776822.530339
9,10,1782776823.896369,50.58744,50.58743315789474,350.0,1764242.0,571283.0,1782776823.850892,1782776823.059475,1782776822.530423,1782776822.532741,1782776822.530339
10,11,1782776824.4400976,50.626940000000005,50.626906842105264,340.0,1765287.0,571789.0,1782776824.412394,1782776823.963231,1782776824.015017,1782776824.016275,1782776824.015001
11,12,1782776825.5809546,50.666415,50.66638052631579,350.0,1767101.0,572013.0,1782776825.549383,1782776824.517385,1782776825.456983,1782776825.459384,1782776825.456678
12,13,1782776826.1332183,50.705875000000006,50.70585421052632,350.0,1767101.0,572013.0,1782776826.086456,1782776825.638826,1782776825.456983,1782776825.459384,1782776825.456678
13,14,1782776827.1575959,50.74533,50.745327894736846,374.0,1766270.0,571456.0,1782776827.117038,1782776826.191168,1782776826.591669,1782776826.592943,1782776826.591594
14,15,1782776827.7010524,50.784780000000005,50.78480157894737,374.0,1766270.0,571456.0,1782776827.671697,1782776827.219034,1782776826.591669,1782776826.592943,1782776826.591594
15,16,1782776828.6220112,50.824255,50.8242752631579,411.0,1765892.0,570771.0,1782776828.581623,1782776827.773588,1782776828.163962,1782776828.164968,1782776828.163983
16,17,1782776829.1595018,50.863760000000006,50.86374894736842,411.0,1765892.0,570771.0,1782776829.132245,1782776828.678327,1782776828.163962,1782776828.164968,1782776828.163983
17,18,1782776830.1917686,50.90326,50.90322263157895,345.0,1766036.0,571860.0,1782776830.156804,1782776829.230857,1782776829.62887,1782776829.630151,1782776829.628786
18,19,1782776831.302215,50.942730000000005,50.942696315789476,316.0,1763900.0,569301.0,1782776831.289206,1782776830.251478,1782776831.201828,1782776831.204021,1782776831.201397
19,20,1782776831.8552818,50.982185,50.98217,316.0,1763900.0,569301.0,1782776831.808975,1782776831.358802,1782776831.201828,1782776831.204021,1782776831.201397
