,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,7,1782437010.75223,-0.3990707826080545,47.56512343663205,1.0992885945459876,0.00029202008858986953,48.26563326865852,42.17062866210937,42.170169186349646,1782437010.714132,1782437010.714426,1782437010.714637,1782437010.714955,1782437010.715178,1782437010.737259,1782437010.583184
1,9,1782437011.2161505,-0.3989654552596873,47.564902989005695,1.0993186635281726,0.00028002720958000203,48.26553622448376,42.37401641845703,42.37355901685812,1782437011.189516,1782437011.189802,1782437011.190042,1782437011.190702,1782437011.191036,1782437011.200285,1782437011.046659
2,13,1782437012.2046585,-0.39907275302776496,47.407271020066624,1.099270295184233,0.0001977439341176888,48.10766630615725,42.78082824707031,42.780338677875065,1782437012.141299,1782437012.141629,1782437012.142032,1782437012.142291,1782437012.142441,1782437012.183295,1782437012.029223
3,16,1782437012.9903698,-0.3990964099791435,47.484394920052765,54.62822935889788,0.00028048303133841926,101.71380835200276,43.08564697265625,43.08542342363778,1782437012.932042,1782437012.932444,1782437012.93275,1782437012.933101,1782437012.933747,1782437012.983237,1782437012.782714
4,31,1782437016.9134443,-0.39902982528226255,47.82815767168241,75.31982476501982,0.00018899543350596996,122.74914160685337,44.61106323242188,44.61084715245134,1782437016.841421,1782437016.841776,1782437016.842067,1782437016.842962,1782437016.843325,1782437016.883275,1782437016.682898
5,2,1782437009.1075513,-0.3990134676710179,47.698449565253256,1.099482029196091,0.0002432069408722747,48.39916133371925,41.66208160400391,41.661694610078456,1782437009.040679,1782437009.040907,1782437009.04125,1782437009.042874,1782437009.04304,1782437009.085246,1782437008.933141
6,11,1782437011.705104,-0.39898700328112624,47.64278505008507,1.0992783054371642,0.00025727634122604386,48.343333628582315,42.577415771484375,42.576948847366594,1782437011.666877,1782437011.667233,1782437011.66756,1782437011.667851,1782437011.668231,1782437011.675281,1782437011.520302
7,15,1782437012.7361042,-0.3990082221546018,47.52995906120484,1.4683714945229107,0.00028947284935165366,48.59961180642243,42.98394836425781,42.98372850838354,1782437012.651567,1782437012.65192,1782437012.652158,1782437012.652396,1782437012.652746,1782437012.719231,1782437012.519031
8,18,1782437013.5138218,-0.39913431114375386,47.72161592966444,70.16425645205783,0.00023790242687970927,117.4869759730056,43.28902954101562,43.288813254146255,1782437013.445973,1782437013.446458,1782437013.446706,1782437013.446997,1782437013.447525,1782437013.50024,1782437013.300273
9,22,1782437014.4957652,-0.3990162244713834,47.758905837273,80.2606738363977,0.000301057574237971,127.62086450677336,43.69608337402344,43.6955929151632,1782437014.419381,1782437014.419609,1782437014.419822,1782437014.420106,1782437014.420382,1782437014.481277,1782437014.328547
10,25,1782437015.344137,-0.3989747279982469,47.86045324894496,85.51697186789569,0.000242211878994422,132.97869260072127,44.00086120605469,44.000677660925916,1782437015.239435,1782437015.239695,1782437015.239935,1782437015.240174,1782437015.241028,1782437015.32324,1782437015.123068
11,29,1782437016.3729722,-0.39911654757921783,47.94120410818918,80.22356160771373,0.0002261225626131545,127.76587529088624,44.40794921875,44.407457321942864,1782437016.33658,1782437016.336782,1782437016.336983,1782437016.338011,1782437016.338356,1782437016.357344,1782437016.202319
12,32,1782437017.1867065,-0.39900810002730336,47.74229778974624,71.43800977410166,0.00024936798267885925,118.78154883180302,44.712750549316404,44.71254206770558,1782437017.109791,1782437017.110198,1782437017.110623,1782437017.11089,1782437017.111156,1782437017.174286,1782437016.973755
13,36,1782437018.0923638,-0.3990151059640505,47.588726227763026,80.60596607515484,0.00015764651551284267,127.79583484346935,45.11979888916016,45.119321728722525,1782437018.066345,1782437018.066968,1782437018.067528,1782437018.067855,1782437018.068171,1782437018.076237,1782437017.92159
14,5,1782437010.18844,-0.3990528239377127,47.65238792743096,1.099207506001897,0.0003933436049544457,48.35293595310006,41.96724243164063,41.96677935584117,1782437010.129225,1782437010.129481,1782437010.129748,1782437010.130613,1782437010.132017,1782437010.171283,1782437010.018812
15,10,1782437011.4736524,-0.3989722601331977,47.52807482980372,1.0995040968620342,0.00029382698987405416,48.22890049352264,42.47544769287109,42.47525393211236,1782437011.417165,1782437011.417528,1782437011.417745,1782437011.418036,1782437011.418514,1782437011.461235,1782437011.260604
16,14,1782437012.4694839,-0.39900503046190466,47.56079491769806,1.0994656944166363,0.0002895622261670302,48.26154514387897,42.88226348876953,42.88203359312931,1782437012.383771,1782437012.384101,1782437012.384356,1782437012.384628,1782437012.385109,1782437012.451277,1782437012.251838
17,17,1782437013.2525873,-0.3990748470641306,47.656905614260396,80.01340840541879,0.000309444098747418,127.27154861671372,43.18734497070312,43.18711833889202,1782437013.194618,1782437013.194944,1782437013.195149,1782437013.19538,1782437013.195822,1782437013.23429,1782437013.032624
18,21,1782437014.2356594,-0.3989411757569569,47.700788097505956,76.48406397186544,0.00027060391401219347,123.78618149752833,43.594392700195314,43.59389799990897,1782437014.206265,1782437014.206573,1782437014.206959,1782437014.207246,1782437014.207798,1782437014.223242,1782437014.068452
19,24,1782437015.0591774,-0.39890192523463075,47.87236784734554,82.02412126941522,0.0003373400924398529,129.4979245316183,43.89917663574219,43.89898274567168,1782437014.967694,1782437014.968204,1782437014.968485,1782437014.968802,1782437014.969472,1782437015.018234,1782437014.817065
20,28,1782437016.1583292,-0.3990268003975811,47.91700551266257,72.44745048557199,0.00013112692477719784,119.9655603247617,44.30597412109375,44.30576240668863,1782437016.072362,1782437016.072573,1782437016.07282,1782437016.073068,1782437016.073479,1782437016.13226,1782437015.930698
21,39,1782437018.8919191,-0.3991292383927848,47.7638673983772,85.436413504842,0.0003401197113980464,132.80149178453794,45.42462188720703,45.42440647448524,1782437018.810683,1782437018.810959,1782437018.811218,1782437018.81145,1782437018.811644,1782437018.876276,1782437018.676614
22,43,1782437019.9334548,-0.3991713574172729,47.71758531292845,30.28611771712435,0.0002471261142265118,77.60477879874978,45.831402893066404,45.831186135502186,1782437019.878238,1782437019.878584,1782437019.878807,1782437019.880697,1782437019.880882,1782437019.925287,1782437019.725426
23,50,1782437021.5831714,-0.3990125934182818,47.79854470371093,1.0991259482815956,0.00039469617409380224,48.499052754748426,46.54353668212891,46.54305054228185,1782437021.471543,1782437021.472014,1782437021.472258,1782437021.472575,1782437021.472798,1782437021.568286,1782437021.414484
24,54,1782437022.6237013,-0.3990515475585043,47.86885111190061,1.0990511749982756,0.0003960412951652109,48.56924678063555,46.95004638671875,46.949830203298795,1782437022.540973,1782437022.541492,1782437022.541724,1782437022.541943,1782437022.542446,1782437022.591271,1782437022.391245
25,57,1782437023.374353,-0.3989749618273421,47.80971007808428,1.0991581039808425,0.00036362730345552004,48.510256847541264,47.25541198730469,47.25491494906151,1782437023.342481,1782437023.34294,1782437023.343171,1782437023.343496,1782437023.343728,1782437023.356282,1782437023.204247
26,4,1782437009.7488601,-0.39897514055021904,47.849639399165184,1.0991927515270856,0.00031749992903997364,48.55017451007104,41.86549926757812,41.865084440586934,1782437009.717396,1782437009.717733,1782437009.718042,1782437009.718328,1782437009.718532,1782437009.736273,1782437009.582136
27,6,1782437010.397141,-0.3989692814185944,47.58966610919693,1.0992694357725623,0.0002717270826587512,48.290237990633706,42.068968505859374,42.068474271095404,1782437010.382105,1782437010.382478,1782437010.382785,1782437010.383182,1782437010.383594,1782437010.38627,1782437010.234098
