,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782776880.2298949,50.749975000000006,50.749965,316.0,1763900.0,569301.0,1782776880.08656,1782776879.099106,1782776831.201828,1782776831.204021,1782776831.201397
1,2,1782776880.8923748,50.781255,50.781215,316.0,1763900.0,569301.0,1782776880.856624,1782776880.403403,1782776831.201828,1782776831.204021,1782776831.201397
2,3,1782776881.8932884,50.812490000000004,50.812465,302.0,1778295.0,571130.0,1782776881.855867,1782776881.169946,1782776881.164835,1782776881.167753,1782776881.165078
3,4,1782776882.455176,50.84371,50.843715,302.0,1778295.0,571130.0,1782776882.410174,1782776881.95832,1782776881.164835,1782776881.167753,1782776881.165078
4,5,1782776883.003606,50.874965,50.874965,334.0,1777489.0,573171.0,1782776882.965914,1782776882.511053,1782776882.902965,1782776882.903986,1782776882.90285
5,6,1782776883.9884546,50.906240000000004,50.906215,334.0,1777489.0,573171.0,1782776883.962531,1782776883.592193,1782776882.902965,1782776882.903986,1782776882.90285
6,7,1782776884.5734684,50.937485,50.937465,327.0,1777958.0,572471.0,1782776884.522069,1782776884.069646,1782776884.027406,1782776884.029064,1782776884.027282
7,8,1782776885.0245204,50.968685,50.968715,327.0,1777958.0,572471.0,1782776884.981433,1782776884.635064,1782776884.027406,1782776884.029064,1782776884.027282
8,9,1782776885.5617826,50.999935,50.999965,327.0,1777958.0,572471.0,1782776885.527055,1782776885.078764,1782776884.027406,1782776884.029064,1782776884.027282
9,10,1782776886.1309168,51.03119,51.031215,321.0,1774353.0,569927.0,1782776886.083661,1782776885.630934,1782776885.576392,1782776885.576942,1782776885.576346
10,11,1782776886.6656673,51.062475000000006,51.062465,321.0,1774353.0,569927.0,1782776886.637462,1782776886.189173,1782776885.576392,1782776885.576942,1782776885.576346
11,12,1782776887.2139723,51.09369,51.093715,76.0,1330285.0,127301.0,1782776887.170181,1782776886.726064,1782776887.132877,1782776887.134024,1782776887.132802
12,13,1782776887.801727,51.124975000000006,51.124965,76.0,1330285.0,127301.0,1782776887.775529,1782776887.323825,1782776887.132877,1782776887.134024,1782776887.132802
13,14,1782776888.4040236,51.15619,51.156215,16.0,1199283.0,2842.0,1782776888.364053,1782776887.914958,1782776888.216801,1782776888.217577,1782776888.216877
14,15,1782776888.9508474,51.187495000000006,51.187465,16.0,1199283.0,2842.0,1782776888.915032,1782776888.467136,1782776888.216801,1782776888.217577,1782776888.216877
15,16,1782776889.512164,51.218695000000004,51.218715,12.0,1209309.0,1780.0,1782776889.469346,1782776889.016304,1782776889.410253,1782776889.412599,1782776889.410177
16,17,1782776890.0777473,51.24996,51.249965,12.0,1209309.0,1780.0,1782776890.040015,1782776889.588105,1782776889.410253,1782776889.412599,1782776889.410177
17,18,1782776890.6352224,51.281255,51.281215,11.0,1205469.0,1248.0,1782776890.595451,1782776890.140723,1782776890.521777,1782776890.523202,1782776890.521813
18,19,1782776891.1894822,51.312445000000004,51.312465,11.0,1205469.0,1248.0,1782776891.152039,1782776890.705175,1782776890.521777,1782776890.523202,1782776890.521813
19,20,1782776891.7268436,51.343680000000006,51.343715,8.0,1194881.0,900.0,1782776891.69267,1782776891.248006,1782776891.638828,1782776891.640106,1782776891.63885
20,21,1782776892.264495,51.37495500000001,51.374965,8.0,1194881.0,900.0,1782776892.235091,1782776891.788017,1782776891.638828,1782776891.640106,1782776891.63885
21,22,1782776892.8036325,51.406200000000005,51.406215,7.0,1199043.0,725.0,1782776892.769886,1782776892.323338,1782776892.739228,1782776892.742029,1782776892.740086
22,24,1782776893.948386,51.46870500000001,51.468715,4.0,1204208.0,563.0,1782776893.908865,1782776893.461318,1782776893.814207,1782776893.815293,1782776893.814281
23,23,1782776893.4022477,51.437425000000005,51.437465,7.0,1199043.0,725.0,1782776893.368109,1782776892.919977,1782776892.739228,1782776892.742029,1782776892.740086
24,25,1782776894.6284218,51.50000000000001,51.499965,4.0,1204208.0,563.0,1782776894.577532,1782776894.012617,1782776893.814207,1782776893.815293,1782776893.814281
