,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,8,1782437062.6732318,-0.3989118994604801,47.88245332625173,124.65201169054372,0.0003706865822566333,172.13592380391745,28.252301940917988,28.251862575724992,1782437062.610707,1782437062.611119,1782437062.611459,1782437062.611752,1782437062.612115,1782437062.663307,1782437062.418952
1,15,1782437065.0832696,-0.3990863300089268,47.710638233675944,124.65188809314509,0.0003651899081110101,171.9638051867201,28.964041748046895,28.963726982504653,1782437065.020585,1782437065.020884,1782437065.021118,1782437065.021396,1782437065.021739,1782437065.07426,1782437064.786201
2,17,1782437065.84731,-0.39902797103242116,47.94572626355145,124.65201047813254,0.00034102986530129174,172.19904980051683,29.16743377685549,29.167116813013127,1782437065.833118,1782437065.833397,1782437065.83364,1782437065.833926,1782437065.834225,1782437065.840264,1782437065.550304
3,24,1782437068.5687358,-0.39902049296941,47.647438282414576,124.65194960438097,0.0003001384826531884,171.90066753230857,29.87938690185549,29.878981219792788,1782437068.487243,1782437068.487688,1782437068.487976,1782437068.4882,1782437068.488448,1782437068.53932,1782437068.250389
4,33,1782437072.170301,-0.3990800374743271,47.863409928258086,124.65207235577257,0.0004397972047461154,172.11680978875012,30.794716491699237,30.794235457080923,1782437072.120328,1782437072.014598,1782437072.014944,1782437072.015263,1782437072.015442,1782437072.090317,1782437071.799657
5,36,1782437073.4925234,-0.3990753474881843,47.94627142457356,124.65201456517889,0.0003960293782564953,172.19960667164239,31.099612426757833,31.099320202843636,1782437073.449741,1782437073.450132,1782437073.450488,1782437073.450806,1782437073.451287,1782437073.452351,1782437073.113822
6,40,1782437075.1174304,-0.39917870292748503,47.90654020845402,124.65213449704488,0.0004122363741113403,172.15990823894583,31.50640808105471,31.506099863860584,1782437075.017036,1782437075.01749,1782437075.017751,1782437075.018002,1782437075.018529,1782437075.112267,1782437074.77569
7,42,1782437076.0256448,-0.3991015512405485,47.99870816942868,124.65210186621186,0.0004732643532636538,172.25218174875332,31.70980957031252,31.70948969436906,1782437075.942255,1782437075.943127,1782437075.943356,1782437075.943625,1782437075.943977,1782437075.973267,1782437075.637249
8,49,1782437079.1555088,-0.3989869139196882,47.687446547577956,124.65226648450577,0.0004643609328386155,171.94119047909643,32.421687316894555,32.42135410114872,1782437079.120281,1782437079.120754,1782437079.121237,1782437079.121595,1782437079.121925,1782437079.134325,1782437078.798204
9,51,1782437079.994369,-0.398954660397965,47.67014736695229,124.6521853095736,0.0003872898153263126,171.92376530594328,32.625087890625025,32.62474393165719,1782437079.971984,1782437079.972269,1782437079.972543,1782437079.972792,1782437079.973175,1782437079.983275,1782437079.645451
10,58,1782437082.9409635,-0.39897472353017577,47.975911203742676,124.65199595303314,0.0003319968484939588,172.22926443009382,33.3369567871094,33.33660833843686,1782437082.868356,1782437082.869761,1782437082.870917,1782437082.871147,1782437082.871424,1782437082.878335,1782437082.542198
11,60,1782437083.7927408,-0.3989704326917884,47.82146678832005,124.6521203621808,0.0003524700976694184,172.07496918790662,33.540356140136744,33.53999816894533,1782437083.743574,1782437083.744132,1782437083.744369,1782437083.74468,1782437083.744866,1782437083.786311,1782437083.4502
12,2,1782437060.3325047,-0.39888344379987495,47.957761512342294,39.85601902251176,0.00037413950655732555,87.41527123056063,27.641387634277365,27.64169308419957,1782437060.229496,1782437060.230047,1782437060.23027,1782437060.230461,1782437060.231471,1782437060.326263,1782437060.129348
13,6,1782437061.960783,-0.39895058700574587,47.892178343498614,124.6519667211208,0.0004545041597162342,172.14564898177326,28.048892822265646,28.048472745216518,1782437061.955892,1782437061.956305,1782437061.956537,1782437061.956783,1782437061.957067,1782437061.948312,1782437061.670366
14,13,1782437064.4126177,-0.3991561049091478,47.74832584071854,124.65198479557553,0.00036137947654881375,172.00151591086131,28.76081115722658,28.76033715199618,1782437064.36413,1782437064.364434,1782437064.36474,1782437064.365099,1782437064.365747,1782437064.379317,1782437064.1339
15,16,1782437065.4391725,-0.3990087300254414,47.851665134110114,124.65195725716634,0.00036146140529624284,172.1049751226561,29.06570587158205,29.065421897758892,1782437065.378366,1782437065.378789,1782437065.379085,1782437065.379402,1782437065.379588,1782437065.42731,1782437065.135513
16,20,1782437067.0691094,-0.3990816147037091,47.84554026492366,124.65199109743148,0.0003316080593470726,172.09231257578526,29.47254577636721,29.47220155877584,1782437067.01946,1782437066.915696,1782437066.915904,1782437066.916111,1782437066.916476,1782437066.972265,1782437066.682548
17,22,1782437067.83626,-0.3990292116670531,47.83419317020968,124.65192107995675,0.0003562492473462322,172.0874412877467,29.675968017578146,29.675591389284314,1782437067.772075,1782437067.772582,1782437067.772865,1782437067.773204,1782437067.77338,1782437067.822322,1782437067.534384
18,26,1782437069.278914,-0.3989681182305413,47.84730980397833,124.65204416349523,0.00029820198498670846,172.10068405122777,30.08279022216799,30.082371050301262,1782437069.213392,1782437069.213764,1782437069.213995,1782437069.214291,1782437069.214645,1782437069.273305,1782437068.982255
19,29,1782437070.5581,-0.39898505222306124,47.75415727624025,124.65194542349941,0.00029474310223165796,172.0074123906187,30.387952880859395,30.387455796063975,1782437070.512016,1782437070.512274,1782437070.512595,1782437070.512866,1782437070.513234,1782437070.525263,1782437070.240551
20,38,1782437074.2858284,-0.39913735836879355,47.70820437271995,124.6521606204788,0.0004075753731894825,171.9616352102029,31.303206481933614,31.30271003335211,1782437074.222777,1782437074.223174,1782437074.223469,1782437074.223742,1782437074.224426,1782437074.271331,1782437073.979743
21,41,1782437075.548824,-0.39916679849457437,47.993021216472854,124.65214431995645,0.0003465980408992164,172.2463453359758,31.608109130859393,31.607794779114823,1782437075.511655,1782437075.512045,1782437075.512323,1782437075.512556,1782437075.512879,1782437075.512317,1782437075.173937
22,47,1782437078.2405062,-0.3989404787377388,47.790549008722344,124.65213951499639,0.00037214491396085213,172.04412018989478,32.2182897949219,32.217964270640245,1782437078.1799,1782437078.180194,1782437078.180421,1782437078.180756,1782437078.181025,1782437078.229324,1782437077.874543
23,57,1782437082.4872706,-0.3989863062619095,47.88692185921865,124.65208984040598,0.00043425882141998236,172.14045965218418,33.23525512695315,33.23491342318262,1782437082.460855,1782437082.46136,1782437082.461549,1782437082.461706,1782437082.464559,1782437082.469271,1782437082.132564
24,1,1782437059.8206918,-0.3990059523740748,47.76550139193219,51.48540057690718,0.00038556037394878737,98.85228157683909,27.540002136230488,27.53999816894533,1782437059.621644,1782437059.621916,1782437059.622152,1782437059.622434,1782437059.624261,1782437059.631293,1782437059.059865
25,5,1782437061.5757139,-0.3989714082208214,47.73538199022454,124.65179237821887,0.00045926943358936466,171.9886622296563,27.947191162109394,27.94677782996228,1782437061.484688,1782437061.485222,1782437061.485462,1782437061.485784,1782437061.486175,1782437061.526328,1782437061.28115
26,9,1782437063.0197616,-0.3989124147781064,47.719733187774445,124.65198148453197,0.00039382326053029657,171.97319608078908,28.354012756347675,28.35355749097923,1782437062.964037,1782437062.964315,1782437062.964533,1782437062.964753,1782437062.965275,1782437063.00426,1782437062.76192
27,11,1782437063.7115967,-0.3991059016532269,47.75415876575108,124.6520632284337,0.00031590753211269157,172.00743200006337,28.55741210937502,28.556947321487705,1782437063.676355,1782437063.676665,1782437063.677712,1782437063.677927,1782437063.678166,1782437063.683258,1782437063.438843
28,18,1782437066.25711,-0.3990136895852562,47.87407929547185,124.65199653242837,0.0003385183767892277,172.1274006566917,29.269126586914084,29.268811728267366,1782437066.243675,1782437066.244115,1782437066.244488,1782437066.244728,1782437066.245004,1782437066.214303,1782437065.923148
29,21,1782437067.4854972,-0.3991080865403891,47.893209085102924,124.65189072797924,0.0003188107889988207,172.14631053733092,29.57425079345705,29.57389647403008,1782437067.432711,1782437067.432924,1782437067.433193,1782437067.43337,1782437067.434235,1782437067.443312,1782437067.128025
