,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,9,1782776935.5608788,51.028035,51.02800064102564,336.0,1739410.0,567186.0,1782776935.524505,1782776935.177165,1782776935.183963,1782776935.184701,1782776935.183819
1,15,1782776938.35946,51.058730000000004,51.05876987179487,90.0,1327129.0,149535.0,1782776938.345801,1782776938.122224,1782776938.147573,1782776938.148587,1782776938.147482
2,18,1782776939.8047736,51.074145,51.07415448717949,14.0,1176583.0,9159.0,1782776939.774067,1782776939.518422,1782776939.37642,1782776939.377294,1782776939.376576
3,24,1782776942.531132,51.10493,51.10492371794872,11.0,1175774.0,3963.0,1782776942.491244,1782776942.146886,1782776941.676469,1782776941.678057,1782776941.676316
4,30,1782776945.3626752,51.13571,51.13569294871795,9.0,1172444.0,2762.0,1782776945.323592,1782776944.98664,1782776944.333012,1782776944.335205,1782776944.33278
5,33,1782776946.9384465,51.151095000000005,51.151077564102565,12.0,1173824.0,2500.0,1782776946.868124,1782776946.625862,1782776945.565597,1782776945.567094,1782776945.56453
6,35,1782776948.2314055,51.161345000000004,51.161333974358975,9.0,1169758.0,2253.0,1782776948.191615,1782776947.494042,1782776947.085626,1782776947.087445,1782776947.084869
7,38,1782776949.4751365,51.176750000000006,51.176718589743594,7.0,1176340.0,2089.0,1782776949.432486,1782776949.083219,1782776948.391789,1782776948.393731,1782776948.391718
8,2,1782776931.1664684,50.992105,50.99210320512821,4.0,1204208.0,563.0,1782776931.13247,1782776930.667422,1782776893.814207,1782776893.815293,1782776893.814281
9,8,1782776934.83826,51.02290000000001,51.02287243589744,355.0,1742927.0,569819.0,1782776934.815056,1782776934.233178,1782776932.83327,1782776933.990725,1782776933.990039
10,10,1782776935.987031,51.033135,51.03312884615385,336.0,1739410.0,567186.0,1782776935.939193,1782776935.681164,1782776935.183963,1782776935.184701,1782776935.183819
11,13,1782776937.5893059,51.04855500000001,51.04851346153846,357.0,1726717.0,551562.0,1782776937.549008,1782776937.202813,1782776936.569972,1782776936.570644,1782776936.569603
12,19,1782776940.236065,51.079325000000004,51.07928269230769,14.0,1176583.0,9159.0,1782776940.202487,1782776939.861332,1782776939.37642,1782776939.377294,1782776939.376576
13,28,1782776944.5531497,51.125440000000005,51.12543653846154,9.0,1172444.0,2762.0,1782776944.522948,1782776944.182247,1782776944.333012,1782776944.335205,1782776944.33278
14,34,1782776947.3807223,51.156220000000005,51.15620576923077,9.0,1169758.0,2253.0,1782776947.344561,1782776947.003605,1782776947.085626,1782776947.087445,1782776947.084869
15,37,1782776949.024074,51.17160500000001,51.171590384615385,7.0,1176340.0,2089.0,1782776948.992168,1782776948.735151,1782776948.391789,1782776948.393731,1782776948.391718
16,39,1782776950.1590273,51.18188000000001,51.181846794871795,14.0,1178971.0,1822.0,1782776950.116705,1782776949.537025,1782776949.68349,1782776949.68439,1782776949.683355
17,1,1782776930.4593022,50.986985000000004,50.986975,4.0,1204208.0,563.0,1782776930.331858,1782776929.665562,1782776893.814207,1782776893.815293,1782776893.814281
18,5,1782776932.9804623,51.007535000000004,51.00748782051282,355.0,1744029.0,568134.0,1782776932.946654,1782776932.605501,1782776932.83327,1782776932.834436,1782776932.833218
19,12,1782776937.1451728,51.043420000000005,51.04338525641026,357.0,1726717.0,551562.0,1782776937.100472,1782776936.40251,1782776936.569972,1782776936.570644,1782776936.569603
20,14,1782776938.0398076,51.05366,51.05364166666667,357.0,1726717.0,551562.0,1782776937.993764,1782776937.647875,1782776936.569972,1782776936.570644,1782776936.569603
21,17,1782776939.465644,51.069055000000006,51.06902628205128,14.0,1176583.0,9159.0,1782776939.433078,1782776939.09018,1782776939.37642,1782776939.377294,1782776939.376576
22,21,1782776941.0242596,51.089510000000004,51.0895391025641,19.0,1170932.0,5385.0,1782776940.996075,1782776940.730649,1782776940.475309,1782776940.477635,1782776940.475114
23,23,1782776942.081678,51.099830000000004,51.09979551282051,11.0,1175774.0,3963.0,1782776942.042697,1782776941.464353,1782776941.676469,1782776941.678057,1782776941.676316
24,32,1782776946.5655048,51.145965000000004,51.14594935897436,12.0,1173824.0,2500.0,1782776946.535572,1782776946.19213,1782776945.565597,1782776945.567094,1782776945.56453
25,3,1782776931.824776,50.99725,50.99723141025641,320.0,1738079.0,568799.0,1782776931.790972,1782776931.328524,1782776931.384064,1782776931.386064,1782776931.383534
26,7,1782776934.1687572,51.017770000000006,51.01774423076923,355.0,1742927.0,569819.0,1782776934.135317,1782776933.792867,1782776932.83327,1782776933.990725,1782776933.990039
27,16,1782776939.0328982,51.06394,51.06389807692308,90.0,1327129.0,149535.0,1782776939.000057,1782776938.420055,1782776938.147573,1782776938.148587,1782776938.147482
28,22,1782776941.3806875,51.094635000000004,51.09466730769231,19.0,1170932.0,5385.0,1782776941.322276,1782776941.0832,1782776940.475309,1782776940.477635,1782776940.475114
29,25,1782776942.890428,51.110055,51.110051923076924,11.0,1175774.0,3963.0,1782776942.869599,1782776942.596706,1782776941.676469,1782776941.678057,1782776941.676316
30,27,1782776944.0958374,51.12034500000001,51.120308333333334,22.0,1171703.0,3156.0,1782776944.039058,1782776943.457891,1782776943.088284,1782776943.088971,1782776943.088104
31,36,1782776948.6700962,51.16651,51.16646217948718,7.0,1176340.0,2089.0,1782776948.63687,1782776948.290027,1782776948.391789,1782776948.393731,1782776948.391718
32,4,1782776932.5195234,51.00239500000001,51.00235961538462,320.0,1738079.0,568799.0,1782776932.463995,1782776931.886251,1782776931.384064,1782776931.386064,1782776931.383534
33,6,1782776933.491861,51.012635,51.01261602564103,355.0,1744029.0,568134.0,1782776933.448821,1782776933.204773,1782776932.83327,1782776932.834436,1782776932.833218
34,11,1782776936.3483686,51.03821000000001,51.03825705128205,336.0,1739410.0,567186.0,1782776936.307515,1782776936.038443,1782776935.183963,1782776935.184701,1782776935.183819
35,20,1782776940.6623216,51.084430000000005,51.0844108974359,19.0,1170932.0,5385.0,1782776940.631486,1782776940.294679,1782776940.475309,1782776940.477635,1782776940.475114
