,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,3,1782776987.4537728,51.00498,51.00502320512821,14.0,1178971.0,1822.0,1782776987.3975,1782776987.274924,1782776949.68349,1782776949.68439,1782776949.683355
1,6,1782776988.120153,51.012750000000004,51.01271551282052,324.0,1751998.0,569038.0,1782776988.086243,1782776987.968603,1782776987.728405,1782776987.729687,1782776987.728299
2,9,1782776989.3107793,51.020375,51.02040782051283,326.0,1751119.0,569847.0,1782776989.262308,1782776989.137629,1782776988.918651,1782776988.920598,1782776988.918409
3,17,1782776992.9428961,51.040890000000005,51.04092064102565,323.0,1733227.0,552228.0,1782776992.898813,1782776992.664907,1782776992.819626,1782776992.822056,1782776992.819532
4,20,1782776994.2350917,51.048640000000006,51.04861294871795,230.0,1629423.0,441817.0,1782776994.194867,1782776993.846663,1782776993.953896,1782776993.954874,1782776993.953848
5,4,1782776987.6959057,51.007580000000004,51.00758730769232,14.0,1178971.0,1822.0,1782776987.653226,1782776987.529047,1782776949.68349,1782776949.68439,1782776949.683355
6,10,1782776989.786627,51.023005000000005,51.02297192307693,326.0,1751119.0,569847.0,1782776989.755271,1782776989.398901,1782776988.918651,1782776988.920598,1782776988.918409
7,15,1782776992.1433547,51.035755,51.03579243589744,308.0,1738080.0,557316.0,1782776992.103435,1782776991.869554,1782776991.478319,1782776991.479479,1782776991.478207
8,18,1782776993.4004107,51.043525,51.04348474358975,323.0,1733227.0,552228.0,1782776993.361767,1782776993.006141,1782776992.819626,1782776992.822056,1782776992.819532
9,24,1782776995.8183842,51.058885000000004,51.05886935897436,27.0,1230666.0,50579.0,1782776995.778144,1782776995.424206,1782776995.2451,1782776995.246335,1782776995.245058
10,28,1782776997.1871178,51.06917000000001,51.06912576923077,16.0,1185084.0,12413.0,1782776997.160699,1782776996.922775,1782776996.370616,1782776996.372785,1782776996.370535
11,31,1782776997.9719472,51.07680500000001,51.07681807692308,15.0,1184006.0,7457.0,1782776997.96513,1782776997.840404,1782776997.488141,1782776997.489663,1782776997.48809
12,35,1782776999.1349537,51.08706,51.08707448717949,21.0,1178691.0,4864.0,1782776999.086251,1782776998.968335,1782776998.784728,1782776998.785703,1782776998.78463
13,38,1782776999.965334,51.094725000000004,51.0947667948718,14.0,1179944.0,3984.0,1782776999.932104,1782776999.810783,1782776999.921406,1782776999.922644,1782776999.92143
14,2,1782776987.2098362,51.002465,51.00245910256411,14.0,1178971.0,1822.0,1782776987.172825,1782776986.935774,1782776949.68349,1782776949.68439,1782776949.683355
15,8,1782776989.0782285,51.017815000000006,51.01784371794873,326.0,1751119.0,569847.0,1782776989.038417,1782776988.803138,1782776988.918651,1782776988.920598,1782776988.918409
16,13,1782776991.4443984,51.030615000000004,51.03066423076924,342.0,1752333.0,567934.0,1782776991.401912,1782776991.284164,1782776990.081944,1782776990.084198,1782776990.08182
