,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,2,1782437143.1558845,-0.39886212067138893,47.64247523179939,124.65183739232536,0.0003278810461458955,171.89577838449952,41.872076416015624,41.87170010324252,1782437143.090538,1782437143.09088,1782437143.091103,1782437143.091496,1782437143.092011,1782437143.140292,1782437142.987999
1,6,1782437144.1007707,-0.39888000338450835,47.51935374296356,124.6518383917448,0.000426188094991531,171.77273831941915,42.27891632080078,42.278479764259465,1782437144.068952,1782437144.069173,1782437144.069466,1782437144.069785,1782437144.071664,1782437144.086378,1782437143.932113
2,9,1782437144.939494,-0.398939105550309,47.56378138723098,124.6519195532719,0.000376996585422178,171.81713883153785,42.58375915527344,42.58356451002218,1782437144.847965,1782437144.848261,1782437144.848504,1782437144.848781,1782437144.849294,1782437144.929328,1782437144.729154
3,16,1782437147.566796,-0.39884134562639,47.441981094642124,124.6520744335531,0.00044172774395823637,171.69565591031275,43.29591369628906,43.29542891680184,1782437147.516256,1782437147.516492,1782437147.516684,1782437147.516873,1782437147.517032,1782437147.55835,1782437147.404274
4,20,1782437148.6510472,-0.3989685486548021,47.59915429419672,124.65206596455003,0.00037311167318050236,171.85262482176498,43.702392578125,43.702208577818794,1782437148.557581,1782437148.557897,1782437148.558075,1782437148.558576,1782437148.55881,1782437148.615298,1782437148.413714
5,1,1782437142.8689265,-0.39888248316441566,47.7088895477749,124.65170332857349,0.0003314918694870845,171.96204188505348,41.76976776123047,41.77000518798828,1782437142.744356,1782437142.744793,1782437142.746622,1782437142.747335,1782437142.747602,1782437142.765385,1782437142.189429
6,5,1782437143.8751945,-0.39888305209890534,47.62865852786588,124.65184273348675,0.0003786321811435587,171.88199684143478,42.17722229003906,42.17678484900523,1782437143.835474,1782437143.83582,1782437143.836054,1782437143.836368,1782437143.83659,1782437143.858291,1782437143.70589
7,8,1782437144.5506992,-0.39901576277061884,47.5690706407528,124.6518417876871,0.0003473696607386285,171.82224403532985,42.482356567382816,42.48186959476794,1782437144.511231,1782437144.511586,1782437144.51183,1782437144.512152,1782437144.512387,1782437144.534371,1782437144.380309
8,10,1782437145.4764266,-0.39896510675007923,47.487768662442754,124.65193209889522,0.00029317304950821934,171.7410288276372,42.68545562744141,42.68525942527642,1782437145.423454,1782437145.423777,1782437145.424,1782437145.424261,1782437145.424783,1782437145.446329,1782437145.222679
9,15,1782437147.3414495,-0.3988541064397493,47.512332188161594,124.65200548252325,0.0003083596600541897,171.76579192390508,43.19396270751953,43.193734001547604,1782437147.243067,1782437147.243325,1782437147.243559,1782437147.24398,1782437147.245442,1782437147.312322,1782437147.110824
