,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,4,1782777051.7596877,51.007575,51.007572307692314,38.0,173741.0,56194.0,1782777051.728783,1782777051.605103,1782777050.951529,1782777051.610188,1782777051.607894
1,14,1782777055.2222018,51.033215000000006,51.033213333333336,26.0,171983.0,54419.0,1782777055.185487,1782777054.950248,1782777055.021576,1782777055.022682,1782777055.021413
2,16,1782777055.871176,51.038365000000006,51.03834153846154,26.0,171593.0,54536.0,1782777055.828262,1782777055.597036,1782777055.658196,1782777055.659697,1782777055.65812
3,23,1782777058.3807034,51.056295000000006,51.05629025641026,3.0,120690.0,2321.0,1782777058.345341,1782777057.993835,1782777058.068885,1782777058.069809,1782777058.068853
4,30,1782777060.590052,51.074250000000006,51.07423897435898,0.0,118289.0,593.0,1782777060.553285,1782777060.436609,1782777060.496363,1782777060.497455,1782777060.496318
5,37,1782777062.8070214,51.092180000000006,51.09218769230769,7.0,118092.0,372.0,1782777062.772952,1782777062.652927,1782777062.699015,1782777062.701167,1782777062.698711
6,1,1782777050.462979,50.99985,50.999880000000005,14.0,1179944.0,3984.0,1782777050.336273,1782777049.187524,1782776999.921406,1782776999.922644,1782776999.92143
7,5,1782777051.970406,51.010135000000005,51.010136410256415,31.0,174780.0,56442.0,1782777051.93674,1782777051.820284,1782777051.867496,1782777051.869625,1782777051.867383
8,9,1782777053.2577229,51.020410000000005,51.020392820512825,27.0,174041.0,55993.0,1782777053.21385,1782777053.094166,1782777053.07522,1782777053.077725,1782777053.074997
9,10,1782777054.0541503,51.023005000000005,51.022956923076926,38.0,174517.0,56433.0,1782777053.996444,1782777053.642299,1782777053.367377,1782777053.369373,1782777053.366672
10,15,1782777055.5441897,51.035745000000006,51.03577743589744,31.0,173745.0,55310.0,1782777055.513459,1782777055.277712,1782777055.332489,1782777055.334263,1782777055.332341
