,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,15,1782437174.7295878,-0.399052365215663,48.11814162905596,124.65212449242094,0.0004095520904228809,172.3716233083517,46.160037231445315,46.15983111882614,1782437174.623722,1782437174.623961,1782437174.624222,1782437174.624426,1782437174.624728,1782437174.712342,1782437174.417181
1,18,1782437175.8900652,-0.3991216650109064,47.74095276132304,124.65206968370222,0.0003486671141751693,171.9942494471287,47.40071838378906,47.40050908492783,1782437175.879481,1782437175.879724,1782437175.879997,1782437175.880217,1782437175.880505,1782437175.877353,1782437175.582113
2,1,1782437168.6967187,-0.39899895388411444,47.81694910149064,124.6518146886648,0.0004579183540635965,172.07022275462526,40.36976287841797,40.37000061035157,1782437168.521205,1782437168.521524,1782437168.521788,1782437168.522113,1782437168.522343,1782437168.538303,1782437167.821048
3,4,1782437169.951737,-0.39895850293980323,47.985022542462154,124.65204440478625,0.000397286612126117,172.2385057309205,41.61087066650391,41.61067857645326,1782437169.884081,1782437169.884408,1782437169.884671,1782437169.88492,1782437169.885081,1782437169.936338,1782437169.643829
4,7,1782437171.7288175,-0.3989690609937145,47.66558052625999,124.65207567575285,0.000296159724755367,171.91898330074386,42.851543273925785,42.85135654255495,1782437171.643882,1782437171.644124,1782437171.644455,1782437171.644761,1782437171.645212,1782437171.704379,1782437171.409643
5,11,1782437173.2257454,-0.39897568863370686,47.85078930164865,124.65204068861279,0.0003284113485837921,172.10418271297604,44.5058154296875,44.50559383069055,1782437173.163041,1782437173.163466,1782437173.163694,1782437173.164048,1782437173.164669,1782437173.213331,1782437172.918499
6,17,1782437175.5013807,-0.3990971784875107,47.80763965780955,124.65196610448898,0.0002594154263407095,172.06076799923764,46.98714813232422,46.986949762893936,1782437175.407547,1782437175.408019,1782437175.408252,1782437175.408509,1782437175.409186,1782437175.474345,1782437175.179298
7,20,1782437176.709885,-0.39900407876258837,48.02339830358161,124.65200165017268,0.0003520500266371507,172.27674792501824,48.22783111572266,48.227627728995635,1782437176.654483,1782437176.654819,1782437176.655071,1782437176.655369,1782437176.655754,1782437176.640318,1782437176.345513
8,23,1782437177.8624005,-0.3989517084917941,47.929888293206076,67.25628090879128,0.00044962567521029446,114.78766711918068,49.46850250244141,49.46830569509733,1782437177.758817,1782437177.759051,1782437177.759275,1782437177.759524,1782437177.759802,1782437177.843354,1782437177.548867
9,3,1782437169.5077486,-0.39887557552525077,47.92591278837646,124.6519459045913,0.0003570536386846171,172.17934017108092,41.197244567871095,41.19711925441936,1782437169.422066,1782437169.422261,1782437169.423972,1782437169.424214,1782437169.424388,1782437169.478307,1782437169.183937
