,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782777080.638718,50.999805,50.99984500000001,1.0,118754.0,328.0,1782777080.31933,1782777079.287888,1782777062.91742,1782777063.609646,1782777063.60825
1,3,1782777081.654187,51.00498,51.00497320512821,150.0,873581.0,285019.0,1782777081.614239,1782777081.496855,1782777081.548735,1782777081.549392,1782777081.54863
2,6,1782777082.4869146,51.01268,51.01266551282052,131.0,876513.0,285805.0,1782777082.456286,1782777082.33997,1782777082.164639,1782777082.165799,1782777082.164572
3,11,1782777084.6461973,51.02544,51.02548602564103,174.0,872217.0,283933.0,1782777084.586404,1782777084.350206,1782777084.253702,1782777084.254684,1782777084.253576
4,18,1782777086.8126283,51.043475,51.04343474358975,158.0,860845.0,268985.0,1782777086.777867,1782777086.540401,1782777086.766014,1782777086.768007,1782777086.765683
5,25,1782777089.382013,51.061345,51.06138346153847,8.0,600317.0,9577.0,1782777089.345734,1782777089.106056,1782777088.71952,1782777088.721571,1782777088.719321
6,27,1782777090.1781309,51.06648500000001,51.06651166666667,5.0,597198.0,5656.0,1782777090.126537,1782777089.889922,1782777089.550698,1782777089.552105,1782777089.550594
7,32,1782777091.5361335,51.079325000000004,51.07933217948718,5.0,595062.0,2997.0,1782777091.491104,1782777091.255823,1782777091.011408,1782777091.012522,1782777091.011292
8,34,1782777091.9756577,51.084435000000006,51.08446038461539,14.0,595772.0,2573.0,1782777091.941353,1782777091.819872,1782777091.700916,1782777091.702178,1782777091.70085
9,7,1782777082.9326777,51.01523,51.01522961538462,187.0,880117.0,285318.0,1782777082.90248,1782777082.550317,1782777082.788817,1782777082.790043,1782777082.788776
10,9,1782777083.7445307,51.02038,51.02035782051283,156.0,875576.0,284111.0,1782777083.711204,1782777083.593531,1782777083.44894,1782777083.449988,1782777083.448874
11,12,1782777084.9926825,51.02803,51.02805012820514,188.0,874689.0,283303.0,1782777084.96179,1782777084.719767,1782777084.797817,1782777084.798956,1782777084.797724
12,19,1782777087.152985,51.045970000000004,51.04599884615385,158.0,860845.0,268985.0,1782777087.114664,1782777086.877168,1782777086.766014,1782777086.768007,1782777086.765683
13,21,1782777087.950816,51.051135,51.05112705128206,108.0,783424.0,190800.0,1782777087.910925,1782777087.559661,1782777087.321116,1782777087.323215,1782777087.320837
14,28,1782777090.5010383,51.069085,51.06907576923077,6.0,598306.0,4197.0,1782777090.470325,1782777090.228876,1782777090.329796,1782777090.331275,1782777090.329751
15,35,1782777092.4405062,51.08704,51.08702448717949,10.0,599237.0,2138.0,1782777092.399178,1782777092.039314,1782777092.269801,1782777092.271486,1782777092.26928
16,39,1782777093.6036785,51.09727,51.0972808974359,7.0,597473.0,1902.0,1782777093.562734,1782777093.328478,1782777092.943446,1782777093.495217,1782777093.493206
17,5,1782777082.276272,51.010090000000005,51.01010141025642,131.0,876513.0,285805.0,1782777082.245433,1782777082.002678,1782777082.164639,1782777082.165799,1782777082.164572
18,10,1782777084.2869096,51.02295,51.02292192307693,174.0,872217.0,283933.0,1782777084.245938,1782777083.888383,1782777084.253702,1782777084.254684,1782777084.253576
19,17,1782777086.4785457,51.04084,51.04087064102565,166.0,869715.0,277719.0,1782777086.441399,1782777086.324561,1782777086.046228,1782777086.048469,1782777086.04584
20,24,1782777089.0459986,51.058820000000004,51.05881935897436,8.0,600317.0,9577.0,1782777089.006551,1782777088.654531,1782777088.71952,1782777088.721571,1782777088.719321
21,31,1782777091.1961012,51.076785,51.07676807692308,5.0,595062.0,2997.0,1782777091.149504,1782777091.032941,1782777091.011408,1782777091.012522,1782777091.011292
22,38,1782777093.2434416,51.09472,51.0947167948718,7.0,593048.0,2010.0,1782777093.203111,1782777093.089525,1782777092.943446,1782777092.944578,1782777092.943347
23,40,1782777093.9648232,51.099825,51.099845,7.0,597473.0,1902.0,1782777093.922639,1782777093.685342,1782777092.943446,1782777093.495217,1782777093.493206
24,2,1782777081.0525222,51.00242,51.00240910256411,174.0,873521.0,285119.0,1782777080.996167,1782777080.757631,1782777080.856733,1782777080.859106,1782777080.856483
