,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782777130.4849002,0.00021615000000002604,-0.999780498,7.0,597473.0,1902.0,1782777130.189853,1782777129.354274,1782777092.943446,1782777093.495217,1782777093.493206
1,2,1782777131.4806774,0.00021983720000001705,-0.9484984467179487,73.0,1282068.0,95479.0,1782777131.471991,1782777130.637403,1782777131.219,1782777131.219828,1782777131.218944
2,3,1782777132.6516166,0.0002205914000000253,-0.8972163954358976,81.0,1285418.0,96286.0,1782777132.59973,1782777131.76056,1782777132.497618,1782777132.49946,1782777132.497357
3,4,1782777133.6001477,0.0002214294000000283,-0.8459343441538463,81.0,1285418.0,96286.0,1782777133.540729,1782777132.705276,1782777132.497618,1782777132.49946,1782777132.497357
4,5,1782777134.6124828,0.00021966960000002755,-0.794652292871795,77.0,1281543.0,95702.0,1782777134.57417,1782777133.740461,1782777133.630231,1782777133.631488,1782777133.630086
5,6,1782777135.5562692,0.00021950200000003806,-0.7433702415897436,77.0,1281543.0,95702.0,1782777135.513135,1782777134.678177,1782777133.630231,1782777133.631488,1782777133.630086
6,7,1782777136.5001652,0.0002217646000000073,-0.6920881903076923,70.0,1275554.0,95851.0,1782777136.462247,1782777135.623546,1782777135.602541,1782777135.60408,1782777135.601314
7,8,1782777137.427274,0.0002212618000000388,-0.640806139025641,70.0,1275554.0,95851.0,1782777137.392558,1782777136.558982,1782777135.602541,1782777135.60408,1782777135.601314
8,9,1782777138.3953977,0.0002170718000000238,-0.5895240877435899,60.0,1272736.0,96072.0,1782777138.335933,1782777137.491483,1782777137.488258,1782777137.489898,1782777137.487086
9,10,1782777139.3553388,0.00021883160000002455,-0.5382420364615386,60.0,1272736.0,96072.0,1782777139.291999,1782777138.457967,1782777137.488258,1782777137.489898,1782777137.487086
10,11,1782777140.3126574,0.00022251880000001556,-0.4869599851794872,76.0,1275202.0,96373.0,1782777140.247257,1782777139.409906,1782777139.356491,1782777139.357421,1782777139.356416
