,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,2,1782777182.2116747,-0.9486145455999999,-0.9485019663179486,15.0,1220919.0,13898.0,1782777182.198496,1782777180.71409,1782777181.162909,1782777181.163003,1782777181.162799
1,6,1782777186.4559236,-0.7436737684000001,-0.7433737611897435,21.0,1219551.0,16841.0,1782777186.426536,1782777185.439966,1782777186.401374,1782777186.403502,1782777186.401174
2,8,1782777188.6246097,-0.6410719814000001,-0.6408096586256409,27.0,1224177.0,18662.0,1782777188.595613,1782777187.620679,1782777188.573664,1782777188.574494,1782777188.573612
3,10,1782777190.6982758,-0.5383780981999999,-0.5382455560615385,25.0,1221834.0,21021.0,1782777190.670927,1782777189.705754,1782777190.665834,1782777190.667145,1782777190.665686
4,12,1782777192.7906053,-0.4358563401999999,-0.43568145349743576,26.0,1239196.0,24822.0,1782777192.753655,1782777191.789874,1782777192.751941,1782777192.752923,1782777192.751785
5,14,1782777194.88929,-0.33321256939999994,-0.33311735093333333,39.0,1235053.0,30463.0,1782777194.852283,1782777193.8813965,1782777194.83505,1782777194.83604,1782777194.83497
6,16,1782777196.968044,-0.23062150879999993,-0.2305532483692307,35.0,1236552.0,39701.0,1782777196.948982,1782777195.981066,1782777196.94837,1782777196.950543,1782777196.948226
7,18,1782777199.0105903,-0.12811324259999995,-0.12798914580512805,33.0,1252562.0,53669.0,1782777199.000119,1782777198.038743,1782777199.006542,1782777199.008586,1782777199.00616
8,20,1782777201.0496027,-0.025539528599999972,-0.02542504324102557,48.0,1266058.0,74168.0,1782777201.031213,1782777200.073336,1782777200.024821,1782777200.026162,1782777201.035993
9,22,1782777203.0742881,0.0769404132,0.07713905932307696,66.0,1289885.0,86625.0,1782777203.068953,1782777202.117058,1782777202.055282,1782777202.056401,1782777202.055202
10,24,1782777205.1200385,0.17960563680000002,0.1797031618871796,83.0,1324310.0,141029.0,1782777205.102548,1782777204.143013,1782777205.110254,1782777204.091809,1782777205.10985
11,26,1782777207.166972,0.28215739520000005,0.28226726445128203,107.0,1393836.0,190915.0,1782777207.161515,1782777206.20921,1782777207.158572,1782777207.159745,1782777207.158556
12,28,1782777209.3136556,0.3847384836,0.3848313670153847,166.0,1459008.0,254007.0,1782777209.282381,1782777208.319055,1782777209.218723,1782777209.219673,1782777209.218589
13,30,1782777211.4112663,0.4873333152,0.4873954695794873,228.0,1533552.0,332212.0,1782777211.407822,1782777210.445411,1782777211.365344,1782777211.367726,1782777211.365303
