,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782777268.8841622,50.99983,50.99987500000001,295.0,1748716.0,542310.0,1782777268.5055,1782777267.595281,1782777221.887446,1782777221.888596,1782777221.88739
1,6,1782777270.3063405,51.012705000000004,51.01269551282052,201.0,890419.0,284903.0,1782777270.263622,1782777270.145786,1782777269.959137,1782777269.960362,1782777269.95907
2,8,1782777271.4835005,51.01779500000001,51.01782371794873,145.0,890575.0,284774.0,1782777271.448823,1782777271.206946,1782777270.593183,1782777270.595377,1782777270.59299
3,13,1782777273.3110576,51.030635000000004,51.03064423076924,156.0,884256.0,283539.0,1782777273.276979,1782777273.159739,1782777273.280335,1782777273.281322,1782777273.280305
4,17,1782777274.6581798,51.040865000000004,51.04090064102565,159.0,876125.0,275554.0,1782777274.611722,1782777274.37768,1782777274.495126,1782777274.496352,1782777274.494993
5,20,1782777275.8317823,51.048605,51.04859294871795,177.0,879446.0,277716.0,1782777275.789494,1782777275.555609,1782777275.165817,1782777275.166805,1782777275.165719
6,27,1782777278.5679696,51.06650500000001,51.06654166666667,10.0,615462.0,9840.0,1782777278.528196,1782777278.295618,1782777278.243428,1782777278.244325,1782777278.243343
7,29,1782777279.412233,51.071695000000005,51.071669871794874,7.0,604921.0,6357.0,1782777279.367864,1782777279.014324,1782777279.074727,1782777279.076093,1782777279.074539
8,33,1782777280.636319,51.08189,51.081926282051285,7.0,602858.0,3286.0,1782777280.60617,1782777280.488656,1782777280.584284,1782777280.586492,1782777280.584145
9,36,1782777281.4701266,51.089605000000006,51.089618589743594,13.0,602254.0,2807.0,1782777281.436318,1782777281.203409,1782777281.146969,1782777281.149092,1782777281.146492
10,5,1782777270.081965,51.010135000000005,51.01013141025642,201.0,890419.0,284903.0,1782777270.053495,1782777269.936405,1782777269.959137,1782777269.960362,1782777269.95907
11,7,1782777271.1513941,51.015280000000004,51.01525961538462,145.0,890575.0,284774.0,1782777271.107475,1782777270.752124,1782777270.593183,1782777270.595377,1782777270.59299
12,12,1782777273.10025,51.028040000000004,51.02808012820514,159.0,888597.0,285191.0,1782777273.068495,1782777272.829407,1782777272.721305,1782777272.722369,1782777272.721246
13,19,1782777275.4974444,51.046020000000006,51.04602884615385,177.0,879446.0,277716.0,1782777275.460425,1782777275.22419,1782777275.165817,1782777275.166805,1782777275.165719
14,26,1782777278.1919513,51.064005,51.06397756410257,28.0,646541.0,46605.0,1782777278.148921,1782777277.794013,1782777277.447484,1782777277.44876,1782777277.447302
15,28,1782777278.933938,51.06915000000001,51.069105769230774,10.0,615462.0,9840.0,1782777278.903693,1782777278.671639,1782777278.243428,1782777278.244325,1782777278.243343
16,35,1782777281.1543753,51.087030000000006,51.08705448717949,7.0,602254.0,2807.0,1782777281.11147,1782777280.991446,1782777280.584284,1782777281.149092,1782777281.146492
17,40,1782777282.5633624,51.09989,51.099875000000004,7.0,604199.0,2056.0,1782777282.524081,1782777282.285262,1782777282.205321,1782777282.206405,1782777282.205208
18,4,1782777269.8731291,51.00752000000001,51.00756730769232,178.0,888420.0,284308.0,1782777269.843331,1782777269.721697,1782777269.053963,1782777269.056494,1782777269.053732
19,10,1782777272.2268143,51.022980000000004,51.02295192307693,171.0,882488.0,283923.0,1782777272.17338,1782777271.815913,1782777272.204807,1782777272.206041,1782777272.20465
20,16,1782777274.313661,51.038340000000005,51.03833653846154,173.0,884549.0,282301.0,1782777274.283371,1782777274.041644,1782777273.821022,1782777273.823235,1782777273.820933
21,18,1782777275.149745,51.043510000000005,51.04346474358975,159.0,876125.0,275554.0,1782777275.110353,1782777274.757366,1782777274.495126,1782777274.496352,1782777274.494993
22,25,1782777277.7317321,51.061370000000004,51.06141346153847,28.0,646541.0,46605.0,1782777277.690401,1782777277.455861,1782777277.447484,1782777277.44876,1782777277.447302
