,seq_num,time,huber_eta,huber_eta_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_eta,ts_huber_eta_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782777340.9214213,8.08130000000129e-05,-7.197320000007501e-05,7.0,604199.0,2056.0,1782777340.816472,1782777336.761739,1782777282.205321,1782777282.206405,1782777282.205208
1,3,1782777344.1076872,0.10241452380000005,0.10249212936410251,23.0,1195735.0,15093.0,1782777344.051482,1782777342.657407,1782777343.605387,1782777343.607631,1782777343.605085
2,5,1782777347.0027046,0.20498488580000002,0.20505623192820505,18.0,1197150.0,16483.0,1782777346.997727,1782777345.61745,1782777346.574218,1782777346.57512,1782777346.574101
3,7,1782777349.0577543,0.3072766128,0.30762033449230763,26.0,1196755.0,17918.0,1782777349.042652,1782777348.082378,1782777349.037441,1782777349.039058,1782777349.037398
4,9,1782777351.1506212,0.40993043960000003,0.41018443705641017,24.0,1198216.0,19592.0,1782777351.139148,1782777350.174426,1782777351.107761,1782777351.10938,1782777351.107711
5,11,1782777353.1945944,0.5125129526,0.5127485396205127,23.0,1197374.0,20889.0,1782777353.172168,1782777352.218109,1782777352.166993,1782777352.168799,1782777352.167073
6,16,1782777358.4466703,0.7691853972,0.7691587960307691,37.0,1215920.0,40692.0,1782777358.436124,1782777357.460684,1782777358.41702,1782777358.418215,1782777358.41699
7,18,1782777360.5271804,0.8717731058,0.8717228985948717,52.0,1227214.0,56269.0,1782777360.522382,1782777359.565658,1782777360.51004,1782777360.512568,1782777360.510309
8,20,1782777362.6011803,0.9743210093999999,0.9742870011589742,55.0,1251852.0,80706.0,1782777362.590285,1782777361.60535,1782777362.573112,1782777362.574592,1782777362.573024
9,22,1782777364.7237725,1.0768220687999999,1.0768511037230768,86.0,1288016.0,115533.0,1782777364.681309,1782777363.706925,1782777364.657487,1782777364.659535,1782777364.657286
10,24,1782777366.7983391,1.179374749,1.1794152062871794,104.0,1337092.0,160560.0,1782777366.78441,1782777365.832245,1782777366.764094,1782777366.765239,1782777366.764052
11,26,1782777368.8335447,1.281967737,1.2819793088512819,142.0,1367668.0,224525.0,1782777368.829029,1782777367.868166,1782777368.830613,1782777367.812662,1782777368.830254
12,28,1782777370.866884,1.3845662558,1.3845434114153845,159.0,1434680.0,261758.0,1782777370.863418,1782777369.904658,1782777369.852676,1782777369.853812,1782777369.852575
13,30,1782777372.9647138,1.4870897736,1.4871075139794872,219.0,1564142.0,388752.0,1782777372.932774,1782777371.961048,1782777372.903443,1782777372.905665,1782777372.90325
14,32,1782777375.0708447,1.5895988777999999,1.5896716165435896,260.0,1636020.0,464762.0,1782777375.048793,1782777374.089376,1782777375.016675,1782777375.017884,1782777375.016524
15,34,1782777377.1259897,1.6922532073999998,1.6922357191076922,308.0,1690633.0,515244.0,1782777377.121983,1782777376.166388,1782777377.113991,1782777377.115155,1782777377.11392
16,36,1782777379.2248476,1.7948027031999998,1.7947998216717946,308.0,1710043.0,534177.0,1782777379.215664,1782777378.253464,1782777379.162745,1782777379.16399,1782777379.16262
17,38,1782777381.2888308,1.8973546291999999,1.8973639242358973,314.0,1716971.0,541780.0,1782777381.285308,1782777380.322803,1782777381.269536,1782777381.271975,1782777381.269419
18,40,1782777383.3630977,1.9999200469999998,1.9999280268,315.0,1721544.0,546624.0,1782777383.356445,1782777382.398922,1782777383.348912,1782777383.350083,1782777383.348748
19,2,1782777342.6084588,0.05107428620000004,0.05121007808205119,24.0,1192103.0,14522.0,1782777342.554715,1782777341.050012,1782777341.850167,1782777341.851708,1782777341.850122
20,13,1782777355.3230126,0.6151956904,0.6153126421846153,30.0,1197205.0,27251.0,1782777355.282404,1782777354.29291,1782777355.249833,1782777355.25121,1782777355.249689
21,4,1782777345.565331,0.15370925800000002,0.15377418064615378,26.0,1195270.0,15582.0,1782777345.554742,1782777344.158562,1782777345.088951,1782777345.091066,1782777345.088456
22,6,1782777348.0190992,0.255916766,0.2563382832102563,18.0,1197150.0,16483.0,1782777348.011956,1782777347.057388,1782777346.574218,1782777346.57512,1782777346.574101
23,8,1782777350.0929084,0.3585836656,0.3589023857743589,17.0,1196609.0,18645.0,1782777350.084087,1782777349.123199,1782777350.073789,1782777350.075324,1782777350.073662
24,10,1782777352.1657972,0.4612698392,0.46146648833846143,24.0,1198216.0,19592.0,1782777352.15798,1782777351.203883,1782777351.107761,1782777351.10938,1782777351.107711
25,12,1782777354.233835,0.5637968766,0.564030590902564,26.0,1198900.0,24453.0,1782777354.225072,1782777353.260755,1782777354.199251,1782777354.200398,1782777354.199205
26,14,1782777356.3863325,0.6666102586,0.6665946934666666,22.0,1210175.0,30630.0,1782777356.376687,1782777355.40328,1782777356.317642,1782777356.318872,1782777356.317596
27,15,1782777357.3993132,0.7178921714,0.7178767447487179,22.0,1210175.0,30630.0,1782777357.39483,1782777356.436944,1782777356.317642,1782777356.318872,1782777356.317596
28,17,1782777359.5106537,0.820472757,0.8204408473128204,36.0,1221701.0,47648.0,1782777359.481206,1782777358.508366,1782777359.455764,1782777359.458109,1782777359.455704
29,19,1782777361.5541658,0.9230349066,0.9230049498769229,54.0,1239417.0,67217.0,1782777361.550148,1782777360.595119,1782777361.549379,1782777361.550373,1782777361.549268
30,21,1782777363.6509438,1.025575771,1.0255690524410255,76.0,1272997.0,97262.0,1782777363.633568,1782777362.667291,1782777363.605816,1782777363.606745,1782777363.605732
31,23,1782777365.7789476,1.128067361,1.1281331550051281,77.0,1315093.0,135680.0,1782777365.734548,1782777364.777561,1782777365.715237,1782777365.717343,1782777365.714829
32,25,1782777367.817624,1.230631019,1.2306972575692308,90.0,1367668.0,191646.0,1782777367.806372,1782777366.851029,1782777367.8115,1782777367.812662,1782777367.811334
33,27,1782777369.8496323,1.3332959074,1.3332613601333332,142.0,1398889.0,224525.0,1782777369.844992,1782777368.887314,1782777368.830613,1782777368.832802,1782777368.830254
