,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,2,1782551179.5100238,-0.39894704978215456,44.86818951834516,1.099389707232957,0.00028726375239827785,45.56891943954839,133.7783239746094,133.77854977365268,1782551179.392601,1782551179.392861,1782551179.393134,1782551179.393367,1782551179.393797,1782551179.481161,1782551179.284919
1,7,1782551181.5437891,-0.3991371290077683,44.942428235545705,1.0993136515346564,0.00036914632180498673,45.64297390439429,134.28744750976566,134.28702434992388,1782551181.526187,1782551181.526424,1782551181.526603,1782551181.527503,1782551181.52798,1782551181.536082,1782551181.291545
2,9,1782551182.5540605,-0.3990504484128168,44.97499341429703,1.0993659803216163,0.0003316155074150218,45.675640561713315,134.49070617675784,134.49041418043237,1782551182.483088,1782551182.483436,1782551182.483689,1782551182.483961,1782551182.484165,1782551182.535131,1782551182.244572
3,18,1782551186.1815479,-0.39922876618381986,44.926944768815474,97.79983740499522,0.00024403367641450218,142.32779744130286,135.4061038208008,135.40566841772048,1782551186.0876,1782551186.08792,1782551186.088137,1782551186.088361,1782551186.089015,1782551186.138135,1782551185.847772
4,4,1782551180.1524484,-0.3990236757259635,44.97076767162142,1.0994024911676759,0.00017670016293741317,45.6713231872262,133.98227203369143,133.98193960416117,1782551180.055384,1782551180.055795,1782551180.056054,1782551180.056281,1782551180.056703,1782551180.14712,1782551179.905135
5,17,1782551185.7756283,-0.3992148689908392,45.08430415724347,113.30010023805148,0.0003299605467169746,157.9855194868507,135.3043981933594,135.30397350246625,1782551185.759675,1782551185.759941,1782551185.760436,1782551185.76077,1782551185.761115,1782551185.767126,1782551185.448174
6,20,1782551186.995929,-0.39922689852976384,44.827032840209306,89.62538115887149,0.0003394613021914435,134.05352656185332,135.6095217895508,135.60905824822896,1782551186.916067,1782551186.916389,1782551186.916603,1782551186.916897,1782551186.917356,1782551186.968136,1782551186.67812
7,26,1782551189.3550398,-0.3992273602305271,44.85053136557108,119.22920537884745,0.00042165520083838027,163.68093103938887,136.21954895019533,136.2192277397544,1782551189.30381,1782551189.304195,1782551189.304437,1782551189.304692,1782551189.304897,1782551189.31213,1782551188.974883
8,29,1782551190.6078677,-0.39922085024976206,45.09915309229237,123.40761145778708,0.00032911295658449434,168.1078728127866,136.52467620849612,136.5243124855171,1782551190.549934,1782551190.550239,1782551190.550468,1782551190.55073,1782551190.55094,1782551190.596109,1782551190.257587
9,35,1782551193.1473956,-0.3991770825067414,45.14320389027963,124.64931716835822,0.0004289289839963957,169.3937729051151,137.134850769043,137.13448197704253,1782551193.090283,1782551193.090798,1782551193.091698,1782551193.09205,1782551193.092623,1782551193.098135,1782551192.760903
10,38,1782551194.4040515,-0.3992682788330309,45.0481969213602,104.20539504437399,0.0004029531022209548,148.8547266400031,137.4399237060547,137.43956672280524,1782551194.394701,1782551194.395038,1782551194.395297,1782551194.395667,1782551194.396143,1782551194.394137,1782551194.055423
11,47,1782551198.2490587,-0.39914425856117175,44.969753314638,1.099357307264193,0.00036204235459618653,45.670328405695564,138.35517242431644,138.35482096009338,1782551198.173063,1782551198.173338,1782551198.173607,1782551198.173827,1782551198.174051,1782551198.20413,1782551197.867798
12,56,1782551202.1859617,-0.39927723433848583,44.996560043906165,1.0994348613474751,0.00048277553603324775,45.697200446451205,139.27044403076175,139.27007519738152,1782551202.153296,1782551202.153787,1782551202.153993,1782551202.154482,1782551202.154714,1782551202.153136,1782551201.814075
13,60,1782551203.9340267,-0.39935684942239946,44.821152250825016,1.0993816061236825,0.00041830208064819066,45.52159530960682,139.6772479248047,139.67685485839846,1782551203.90438,1782551203.904632,1782551203.904846,1782551203.905044,1782551203.905395,1782551203.906091,1782551203.569167
14,1,1782551179.1544504,-0.39895558975692064,45.051980279272136,1.0991389898908686,0.0002217162856151185,45.75238539569173,133.67667236328128,133.67685485839846,1782551179.035758,1782551179.036113,1782551179.036414,1782551179.03664,1782551179.037062,1782551179.064089,1782551178.494218
15,5,1782551180.4771423,-0.39903801525806293,44.98890246791191,1.0994595608685551,0.0003152357163837825,45.689639249238866,134.08402862548832,134.0836345194154,1782551180.445301,1782551180.445873,1782551180.446063,1782551180.446401,1782551180.446715,1782551180.472134,1782551180.229479
16,8,1782551182.1798284,-0.3991844339743814,45.02576339635558,1.0993772688502443,0.0003088780455833706,45.72626510927706,134.38899078369144,134.3887192651781,1782551182.139265,1782551182.139578,1782551182.139889,1782551182.140157,1782551182.140555,1782551182.147086,1782551181.847803
17,12,1782551183.6658745,-0.3991229652198306,44.994707092235885,1.099475496475868,0.0002287115110318793,45.69528833500296,134.79585845947267,134.79549892619508,1782551183.61966,1782551183.620041,1782551183.62029,1782551183.620619,1782551183.620945,1782551183.661085,1782551183.370559
18,6,1782551181.2232647,-0.3991047339971024,44.870644232454985,1.0993042173691552,0.0004202058068156981,45.57126392163383,134.1857522583008,134.18532943466965,1782551181.170941,1782551181.171306,1782551181.17153,1782551181.173511,1782551181.17371,1782551181.218128,1782551180.973734
19,11,1782551183.3179808,-0.3990638243307416,45.110428690478734,1.0992974537844478,0.00026806263322833626,45.810930382565516,134.69413757324222,134.69380401094082,1782551183.230965,1782551183.231221,1782551183.231451,1782551183.231693,1782551183.232185,1782551183.302126,1782551183.010586
20,14,1782551184.435179,-0.39920508391336745,44.78915755478209,1.1048561001429376,0.00026903237167516563,45.495077603383415,134.99929595947268,134.99888875670354,1782551184.336194,1782551184.336496,1782551184.336738,1782551184.337107,1782551184.337311,1782551184.429083,1782551184.13915
21,23,1782551188.0854864,-0.3992070722053652,44.92949034309557,106.83416816800289,0.00018888222287316046,151.36464032111584,135.91461853027346,135.91414299399167,1782551188.004799,1782551188.00513,1782551188.005445,1782551188.005795,1782551188.006072,1782551188.08009,1782551187.787668
22,27,1782551189.7535436,-0.39923122958079715,45.025425277361116,121.98507993377828,0.00026463205313148803,166.61153861361154,136.3212619018555,136.32092265500862,1782551189.647119,1782551189.647679,1782551189.648208,1782551189.648663,1782551189.648941,1782551189.743129,1782551189.405441
23,30,1782551191.011509,-0.39926014843152174,44.94205436828725,124.33870605396736,0.0004071478540892674,168.8819074216772,136.6263787841797,136.62600740077133,1782551190.994319,1782551190.994621,1782551190.994955,1782551190.99522,1782551190.995419,1782551191.002167,1782551190.663622
24,36,1782551193.5551112,-0.39916325084548154,45.175906104042284,124.64798061342002,0.0005017770469821823,169.42522524366356,137.2365502929688,137.23617689229675,1782551193.533329,1782551193.533543,1782551193.53377,1782551193.534031,1782551193.53436,1782551193.549123,1782551193.212233
25,39,1782551194.7968004,-0.3991975254250629,45.20605827499151,109.93377981978884,0.00033960430509604535,154.74098017366077,137.54163513183596,137.54126163805947,1782551194.786261,1782551194.786517,1782551194.786809,1782551194.787105,1782551194.787773,1782551194.791145,1782551194.452996
26,45,1782551197.3745005,-0.3993289701430702,44.890785400047506,1.0993794225924813,0.0005036167197653384,45.59133946921675,138.15178619384767,138.1514311295849,1782551197.350555,1782551197.350884,1782551197.351127,1782551197.351345,1782551197.352423,1782551197.336113,1782551196.999556
27,48,1782551198.7247932,-0.3992128017629044,45.06168444336517,1.0994029871539586,0.0003272747734149269,45.76220190352972,138.45686676025394,138.4565158753476,1782551198.638329,1782551198.638861,1782551198.639048,1782551198.639262,1782551198.639808,1782551198.672147,1782551198.332545
28,51,1782551199.9998484,-0.3992443284782646,44.97834183500024,1.0993941294049503,0.0005484004627230658,45.679040036389594,138.7619552612305,138.76160062111032,1782551199.942583,1782551199.942914,1782551199.943159,1782551199.943429,1782551199.943653,1782551199.974155,1782551199.638039
29,54,1782551201.2755134,-0.39929716789660935,44.82952181307189,1.099313717070383,0.0005099609840434441,45.530048323229785,139.0670303344727,139.06668536687303,1782551201.178096,1782551201.178364,1782551201.178643,1782551201.178935,1782551201.179321,1782551201.261088,1782551200.924708
30,57,1782551202.632538,-0.3992084960309461,44.88910970018491,1.0992898754715201,0.00031253653655942653,45.58950361616211,139.37212890625003,139.37177011263574,1782551202.570313,1782551202.570445,1782551202.57057,1782551202.570708,1782551202.570968,1782551202.596139,1782551202.258823
31,3,1782551179.8541312,-0.3991325954041431,44.885728510240085,1.0993578583600598,0.00030984480480302005,45.58626361800081,133.88059722900394,133.88024468890694,1782551179.782401,1782551179.782681,1782551179.78298,1782551179.783224,1782551179.783486,1782551179.803128,1782551179.558847
32,10,1782551182.949014,-0.39911323822729355,45.20184295889272,1.0993328728649088,0.00025490487639140197,45.902317498406816,134.5924176025391,134.5921090956866,1782551182.835157,1782551182.835532,1782551182.835923,1782551182.836316,1782551182.836565,1782551182.931132,1782551182.643032
33,13,1782551184.035861,-0.39920191605038663,44.78880603018883,1.09960968832003,0.00031317856001654415,45.48952698101852,134.89759002685548,134.8971938414493,1782551183.962727,1782551183.963038,1782551183.963334,1782551183.963615,1782551183.96378,1782551184.021079,1782551183.728989
34,16,1782551185.1628022,-0.3993437698865768,45.02779657885549,114.06129930880935,0.00028746187100569344,158.6900395796492,135.2027084350586,135.20227858721202,1782551185.091393,1782551185.091642,1782551185.09196,1782551185.09225,1782551185.092691,1782551185.157132,1782551184.866844
35,19,1782551186.6158235,-0.39935007582539106,45.015901344097735,97.91042274183327,0.00023327568707041238,142.52720728579294,135.50781585693363,135.50736333297473,1782551186.574556,1782551186.574967,1782551186.575214,1782551186.575877,1782551186.576234,1782551186.607192,1782551186.296042
36,28,1782551190.200096,-0.3992520597320176,45.14034551869191,120.14861295791172,0.0002889604222768312,164.8899953772937,136.4229724121094,136.42261757026287,1782551190.13867,1782551190.139152,1782551190.139382,1782551190.139633,1782551190.140619,1782551190.142127,1782551189.804116
