,seq_num,time,huber_y,huber_y_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_y,ts_huber_y_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782777426.2022839,50.957865000000005,50.957905000000004,315.0,1721544.0,546624.0,1782777426.06968,1782777424.817555,1782777383.348912,1782777383.350083,1782777383.348748
1,4,1782777427.575758,50.97331500000001,50.97328961538462,175.0,872781.0,285126.0,1782777427.519736,1782777427.261825,1782777427.227916,1782777427.229046,1782777427.227855
2,5,1782777428.282097,50.978445,50.978417820512824,147.0,874835.0,285652.0,1782777428.249474,1782777427.90434,1782777428.048397,1782777428.049651,1782777428.048457
3,8,1782777429.884364,50.993765,50.99380243589744,171.0,874392.0,285074.0,1782777429.834191,1782777429.584433,1782777429.570958,1782777429.573326,1782777429.570811
4,10,1782777431.0511456,51.00409500000001,51.00405884615385,170.0,873367.0,286135.0,1782777431.0029,1782777430.429234,1782777430.377579,1782777430.379011,1782777430.377469
5,13,1782777432.4298227,51.019455,51.019443461538465,175.0,872349.0,284866.0,1782777432.389851,1782777432.042553,1782777431.555868,1782777431.556883,1782777431.555742
6,19,1782777435.0507197,51.05022,51.050212692307696,183.0,859389.0,283194.0,1782777435.011341,1782777434.668827,1782777434.22439,1782777434.226149,1782777434.223418
7,22,1782777436.597838,51.065605000000005,51.065597307692315,87.0,721430.0,142866.0,1782777436.547231,1782777436.209001,1782777435.990617,1782777435.992502,1782777435.990553
8,28,1782777439.5393348,51.0964,51.096366538461545,13.0,579528.0,3139.0,1782777439.503692,1782777439.16247,1782777438.62149,1782777438.622551,1782777438.621532
9,33,1782777442.4739401,51.12203,51.12200756410257,7.0,577670.0,1684.0,1782777442.438703,1782777441.860177,1782777441.852964,1782777441.855001,1782777441.852484
10,39,1782777445.564178,51.152800000000006,51.1527767948718,2.0,578509.0,1246.0,1782777445.527473,1782777445.280802,1782777445.120202,1782777445.121185,1782777445.120136
