,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,1,1782662520.5881674,-0.39915354321458996,44.2056103451288,1.1000931796206002,0.0002916521540332381,44.90684163368869,133.43993591308598,133.43999786376955,1782662520.386937,1782662520.387207,1782662520.387492,1782662520.3877,1782662520.388222,1782662520.481046,1782662519.910629
1,7,1782662522.551553,-0.399322950160858,44.26960271623612,1.0999978072673566,0.00040407329164033283,44.97068164663438,134.0506658935547,134.05016735529497,1782662522.456219,1782662522.456451,1782662522.456692,1782662522.456999,1782662522.45832,1782662522.536083,1782662522.338876
2,11,1782662523.800216,-0.39931026530472047,44.20225149784863,1.1000709510942415,0.0005576524527280709,44.90356983609082,134.45722259521486,134.45694701631191,1782662523.764857,1782662523.765254,1782662523.765643,1782662523.765971,1782662523.766446,1782662523.787072,1782662523.539217
3,14,1782662524.8115745,-0.3992386108355841,44.21239208866142,1.1000968332372663,0.00043757172204325325,44.91368788278523,134.76237731933597,134.76203176207463,1782662524.725524,1782662524.725909,1782662524.726342,1782662524.726661,1782662524.72707,1782662524.790078,1782662524.54094
4,20,1782662527.0534277,-0.3992604388561953,44.26750697427464,83.72621047477955,0.0004790991696941156,127.59493610936764,135.3726254272461,135.37220125360005,1782662527.04401,1782662527.044385,1782662527.044604,1782662527.044818,1782662527.045085,1782662527.045061,1782662526.800644
5,6,1782662522.2689242,-0.3992384738147117,44.2074677653321,1.0999676012559305,0.00033819810986746246,44.90853509088306,133.948962097168,133.94847244004075,1782662522.256713,1782662522.257139,1782662522.257389,1782662522.25769,1782662522.25799,1782662522.259025,1782662522.108594
6,15,1782662525.424091,-0.39924452954150014,44.04928765634889,1.1006445659322572,0.0004934292524260657,44.751181121992175,134.86413574218753,134.86372667732888,1782662525.41119,1782662525.411579,1782662525.41182,1782662525.413716,1782662525.413971,1782662525.413008,1782662525.167074
7,19,1782662526.7540255,-0.3992510454796944,44.13287007598311,82.99545222846267,0.0004529758161733046,126.72952423478226,135.27093078613285,135.27050633834583,1782662526.64571,1782662526.646064,1782662526.64626,1782662526.646556,1782662526.646957,1782662526.748073,1782662526.501724
8,26,1782662529.023336,-0.3993584043114216,44.071377104315125,82.1558906599737,0.0006037693998484902,125.82851312937706,135.98265472412112,135.98237074512548,1782662528.95523,1782662528.955494,1782662528.955727,1782662528.955995,1782662528.956178,1782662529.008032,1782662528.716771
9,28,1782662529.7296703,-0.3993831365787725,43.94198775323765,79.66955536395018,0.000727973380949319,123.21288795399003,136.18606994628908,136.18576057563396,1782662529.69128,1782662529.691682,1782662529.692098,1782662529.692303,1782662529.692454,1782662529.72402,1782662529.43258
