,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,1,1782662606.7701952,-0.3993694523638847,44.12670052146684,1.100416476288665,0.0007546225680672585,44.828502167959755,41.43977294921875,41.43999755859375,1782662606.639152,1782662606.639469,1782662606.639898,1782662606.640931,1782662606.641115,1782662606.66405,1782662606.089228
1,8,1782662608.546234,-0.3993220416529036,44.137097308169785,1.1003127406832476,0.00066554963386355,44.83875355683408,42.15233276367188,42.15186196537341,1782662608.479214,1782662608.479544,1782662608.479825,1782662608.480193,1782662608.480597,1782662608.532128,1782662608.376747
2,3,1782662607.2977047,-0.3992924987614694,44.151167228971545,1.1002623347740403,0.0006727593636372126,44.852809824347766,41.643788452148435,41.64338738910223,1782662607.262179,1782662607.262572,1782662607.26281,1782662607.263159,1782662607.263402,1782662607.281097,1782662607.126825
3,7,1782662608.2726629,-0.39940050844233693,44.15665756647674,1.1003795037136335,0.0007135658383107095,44.858350127586306,42.05066131591797,42.05016705011918,1782662608.259069,1782662608.259686,1782662608.260181,1782662608.260536,1782662608.26117,1782662608.266092,1782662608.11161
4,10,1782662609.0052214,-0.3991942696900006,44.16623512213571,1.1001908531714533,0.0007124575658000461,44.867944163183,42.35571746826172,42.35525179588189,1782662608.973446,1782662608.973741,1782662608.974033,1782662608.974277,1782662608.974674,1782662608.993096,1782662608.840888
5,15,1782662610.7579467,-0.3993342499147049,44.261312098071684,1.1004593306950188,0.0006581388062552921,44.963095317658215,42.863946228027345,42.863726372153074,1782662610.688935,1782662610.689202,1782662610.68947,1782662610.690266,1782662610.690713,1782662610.751103,1782662610.548964
6,4,1782662607.527408,-0.3993009866087308,44.14300024021907,1.1001871846603042,0.000654383490395911,44.84454082176094,41.745528564453124,41.745082304356465,1782662607.487557,1782662607.488171,1782662607.488437,1782662607.488731,1782662607.488981,1782662607.511125,1782662607.355215
7,18,1782662611.7437532,-0.39922293386062707,44.02565954353115,63.69033735404468,0.0006787327141315083,107.31745269642944,43.169044189453125,43.16881111791579,1782662611.656889,1782662611.657257,1782662611.657458,1782662611.657712,1782662611.657936,1782662611.733114,1782662611.531283
8,25,1782662613.8688288,-0.39946984249279804,44.132193837994215,81.48980177870496,0.0007110498809578743,125.22323682408722,43.880860595703126,43.88067552469545,1782662613.855821,1782662613.856225,1782662613.856876,1782662613.857148,1782662613.857355,1782662613.812099,1782662613.609939
9,32,1782662615.7722418,-0.3993618670671478,44.01424839984483,80.07492779584526,0.00048536746367915166,123.69029969608621,44.59276397705078,44.59253993147511,1782662615.690937,1782662615.691894,1782662615.69237,1782662615.692738,1782662615.692953,1782662615.76512,1782662615.563885
10,38,1782662617.2655692,-0.3993306367338912,44.14922937517481,82.40612859483095,0.0005566127024425292,126.15658394597439,45.20289825439453,45.202709423000535,1782662617.199756,1782662617.200107,1782662617.200458,1782662617.200777,1782662617.20106,1782662617.255096,1782662617.054469
11,42,1782662618.3657167,-0.3992795368848732,44.309043477712684,74.91734560729032,0.0005209081543134126,118.82763045627271,45.60968200683594,45.60948908401748,1782662618.25396,1782662618.254358,1782662618.254627,1782662618.255012,1782662618.255432,1782662618.35709,1782662618.154039
12,45,1782662619.1656349,-0.3993523039039149,44.14939322138362,82.67037711295534,0.000444024728113399,126.42086205516303,45.91507049560547,45.914573829780196,1782662619.141886,1782662619.14208,1782662619.142344,1782662619.143226,1782662619.143567,1782662619.154095,1782662618.999068
