,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,4,1782693385.6836855,-0.39904441949445996,45.40962229429689,1.099946379596616,0.00029421875824811865,46.11081847315743,103.8555456542969,103.85508932339945,1782693385.586284,1782693385.586635,1782693385.586883,1782693385.587115,1782693385.58833,1782693385.622037,1782693385.473534
1,11,1782693388.1949365,-0.39918495673879395,45.34585186032683,1.099779698416793,0.0002766115256190494,46.0467232135304,104.56730804443362,104.56695373017911,1782693388.123568,1782693388.123905,1782693388.124126,1782693388.124393,1782693388.124763,1782693388.148034,1782693387.903639
2,16,1782693390.0794606,-0.3990316214471671,45.24126584623745,1.0999333454345857,0.0005504769840669674,45.942718047208935,105.07583343505861,105.0754283064503,1782693390.041199,1782693390.04164,1782693390.042195,1782693390.042402,1782693390.042765,1782693390.064987,1782693389.819382
3,23,1782693392.5102248,-0.39916916359396765,45.359999235699924,1.099789703040995,0.00032655975889191906,46.060946334905864,105.78765838623049,105.78729271322996,1782693392.450158,1782693392.450653,1782693392.450891,1782693392.451134,1782693392.451567,1782693392.504077,1782693392.214856
4,25,1782693393.2662325,-0.399295380667848,45.36338042564495,1.0998349971636536,0.0003003991650313684,46.06422044130565,105.99107330322268,105.99068254373843,1782693393.194452,1782693393.194707,1782693393.194984,1782693393.195364,1782693393.195784,1782693393.242033,1782693392.950961
5,32,1782693396.0449584,-0.39928966600388166,45.48413806054131,1.4089414679075913,0.0004317145614089477,46.49422157700644,106.70297698974612,106.7025469505181,1782693395.974204,1782693395.974541,1782693395.974813,1782693395.975108,1782693395.975727,1782693396.023037,1782693395.732193
6,7,1782693386.6113465,-0.3991228267096015,45.37339142900168,1.0998550764161203,0.0002986995159256348,46.07442237822403,104.16046539306643,104.16017406916217,1782693386.570762,1782693386.571083,1782693386.571365,1782693386.571772,1782693386.572125,1782693386.593032,1782693386.314086
7,9,1782693387.522646,-0.39916741359913915,45.45583288321824,1.0997464956353966,0.00034400611325331184,46.15675597136773,104.36389587402346,104.36356389967064,1782693387.507613,1782693387.50793,1782693387.508228,1782693387.50851,1782693387.508987,1782693387.506018,1782693387.260411
8,15,1782693389.7638595,-0.39908953212712484,45.3701740852655,1.100032466729188,0.0005744835966769578,46.07169150346419,104.97415527343753,104.97373339119606,1782693389.725317,1782693389.725653,1782693389.725947,1782693389.72761,1782693389.727782,1782693389.728975,1782693389.485449
9,22,1782693392.1519954,-0.3991609080864458,45.33165533109121,1.0999180160327315,0.00036421868005059133,46.03277665771741,105.68594360351565,105.68559779797573,1782693392.103605,1782693392.103854,1782693392.104063,1782693392.104415,1782693392.104636,1782693392.138035,1782693391.846249
10,29,1782693394.9328208,-0.39920038499108085,45.27699474632944,1.0997764871662674,0.0003942924888110211,45.977965140993604,106.39788635253909,106.39746220475539,1782693394.83787,1782693394.838289,1782693394.838613,1782693394.838914,1782693394.839235,1782693394.923028,1782693394.630346
11,31,1782693395.6825843,-0.39931822740885536,45.47637472926697,1.1001819969118936,0.00045159196514856664,46.177690090734885,106.60128326416019,106.60085203526386,1782693395.620341,1782693395.6208,1782693395.621059,1782693395.621413,1782693395.621609,1782693395.678007,1782693395.385504
12,38,1782693398.222536,-0.3992435748634697,45.341998495398435,89.9942352900163,0.00041584123899817137,134.93740605179033,107.31319427490237,107.31271644204352,1782693398.145092,1782693398.145352,1782693398.145631,1782693398.146074,1782693398.146758,1782693398.208071,1782693397.916713
13,45,1782693400.817744,-0.39925606163508554,45.59999967281721,86.5693195140898,0.00046010212758595,131.7705232273994,108.02492279052737,108.02458084882318,1782693400.793758,1782693400.794068,1782693400.794907,1782693400.79517,1782693400.795674,1782693400.800036,1782693400.462493
14,47,1782693401.6503048,-0.3992551501484169,45.52130284922685,89.08954775120955,0.0005866865112029603,134.21218213679933,108.22827545166018,108.22797067933166,1782693401.628308,1782693401.628645,1782693401.629483,1782693401.629758,1782693401.630585,1782693401.622984,1782693401.286214
15,54,1782693404.388979,-0.399238944451619,45.58571228341096,89.09495998480065,0.0005620900116114881,134.28199541377168,108.9401794433594,108.93983508611132,1782693404.362624,1782693404.362942,1782693404.36323,1782693404.363586,1782693404.364168,1782693404.382045,1782693404.044404
16,56,1782693405.2259986,-0.39927297626596,45.62997757098074,88.45201451903738,0.00036072255695580163,133.6830798363093,109.14355072021488,109.14322491661979,1782693405.167394,1782693405.167894,1782693405.169871,1782693405.170249,1782693405.170574,1782693405.200043,1782693404.859016
17,2,1782693385.1877491,-0.399183988656549,45.42328408908764,1.0997839999434704,0.0002412585262970783,46.12412535890077,103.65141876220706,103.65169949289098,1782693385.14015,1782693385.140477,1782693385.140869,1782693385.141358,1782693385.1419,1782693385.17103,1782693384.97327
18,6,1782693386.1806698,-0.39918814247406226,45.42514448831272,1.0999883775702006,0.0004360955149759602,46.12638081892392,104.0589538574219,104.05847915390792,1782693386.110007,1782693386.110285,1782693386.11056,1782693386.110876,1782693386.11212,1782693386.16804,1782693385.972056
19,8,1782693387.2080064,-0.39911578502827944,45.42655803424134,1.0998420467224335,0.00047964138904072953,46.127763937324566,104.26221343994143,104.2618689844164,1782693387.110599,1782693387.110802,1782693387.111186,1782693387.111467,1782693387.111973,1782693387.194069,1782693386.9491
20,17,1782693390.4037237,-0.39908242640343883,45.268509002225514,1.099966680776884,0.00046229036994907134,45.96985554696882,105.177575378418,105.17712322170453,1782693390.381867,1782693390.382094,1782693390.38242,1782693390.382772,1782693390.384288,1782693390.387038,1782693390.141869
21,19,1782693391.0900102,-0.39913338029544065,45.29580429109806,1.0998656380939835,0.0005382412980419947,45.99707479019457,105.38082000732425,105.38051305221302,1782693390.989725,1782693390.99014,1782693390.990411,1782693390.990679,1782693390.991163,1782693391.073056,1782693390.783698
22,24,1782693392.8909066,-0.39928757047815877,45.26763763829685,1.0997403039988316,0.00045281940674639663,45.96854319122432,105.88938140869143,105.8889876284842,1782693392.807429,1782693392.807771,1782693392.807989,1782693392.808331,1782693392.808868,1782693392.866044,1782693392.574674
23,26,1782693393.6375146,-0.399202383708581,45.44402106107584,1.0998225275025226,0.00041105362092119845,46.14505225849064,106.09279907226565,106.09237745899267,1782693393.538859,1782693393.539238,1782693393.539632,1782693393.539893,1782693393.540259,1782693393.617033,1782693393.327835
