,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782764857.8871403,5.709136545887986,5.7089619833759855,473.0,110300.0,0.0,1782764857.614163,1782764855.442059,1782764634.734325,1782764857.737399,1782764857.735106
1,2,1782764859.0765097,5.7344431783679966,5.7346030090170075,0.0,110300.0,0.0,1782764859.029306,1782764858.03583,1782764857.734977,1782764857.737399,1782764857.735106
2,3,1782764859.8476431,5.760368395067985,5.7602440346580295,0.0,110440.0,0.0,1782764859.793113,1782764859.125981,1782764857.734977,1782764859.155987,1782764857.735106
3,4,1782764860.9509573,5.785871834559998,5.7858850602990515,0.0,110294.0,0.0,1782764860.890585,1782764860.238002,1782764857.734977,1782764859.922006,1782764857.735106
4,5,1782764862.2556694,5.811543582604003,5.8115260859400735,0.0,110406.0,0.0,1782764862.184162,1782764861.526633,1782764857.734977,1782764861.033547,1782764857.735106
5,6,1782764863.0326495,5.837147269620004,5.837167111581124,0.0,110294.0,0.0,1782764862.987513,1782764862.310912,1782764857.734977,1782764862.327867,1782764857.735106
6,7,1782764863.835742,5.862866291579991,5.862808137222146,0.0,110494.0,0.0,1782764863.741711,1782764863.091114,1782764857.734977,1782764863.109844,1782764857.735106
7,8,1782764864.6096923,5.88845690283199,5.888449162863168,0.0,110428.0,0.0,1782764864.535168,1782764863.880022,1782764857.734977,1782764863.889927,1782764857.735106
8,9,1782764865.3616278,5.914117586767986,5.91409018850419,0.0,110320.0,0.0,1782764865.316933,1782764864.65353,1782764857.734977,1782764864.679446,1782764857.735106
9,10,1782764866.1310418,5.93974809586399,5.939731214145212,0.0,110334.0,0.0,1782764866.091571,1782764865.423057,1782764857.734977,1782764865.441529,1782764857.735106
10,11,1782764866.9041429,5.965400397899998,5.965372239786234,0.0,110379.0,0.0,1782764866.837585,1782764866.17296,1782764857.734977,1782764866.225815,1782764857.735106
11,12,1782764867.6782198,5.990948093823988,5.991013265427256,0.0,110441.0,0.0,1782764867.601718,1782764866.950588,1782764857.734977,1782764866.962766,1782764857.735106
12,13,1782764868.4514987,6.016666445232005,6.016654291068306,0.0,110404.0,0.0,1782764868.37048,1782764867.724131,1782764857.734977,1782764867.749667,1782764857.735106
13,14,1782764869.2004328,6.042226881643984,6.042295316709328,0.0,110397.0,0.0,1782764869.18505,1782764868.502543,1782764857.734977,1782764868.516543,1782764857.735106
14,15,1782764869.979146,6.067954285503987,6.06793634235035,0.0,110407.0,0.0,1782764869.930419,1782764869.24235,1782764857.734977,1782764869.289122,1782764857.735106
15,16,1782764870.7354932,6.093540538167986,6.093577367991372,0.0,110362.0,0.0,1782764870.677155,1782764870.020859,1782764857.734977,1782764870.046944,1782764857.735106
16,17,1782764871.557384,6.119242461052011,6.119218393632394,0.0,110424.0,0.0,1782764871.472345,1782764870.802442,1782764857.734977,1782764870.821236,1782764857.735106
17,18,1782764872.3164759,6.144807591328004,6.144859419273416,0.0,110291.0,0.0,1782764872.262157,1782764871.606257,1782764857.734977,1782764871.605471,1782764857.735106
18,19,1782764873.0961971,6.170507502556006,6.170500444914438,0.0,110411.0,0.0,1782764873.03463,1782764872.374054,1782764857.734977,1782764872.40673,1782764857.735106
19,20,1782764873.8719254,6.1960984490839905,6.19614147055546,0.0,110351.0,0.0,1782764873.828947,1782764873.163441,1782764857.734977,1782764873.178118,1782764857.735106
20,21,1782764874.6181111,6.221782937615984,6.221782496196511,0.0,110241.0,0.0,1782764874.557745,1782764873.908233,1782764857.734977,1782764873.962745,1782764857.735106
21,22,1782764875.40089,6.247354102859987,6.247423521837533,0.0,110371.0,0.0,1782764875.335608,1782764874.664149,1782764857.734977,1782764874.705018,1782764857.735106
22,23,1782764876.1494489,6.273030209491992,6.273064547478555,0.0,110366.0,0.0,1782764876.138577,1782764875.456485,1782764857.734977,1782764875.463874,1782764857.735106
23,24,1782764876.9337275,6.298638590372008,6.298705573119577,0.0,110347.0,0.0,1782764876.908255,1782764876.22514,1782764857.734977,1782764876.255839,1782764857.735106
24,25,1782764877.6891696,6.3243146970039845,6.324346598760599,0.0,110320.0,0.0,1782764877.626889,1782764876.979584,1782764857.734977,1782764877.016861,1782764857.735106
25,26,1782764878.455549,6.349892903044008,6.349987624401621,0.0,110417.0,0.0,1782764878.428525,1782764877.743085,1782764857.734977,1782764877.772792,1782764857.735106
26,27,1782764879.2286208,6.375599184516005,6.375628650042643,0.0,110401.0,0.0,1782764879.164002,1782764878.498575,1782764857.734977,1782764878.5361,1782764857.735106
27,28,1782764880.0202534,6.401176049452005,6.401269675683665,0.0,110409.0,0.0,1782764879.958395,1782764879.284739,1782764857.734977,1782764879.291955,1782764857.735106
28,29,1782764880.9501104,6.426878642887999,6.426910701324715,0.0,110419.0,0.0,1782764880.852012,1782764880.165167,1782764857.734977,1782764880.094255,1782764857.735106
29,30,1782764881.661506,6.452503787567991,6.452551726965737,0.0,110471.0,0.0,1782764881.652793,1782764881.003394,1782764857.734977,1782764880.965202,1782764857.735106
30,31,1782764882.4092035,6.478207386831997,6.478192752606759,0.0,110371.0,0.0,1782764882.394294,1782764881.709976,1782764857.734977,1782764881.778286,1782764857.735106
31,32,1782764883.2124803,6.503774193487999,6.503833778247781,0.0,110359.0,0.0,1782764883.138941,1782764882.488006,1782764857.734977,1782764882.510589,1782764857.735106
32,33,1782764883.9757638,6.5295207080799855,6.529474803888803,0.0,110348.0,0.0,1782764883.932051,1782764883.261955,1782764857.734977,1782764883.281175,1782764857.735106
33,34,1782764884.743267,6.555085838356007,6.555115829529825,0.0,110414.0,0.0,1782764884.705676,1782764884.028177,1782764857.734977,1782764884.05667,1782764857.735106
34,35,1782764885.52509,6.5807394814960105,6.580756855170847,0.0,110355.0,0.0,1782764885.474369,1782764884.825096,1782764857.734977,1782764884.823602,1782764857.735106
35,36,1782764886.2943113,6.606414917575989,6.6063978808118975,0.0,110341.0,0.0,1782764886.23361,1782764885.578913,1782764857.734977,1782764885.61565,1782764857.735106
36,37,1782764887.0676355,6.632050455811992,6.6320389064529195,0.0,110328.0,0.0,1782764886.995926,1782764886.344708,1782764857.734977,1782764886.377159,1782764857.735106
37,38,1782764887.8429308,6.657736956000008,6.6576799320939415,0.0,110256.0,0.0,1782764887.795452,1782764887.125848,1782764857.734977,1782764887.144611,1782764857.735106
38,39,1782764888.6649055,6.683326561423996,6.6833209577349635,0.0,110418.0,0.0,1782764888.607701,1782764887.957299,1782764857.734977,1782764887.929149,1782764857.735106
39,40,1782764889.4508097,6.7089859042559965,6.7089619833759855,0.0,110457.0,0.0,1782764889.391523,1782764888.738327,1782764857.734977,1782764888.748797,1782764857.735106
