,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,1,1782764917.8961003,5.7088793891959995,5.709105146227984,0.0,110308.0,0.0,1782764917.603524,1782764915.781616,1782764857.734977,1782764889.5315,1782764857.735106
1,2,1782764919.0626605,5.734594723119983,5.734746171869006,340.0,116558.0,699.0,1782764919.014342,1782764918.015223,1782764917.749608,1782764917.750613,1782764917.749472
2,3,1782764919.8348594,5.760490435532006,5.760387197510028,326.0,116513.0,720.0,1782764919.782185,1782764919.114824,1782764919.134811,1782764919.137212,1782764919.134667
3,4,1782764920.5995936,5.786040478388003,5.78602822315105,338.0,116887.0,779.0,1782764920.553583,1782764919.885067,1782764919.905764,1782764919.906666,1782764919.905712
4,5,1782764922.0383677,5.811678028279999,5.811669248792072,365.0,116965.0,821.0,1782764921.943903,1782764921.271741,1782764920.679185,1782764920.68031,1782764920.679064
5,6,1782764922.8268917,5.837274003948011,5.837310274433122,380.0,116981.0,888.0,1782764922.745033,1782764922.095001,1782764922.072435,1782764922.074443,1782764922.072031
6,7,1782764923.5955296,5.863003084187994,5.862951300074144,355.0,117385.0,931.0,1782764923.528379,1782764922.881618,1782764922.892125,1782764922.894092,1782764922.891797
7,8,1782764924.346447,5.8885963776479855,5.888592325715166,382.0,117535.0,982.0,1782764924.323638,1782764923.641591,1782764923.670726,1782764923.671418,1782764923.670613
8,9,1782764925.1191585,5.914265778759983,5.914233351356188,324.0,117991.0,1014.0,1782764925.050806,1782764924.397421,1782764924.433533,1782764924.435298,1782764924.433372
9,10,1782764925.8994138,5.939896958407985,5.93987437699721,338.0,118209.0,1039.0,1782764925.868194,1782764925.178089,1782764925.191221,1782764925.193615,1782764925.191088
10,11,1782764926.6964219,5.965545237132005,5.965515402638232,369.0,118497.0,1180.0,1782764926.63179,1782764925.97613,1782764925.979944,1782764925.980919,1782764925.979842
11,12,1782764927.4145231,5.991079857291993,5.991156428279254,389.0,118984.0,1192.0,1782764927.405983,1782764926.752039,1782764926.774912,1782764926.777077,1782764926.774675
12,13,1782764928.195027,6.0168015614599994,6.016797453920304,354.0,119414.0,1246.0,1782764928.152623,1782764927.46401,1782764927.531492,1782764927.532679,1782764927.53137
13,14,1782764928.9829004,6.042364680079999,6.042438479561326,397.0,119991.0,1319.0,1782764928.903735,1782764928.247767,1782764928.266942,1782764928.267714,1782764928.265948
14,15,1782764929.7643614,6.068068949896002,6.068079505202348,442.0,120318.0,1247.0,1782764929.697435,1782764929.03564,1782764929.044761,1782764929.045125,1782764929.044743
15,16,1782764930.5121586,6.09368168936399,6.09372053084337,383.0,120600.0,1300.0,1782764930.481927,1782764929.811829,1782764929.828933,1782764929.829644,1782764929.828839
16,17,1782764931.2833068,6.119395346907993,6.119361556484392,380.0,120812.0,1261.0,1782764931.213922,1782764930.561956,1782764930.606909,1782764930.607047,1782764930.606865
17,18,1782764932.0604913,6.144940025348006,6.145002582125414,414.0,120678.0,1237.0,1782764931.990647,1782764931.339887,1782764931.349747,1782764931.351012,1782764931.349734
18,19,1782764932.8241885,6.170642283507988,6.170643607766436,435.0,121425.0,1395.0,1782764932.768032,1782764932.117698,1782764932.131356,1782764932.13287,1782764932.130468
19,20,1782764933.5971947,6.196236918072003,6.196284633407458,443.0,121345.0,1303.0,1782764933.546708,1782764932.876293,1782764932.906491,1782764932.908946,1782764932.906122
20,21,1782764934.3490348,6.2219385056799865,6.221925659048509,423.0,121989.0,1388.0,1782764934.333454,1782764933.649966,1782764933.665477,1782764933.667275,1782764933.665439
21,22,1782764935.119776,6.247480501912008,6.247566684689531,485.0,122337.0,1415.0,1782764935.090881,1782764934.406674,1782764934.456523,1782764934.459222,1782764934.456408
22,24,1782764936.6906476,6.298765659975999,6.298848735971575,381.0,123292.0,1470.0,1782764936.632592,1782764935.960689,1782764935.96298,1782764935.964676,1782764935.962943
23,26,1782764938.2402189,6.350046459451988,6.350130787253619,386.0,124439.0,1667.0,1782764938.183901,1782764937.51628,1782764937.543874,1782764937.546154,1782764937.543694
24,23,1782764935.8873584,6.273164319892004,6.273207710330553,452.0,122784.0,1475.0,1782764935.820893,1782764935.168195,1782764935.210581,1782764935.212696,1782764935.21035
25,28,1782764939.7813246,6.401308148195994,6.401412838535663,430.0,125579.0,1849.0,1782764939.707481,1782764939.053526,1782764939.089634,1782764939.090581,1782764939.089614
26,35,1782764945.136026,6.580903431460001,6.580900018022845,461.0,129526.0,2640.0,1782764945.048782,1782764944.396385,1782764944.426618,1782764944.428766,1782764944.426259
27,37,1782764946.6829472,6.632203676943988,6.632182069304918,425.0,130799.0,2931.0,1782764946.621625,1782764945.970864,1782764945.979001,1782764945.981461,1782764945.978839
28,39,1782764948.2482715,6.683493193596007,6.683464120586962,465.0,132894.0,3254.0,1782764948.154327,1782764947.505229,1782764947.54139,1782764947.54246,1782764947.541361
29,25,1782764937.4656107,6.324452495439999,6.324489761612597,420.0,124068.0,1695.0,1782764937.422372,1782764936.750251,1782764936.753419,1782764936.754788,1782764936.752412
30,27,1782764939.0027406,6.375756093684004,6.375771812894641,456.0,124738.0,1777.0,1782764938.962356,1782764938.289963,1782764938.310034,1782764938.312022,1782764938.309864
31,29,1782764940.5416877,6.427020799911986,6.427053864176713,440.0,126179.0,1962.0,1782764940.506877,1782764939.834919,1782764939.850958,1782764939.85231,1782764939.850942
32,31,1782764942.023007,6.478364631276008,6.478335915458757,380.0,127490.0,2253.0,1782764942.015962,1782764941.368441,1782764941.392641,1782764941.394677,1782764941.392567
