,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,5,1782765900.1622624,5.863077180184007,5.863063617534152,0.0,119769.0,0.0,1782765900.102043,1782765899.456513,1782765899.630785,1782765899.938736,1782765899.630123
1,7,1782765901.8366091,5.940046156227993,5.939986694457218,0.0,118497.0,0.0,1782765901.766106,1782765901.100151,1782765901.246422,1782765901.7519,1782765901.245937
2,9,1782765903.3994272,6.016889068495999,6.016909771380313,0.0,117285.0,0.0,1782765903.359196,1782765902.69187,1782765902.961015,1782765903.272744,1782765902.960942
3,14,1782765907.3176486,6.209185277192006,6.209217463687992,0.0,117060.0,0.0,1782765907.25678,1782765906.583486,1782765906.798759,1782765907.205339,1782765906.798744
4,16,1782765908.8506854,6.286024836699994,6.286140540611058,0.0,118231.0,0.0,1782765908.78837,1782765908.134108,1782765908.317858,1782765908.72206,1782765908.317718
5,28,1782765918.256363,6.747689159868003,6.747679002149539,0.0,117773.0,0.0,1782765918.170695,1782765917.516854,1782765917.711979,1782765918.015214,1782765917.711941
6,30,1782765919.7736878,6.824661488672007,6.824602079072605,0.0,119009.0,0.0,1782765919.734197,1782765919.062822,1782765919.223213,1782765919.729086,1782765919.222664
7,37,1782765925.1781843,7.093792563011988,7.093832848303379,0.0,117504.0,0.0,1782765925.111495,1782765924.4558,1782765924.675336,1782765924.983187,1782765924.674852
8,39,1782765926.7445118,7.170749469120011,7.170755925226445,0.0,117984.0,0.0,1782765926.679071,1782765926.031934,1782765926.19517,1782765926.599557,1782765926.194765
9,10,1782765904.1879096,6.055301975091993,6.055371309841831,0.0,117304.0,80.0,1782765904.140689,1782765903.474316,1782765903.685859,1782765904.073742,1782765904.175767
10,12,1782765905.739027,6.132299784872004,6.132294386764926,0.0,117623.0,0.0,1782765905.694605,1782765905.032689,1782765905.28527,1782765905.69219,1782765905.285243
11,19,1782765911.2351437,6.401407725167985,6.401525155995671,0.0,118288.0,0.0,1782765911.192181,1782765910.507167,1782765910.640148,1782765911.142893,1782765910.639947
12,21,1782765912.7712116,6.478409893535996,6.478448232918765,0.0,118424.0,0.0,1782765912.699978,1782765912.045866,1782765912.253195,1782765912.660919,1782765912.252814
13,33,1782765922.0938826,6.940053094315999,6.939986694457218,0.0,118943.0,0.0,1782765922.052346,1782765921.379195,1782765921.546326,1782765921.953425,1782765921.546339
14,35,1782765923.6529617,7.016867843400007,7.016909771380313,0.0,118918.0,0.0,1782765923.613624,1782765922.953912,1782765923.061524,1782765923.569076,1782765923.060807
15,3,1782765898.5968215,5.78629428232,5.786140540611058,0.0,118312.0,0.0,1782765898.543476,1782765897.898987,1782765898.217256,1782765898.522367,1782765898.217222
16,15,1782765908.0851948,6.247612600655998,6.247679002149539,0.0,117410.0,0.0,1782765908.05523,1782765907.375387,1782765907.505587,1782765908.013314,1782765907.505526
17,17,1782765909.6198678,6.32453832609599,6.324602079072605,0.0,118192.0,0.0,1782765909.568995,1782765908.899884,1782765909.121694,1782765909.528741,1782765909.121616
18,24,1782765915.107539,6.593823962671991,6.593832848303379,0.0,118444.0,0.0,1782765915.065954,1782765914.402878,1782765914.575794,1782765914.987088,1782765914.575558
19,26,1782765916.7056837,6.670840212631987,6.670755925226445,0.0,117944.0,0.0,1782765916.640553,1782765915.991924,1782765916.194213,1782765916.600577,1782765916.194155
20,36,1782765924.4054163,7.055342105503996,7.055371309841831,0.0,118472.0,0.0,1782765924.364243,1782765923.700613,1782765923.969145,1782765924.375768,1782765923.968564
21,38,1782765925.98191,7.132268501495986,7.132294386764926,0.0,119506.0,0.0,1782765925.917291,1782765925.264997,1782765925.48583,1782765925.891826,1782765925.485775
