,seq_num,time,huber_mu,huber_mu_user_setpoint,lambda2M_stats1_total,lambda2M_stats2_total,lambda2M_stats3_total,ts_huber_mu,ts_huber_mu_user_setpoint,ts_lambda2M_stats1_total,ts_lambda2M_stats2_total,ts_lambda2M_stats3_total
0,3,1782766050.4141738,4.414400210860009,4.414477767560214,14.0,590491.0,6.0,1782766050.369929,1782766049.37832,1782766049.78343,1782766049.78496,1782766049.78332
1,25,1782766075.0355527,6.670991757384002,6.670888023970463,2095.0,707120.0,14198.0,1782766074.994602,1782766073.990694,1782766074.416474,1782766074.418048,1782766074.416445
2,27,1782766077.2798114,6.876189386559986,6.876016229098667,1850.0,762074.0,23631.0,1782766077.245291,1782766076.239286,1782766076.592758,1782766076.594772,1782766076.591889
3,29,1782766079.5183218,7.081083590955984,7.0811444342268715,1837.0,829311.0,36186.0,1782766079.434699,1782766078.462344,1782766078.879639,1782766078.88136,1782766078.879566
4,40,1782766091.574018,8.20931851162399,8.20934956243201,1246.0,636406.0,4759.0,1782766091.567205,1782766090.588009,1782766090.98543,1782766090.98777,1782766090.984975
5,6,1782766053.7554693,4.722236887744003,4.722170075252535,12.0,587834.0,8.0,1782766053.715872,1782766052.724422,1782766053.090756,1782766053.093307,1782766053.090412
6,8,1782766055.9589467,4.927465027035993,4.9272982803807395,17.0,588061.0,13.0,1782766055.934547,1782766054.927555,1782766055.339218,1782766055.34171,1782766055.338491
7,10,1782766058.1933115,5.132287482367985,5.132426485508944,97.0,595535.0,57.0,1782766058.14621,1782766057.153323,1782766057.557691,1782766057.560079,1782766057.556655
8,12,1782766060.4044495,5.337333902067996,5.337554690637148,666.0,602751.0,640.0,1782766060.32645,1782766059.355499,1782766059.768563,1782766059.770586,1782766059.767073
9,14,1782766062.61527,5.542555671115991,5.542682895765353,1426.0,616261.0,2332.0,1782766062.575971,1782766061.580586,1782766061.980702,1782766061.983142,1782766061.979937
10,23,1782766072.7836177,6.465601009231989,6.465759818842258,2098.0,681431.0,9306.0,1782766072.744006,1782766071.75341,1782766072.139851,1782766072.141961,1782766072.139585
11,36,1782766087.277981,7.799275628347999,7.799093152175601,1469.0,696227.0,14061.0,1782766087.243398,1782766086.242121,1782766086.612693,1782766086.614273,1782766086.612606
12,38,1782766089.4280667,8.004242922911999,8.004221357303805,1466.0,661389.0,7790.0,1782766089.383003,1782766088.399364,1782766088.839298,1782766088.840359,1782766088.839221
13,5,1782766052.6394248,4.619575711820005,4.619605972688419,15.0,594821.0,6.0,1782766052.587399,1782766051.580509,1782766051.99374,1782766051.996154,1782766051.993196
14,16,1782766064.8068068,5.747984640732,5.747811100893557,1700.0,627785.0,3588.0,1782766064.716977,1782766063.743076,1782766064.172939,1782766064.175468,1782766064.172097
15,18,1782766067.0241568,5.953118232191997,5.9529393060217615,1798.0,638216.0,4742.0,1782766066.940469,1782766065.968531,1782766066.378164,1782766066.380137,1782766066.377505
16,20,1782766069.2566843,6.1580563577439875,6.158067511149966,2034.0,652037.0,6519.0,1782766069.17524,1782766068.208687,1782766068.599689,1782766068.602067,1782766068.598982
17,31,1782766081.6791067,7.286133363415985,7.286272639355076,1781.0,841314.0,37733.0,1782766081.63794,1782766080.645245,1782766081.077032,1782766081.078129,1782766081.076979
