,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,9,1782399538.7450466,124.25721871706773,46.432898469576415,1.1440876856585296,0.0004693302837735199,171.8346742025862,137.8138906860352,137.81355901685816,1782399538.715555,1782399538.715886,1782399538.716149,1782399538.716319,1782399538.716619,1782399538.72768,1782399538.484052
1,20,1782399543.7890334,124.25723768105426,46.32459910459163,1.144072076240397,0.00039548864852346994,171.7263043505347,138.9325427246094,138.93220308465476,1782399543.713101,1782399543.713406,1782399543.713668,1782399543.713943,1782399543.716388,1782399543.776679,1782399543.484783
2,45,1782399553.6812987,124.2573154433775,46.38732241233646,1.1440337020945155,0.00046304858326617806,171.7891346063923,141.4749237060547,141.4745759660107,1782399553.59021,1782399553.590516,1782399553.590735,1782399553.59097,1782399553.591154,1782399553.676674,1782399553.337893
3,50,1782399555.878817,124.25729208280849,45.92643792213419,1.1440933232203283,0.0006095699551663907,171.32843289811854,141.9833779907227,141.9830505422819,1782399555.867994,1782399555.868677,1782399555.868988,1782399555.870171,1782399555.870628,1782399555.871672,1782399555.535405
4,3,1782399536.4379466,124.25705768626686,46.35355370870581,1.1440891646806888,0.00038839510860979524,171.75508895476207,137.2038238525391,137.20338952533274,1782399536.420907,1782399536.421093,1782399536.421444,1782399536.421666,1782399536.421888,1782399536.424683,1782399536.27571
5,7,1782399538.111344,124.25714688685451,46.474549665360634,1.1441621461577045,0.0005720942564792392,171.87643079262898,137.61046844482425,137.61016918634968,1782399538.061367,1782399538.06159,1782399538.061821,1782399538.06208,1782399538.062669,1782399538.096765,1782399537.851957
6,10,1782399539.0589118,124.25734022777246,46.27714477399452,1.1441577582430276,0.00046109123100944444,171.67910385124117,137.9156466674805,137.9152539321124,1782399539.033726,1782399539.034016,1782399539.034299,1782399539.036226,1782399539.03641,1782399539.052692,1782399538.810561
7,17,1782399542.6988401,124.25730674850978,46.24044918127059,1.1440941275224066,0.00045542325130101737,171.64230548055426,138.62741302490238,138.62711833889205,1782399542.620238,1782399542.620524,1782399542.62074,1782399542.621042,1782399542.622001,1782399542.690682,1782399542.399723
8,22,1782399544.5136042,124.25735473262344,46.51721968666115,1.144081199111202,0.0004205975751897641,171.919076215971,139.13598632812503,139.13559291516324,1782399544.433762,1782399544.434114,1782399544.434392,1782399544.434678,1782399544.435137,1782399544.490679,1782399544.199516
9,27,1782399546.3251398,124.25723514021088,46.39563537316588,1.1440834630726124,0.0003145311291559013,171.7972685075784,139.64450531005863,139.6440674914344,1782399546.279866,1782399546.280035,1782399546.280255,1782399546.280375,1782399546.280578,1782399546.319643,1782399546.025939
10,30,1782399547.4212408,124.25725385994282,46.37605426170501,1.144172131419076,0.0003235283952370845,171.777803781462,139.949635925293,139.94915223719713,1782399547.342956,1782399547.343515,1782399547.343778,1782399547.343939,1782399547.344928,1782399547.41667,1782399547.126451
11,32,1782399548.1741989,124.25718444695643,46.43335425993901,1.144165909993546,0.00041582783247586566,171.8351204447217,140.15286041259768,140.1525420677056,1782399548.060125,1782399548.060548,1782399548.060701,1782399548.060919,1782399548.061577,1782399548.155715,1782399547.81756
12,35,1782399549.4354153,124.25726042502983,46.481192884371254,1.1440989980183307,0.0004017077852600499,171.88295401520443,140.45795837402346,140.45762681346832,1782399549.358079,1782399549.358312,1782399549.358518,1782399549.358744,1782399549.359102,1782399549.42963,1782399549.091484
13,37,1782399550.2971363,124.25729186834103,46.500036687892624,1.144115143637854,0.0003644153090444189,171.90180811518033,140.66135986328126,140.6610166439768,1782399550.253729,1782399550.253903,1782399550.254104,1782399550.254307,1782399550.254587,1782399550.291722,1782399549.954856
14,40,1782399551.5230734,124.25743865343935,46.32121195660276,1.14394974636246,0.0004347161327919909,171.723035072537,140.96644653320314,140.96610138973952,1782399551.484975,1782399551.485246,1782399551.485481,1782399551.485663,1782399551.485892,1782399551.490678,1782399551.154012
15,42,1782399552.4820302,124.25734005053937,46.18721107950335,1.1439728611105517,0.00042088060177178783,171.5889448717547,141.16983215332033,141.16949122024798,1782399552.40496,1782399552.405168,1782399552.405397,1782399552.406197,1782399552.40649,1782399552.463674,1782399552.095178
16,47,1782399554.531132,124.25737040215168,46.27373379382977,1.1441762631486463,0.0005581216810087946,171.67583858081102,141.67828857421878,141.67796579651917,1782399554.504538,1782399554.504793,1782399554.505017,1782399554.505316,1782399554.505493,1782399554.503657,1782399554.166695
17,52,1782399556.6940584,124.25729726279322,46.27497902501656,1.1441502380185842,0.0005295911119271902,171.6769561169402,142.18676086425785,142.18644037279034,1782399556.673346,1782399556.673516,1782399556.673889,1782399556.674066,1782399556.674388,1782399556.651685,1782399556.313208
18,54,1782399557.583489,124.25732474590329,46.30571806329557,1.14403558475716,0.0005450562802144147,171.7076234502363,142.39032226562503,142.38983020329883,1782399557.490421,1782399557.490629,1782399557.49106,1782399557.491243,1782399557.491546,1782399557.501684,1782399557.210056
19,57,1782399558.889896,124.25728799750121,46.253613479390985,1.144066912323156,0.0005478329199454286,171.65551622213596,142.69522247314455,142.69491494906154,1782399558.883896,1782399558.884381,1782399558.884585,1782399558.884786,1782399558.885029,1782399558.8767,1782399558.53598
20,6,1782399537.7649074,124.2570940742446,46.50185240178816,1.1439620804837902,0.000538290455290452,171.9034468469715,137.5087796020508,137.50847427109545,1782399537.724951,1782399537.725156,1782399537.725375,1782399537.725576,1782399537.726038,1782399537.750716,1782399537.505757
21,11,1782399539.3865428,124.25742205008382,46.38281664159491,1.1441220174417321,0.0004170612325280543,171.78477777035297,138.0173147583008,138.01694884736662,1782399539.352668,1782399539.352875,1782399539.35315,1782399539.353741,1782399539.354734,1782399539.369677,1782399539.125746
22,14,1782399541.142127,124.25719035523696,46.336010248278086,1.1442516754052832,0.0005053699949602972,171.73795764891477,138.3224938964844,138.32203359312933,1782399541.051135,1782399541.051571,1782399541.051785,1782399541.052,1782399541.052283,1782399541.125682,1782399540.881594
23,15,1782399542.0035028,124.25726069013517,46.30626918236148,1.144199023408048,0.0005141795697291902,171.7082430754748,138.42396820068362,138.4237285083836,1782399541.936683,1782399541.936933,1782399541.937213,1782399541.937461,1782399541.937832,1782399541.941676,1782399541.651373
24,18,1782399543.0573332,124.25740734863818,46.27693624245611,1.144175700137191,0.0003888688057312885,171.67890816003705,138.72913360595706,138.72881325414627,1782399543.005049,1782399543.005344,1782399543.005649,1782399543.005854,1782399543.00691,1782399543.044679,1782399542.757252
25,31,1782399547.7677555,124.25727649966299,46.36176836181003,1.1439032040821284,0.0005127435822288153,171.7634608091378,140.0513403320313,140.05084715245138,1782399547.722148,1782399547.722466,1782399547.722724,1782399547.722994,1782399547.723215,1782399547.761676,1782399547.470968
26,34,1782399548.967125,124.25727078350963,46.24939965280323,1.1440807716395414,0.0003902169060298762,171.65114142485868,140.35626068115238,140.3559318982141,1782399548.883347,1782399548.883609,1782399548.883828,1782399548.884039,1782399548.88507,1782399548.959637,1782399548.624339
27,36,1782399549.8534358,124.2573150367831,46.26003625077542,1.1442105815268167,0.00038910118545126517,171.6619509702709,140.55966064453128,140.55932172872255,1782399549.840884,1782399549.841112,1782399549.841394,1782399549.841641,1782399549.841999,1782399549.823691,1782399549.48715
28,48,1782399555.0317733,124.25740566119613,46.21192355632116,1.1440867056015522,0.0005090478509130209,171.61392497097,141.77999450683598,141.7796607117734,1782399555.011294,1782399555.011495,1782399555.011696,1782399555.011828,1782399555.012319,1782399555.019681,1782399554.65591
29,53,1782399557.094328,124.25735605219391,46.24101668495742,1.1440998723244824,0.00042907794535535654,171.64290168742116,142.2884606933594,142.2881352880446,1782399557.002817,1782399557.003156,1782399557.00331,1782399557.003588,1782399557.004095,1782399557.086681,1782399556.749096
30,55,1782399558.025499,124.25730611106513,46.251435814325106,1.1439751042196855,0.00038783352428651695,171.65310486313413,142.4918316650391,142.49152511855306,1782399557.948741,1782399557.948933,1782399557.94912,1782399557.949313,1782399557.949577,1782399558.017688,1782399557.658344
31,58,1782399559.2885256,124.25730294320206,46.27043601650021,1.1440252941588893,0.0004787222974559475,171.6722429761586,142.79692718505862,142.79660986431577,1782399559.282917,1782399559.283175,1782399559.283373,1782399559.283574,1782399559.284588,1782399559.282628,1782399558.943786
32,60,1782399560.1424203,124.25737467362855,46.33060183387717,1.1440031445732932,0.0005072901068772911,171.73248694218566,143.00031677246096,142.99999969482425,1782399560.117337,1782399560.117507,1782399560.117682,1782399560.118023,1782399560.118277,1782399560.131686,1782399559.796215
33,1,1782399535.8784683,124.25701607064501,46.44141847243323,1.1439767724017746,0.00041253876567002814,171.84282385424595,136.99996215820315,136.99999969482425,1782399535.746589,1782399535.746862,1782399535.747179,1782399535.752649,1782399535.753081,1782399535.770686,1782399535.198008
34,4,1782399536.668601,124.25701279256984,46.43806707270812,1.1439953488009147,0.00035244626385198564,171.8394276603431,137.30551239013676,137.30508444058697,1782399536.617258,1782399536.617713,1782399536.617926,1782399536.618158,1782399536.618354,1782399536.65364,1782399536.50318
35,12,1782399539.7090418,124.25736332919371,46.390083965709984,1.144151101898597,0.00038935888860226726,171.7919877556908,138.11903411865237,138.11864376262088,1782399539.675275,1782399539.67558,1782399539.675758,1782399539.675938,1782399539.676325,1782399539.693655,1782399539.450032
36,23,1782399544.9004025,124.25734664392384,46.396438219588795,1.1440715191867332,0.00046604270658127516,171.798322425406,139.23770629882816,139.23728783041747,1782399544.786434,1782399544.786735,1782399544.787006,1782399544.78718,1782399544.787597,1782399544.867635,1782399544.578129
37,25,1782399545.627327,124.25729253706257,46.385022607369486,1.1440511316184658,0.00030848329798212565,171.78667475934847,139.44111328125004,139.44067766092596,1782399545.544631,1782399545.544922,1782399545.545179,1782399545.545358,1782399545.545947,1782399545.607697,1782399545.316165
