,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,7,1782399697.715906,-0.3991648519045798,45.992966930455864,1.099977668436957,0.0004098410754592638,46.69418958806384,137.61056427001955,137.61017254328326,1782399697.684652,1782399697.685078,1782399697.685379,1782399697.685721,1782399697.686109,1782399697.675734,1782399697.433258
1,5,1782399697.0795877,-0.39912188096771495,46.02912034117984,1.1001308879830898,0.0005100697258354843,46.73063941792102,137.40716217041017,137.40678271277477,1782399697.022536,1782399697.022795,1782399697.022979,1782399697.023329,1782399697.023804,1782399697.068741,1782399696.825791
2,10,1782399698.6582606,-0.39912398394022497,46.12763957701124,1.099938199546583,0.0004620281979573034,46.82891582081559,137.91568786621096,137.91525728904597,1782399698.647432,1782399698.647707,1782399698.647934,1782399698.648143,1782399698.648541,1782399698.643745,1782399698.398129
3,15,1782399700.447103,-0.39911910629506225,46.16687329646026,1.1000665438167332,0.0004714500039115209,46.868292183985936,138.4240399169922,138.42373186531717,1782399700.394745,1782399700.394958,1782399700.3952,1782399700.395405,1782399700.396272,1782399700.421729,1782399700.091956
4,20,1782399702.3303156,-0.3991330511474768,46.22858224722167,1.1000462054002644,0.00036677336735675524,46.929862174841894,138.9326095581055,138.93220644158833,1782399702.222068,1782399702.222414,1782399702.222681,1782399702.222922,1782399702.223051,1782399702.276741,1782399701.98612
5,25,1782399704.1044767,-0.3989377472564481,46.24818570134734,1.099926803777675,0.0005424077472521065,46.94971716561577,139.44112945556643,139.44068101785953,1782399704.033143,1782399704.03356,1782399704.033756,1782399704.033944,1782399704.034136,1782399704.096705,1782399703.806114
6,30,1782399706.029903,-0.3990708555865628,46.161074630180266,1.099933162232444,0.0004016198980582627,46.862338556724254,139.9495004272461,139.9491555941307,1782399705.927353,1782399705.92756,1782399705.927746,1782399705.927886,1782399705.928351,1782399706.02375,1782399705.68619
7,35,1782399708.136526,-0.39919012480862975,46.16565934500429,1.0999991864964747,0.0004088326070591045,46.866877239299214,140.45798248291018,140.4576301704019,1782399708.096169,1782399708.09676,1782399708.097038,1782399708.097243,1782399708.098782,1782399708.12469,1782399707.786434
8,40,1782399710.2283556,-0.3989769813958443,46.10323393945718,1.1000356184017788,0.0004030707816945324,46.80469564724483,140.96645690917973,140.9661047466731,1782399710.128669,1782399710.129194,1782399710.129436,1782399710.129689,1782399710.129907,1782399710.222753,1782399709.886324
9,45,1782399712.4796283,-0.39905188415325493,46.17911111874551,1.1000367980448305,0.0005156200260703323,46.88061165266317,141.47492767333986,141.47457932294427,1782399712.369986,1782399712.370226,1782399712.370485,1782399712.370729,1782399712.371133,1782399712.470755,1782399712.100771
10,51,1782399715.1482296,-0.3992633148051453,46.183377078217816,1.1000828249760497,0.0005418193498842137,46.88473840773872,142.08509552001956,142.0847488144697,1782399715.129135,1782399715.129684,1782399715.129924,1782399715.130141,1782399715.130515,1782399715.142746,1782399714.806534
11,56,1782399717.2587352,-0.3992626997005786,46.16639963196581,1.09982362373647,0.0004443211612177297,46.867404877162826,142.59358428955082,142.5932233907409,1782399717.227508,1782399717.227943,1782399717.228301,1782399717.228492,1782399717.229207,1782399717.238761,1782399716.902697
12,1,1782399694.0983741,-0.39908489724720203,45.92908180413967,1.1000699829528457,0.0004249174545996026,46.63049180730003,136.9998278808594,137.00000305175783,1782399693.944556,1782399693.944983,1782399693.945214,1782399693.945435,1782399693.946036,1782399694.014705,1782399693.401894
13,3,1782399695.2190444,-0.3990089013015317,46.219342810557194,1.1000506260828034,0.0004992372558119143,46.92088377259434,137.2037014770508,137.20339288226631,1782399695.207547,1782399695.207904,1782399695.208089,1782399695.208316,1782399695.208521,1782399695.207741,1782399694.965412
14,4,1782399696.4310417,-0.39917099252473437,46.06620767529383,1.1000187638048717,0.0005060060599630555,46.767561452633814,137.30543548583987,137.30508779752054,1782399696.406004,1782399696.40617,1782399696.406395,1782399696.406547,1782399696.407037,1782399696.40369,1782399696.159487
15,8,1782399698.016107,-0.39913396859157524,46.12277483412119,1.1000363437630993,0.00045848440722764407,46.82413569370009,137.71228332519533,137.71186745853748,1782399697.920536,1782399697.920755,1782399697.921017,1782399697.921216,1782399697.922551,1782399698.00674,1782399697.764649
16,14,1782399700.0096436,-0.39905910157873853,46.05609389567875,1.0998908738164475,0.00034207855326836976,46.75726774646974,138.322321472168,138.3220369500629,1782399699.980075,1782399699.980469,1782399699.980597,1782399699.980801,1782399699.981238,1782399699.953722,1782399699.663257
17,16,1782399700.8676622,-0.39907042218358824,45.978883604055326,1.100099520201989,0.0004544937324211076,46.68036719580616,138.525749206543,138.5254267805714,1782399700.827922,1782399700.828194,1782399700.828375,1782399700.828599,1782399700.828938,1782399700.829747,1782399700.538456
