,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,7,1782399784.3122463,-0.3992423789095571,46.03813337217399,1.0997236877136496,0.0005922859686862634,46.739206966946824,132.11053344726565,132.11016460871295,1782399784.222244,1782399784.222504,1782399784.222707,1782399784.222947,1782399784.223307,1782399784.257739,1782399784.014298
1,9,1782399784.9721732,-0.3992197019552834,45.93227233667798,1.0999119361047913,0.0005322694371612909,46.633496840264776,132.3139749145508,132.31355443922143,1782399784.952788,1782399784.952871,1782399784.953115,1782399784.9533,1782399784.953646,1782399784.96076,1782399784.718028
2,4,1782399783.1718035,-0.3990829744869254,45.91673524755223,1.1000121134182304,0.0005148052074368234,46.618179191691,131.80541625976565,131.80507986295024,1782399783.154554,1782399783.154763,1782399783.154992,1782399783.155156,1782399783.15613,1782399783.157736,1782399782.91598
3,8,1782399784.6657279,-0.39932288462913645,46.047077885662695,1.099739203296541,0.0006770196585034689,46.74817122398858,132.21224731445315,132.21185952396718,1782399784.604706,1782399784.605046,1782399784.605261,1782399784.605449,1782399784.605828,1782399784.615781,1782399784.372891
4,19,1782399788.4942336,-0.3993172637946798,46.09521292278176,124.65175490667868,0.0004613772368186462,170.34811194290222,133.33091247558596,133.3305035917638,1782399788.444243,1782399788.44443,1782399788.444644,1782399788.444821,1782399788.445793,1782399788.481745,1782399788.19309
5,24,1782399790.3566341,-0.3992954402421403,46.13639343309329,124.65206872300865,0.0005309153784083442,170.38969763123794,133.83943756103517,133.83897816803497,1782399790.296752,1782399790.296927,1782399790.297101,1782399790.297485,1782399790.297956,1782399790.347739,1782399790.056511
6,26,1782399791.078198,-0.39916218446565255,46.02084312861414,124.65208263296559,0.0005124158672391045,170.27427599298187,134.04282867431644,134.04236799854345,1782399791.028718,1782399791.029103,1782399791.029387,1782399791.030473,1782399791.030986,1782399791.070786,1782399790.779165
7,2,1782399781.9863994,-0.3990755470620632,46.100588567940775,1.0997333989165345,0.0005151180262906375,46.80176153782161,131.60166229248048,131.60169003244175,1782399781.960763,1782399781.961104,1782399781.961408,1782399781.961603,1782399781.961821,1782399781.979743,1782399781.781875
8,3,1782399782.5658967,-0.39911403354409253,46.088557787682895,1.0997215548236903,0.0006032286701154642,46.78976853763272,131.7037112426758,131.703384947696,1782399782.485569,1782399782.485768,1782399782.486079,1782399782.486273,1782399782.486472,1782399782.557739,1782399782.315614
9,13,1782399786.371693,-0.3993205359126718,45.91928677987647,1.0999482518331272,0.0004657045642964347,46.62038020036097,132.720612487793,132.72033410023838,1782399786.302665,1782399786.30317,1782399786.303428,1782399786.30359,1782399786.303812,1782399786.365776,1782399786.075622
10,15,1782399787.0881965,-0.39931770315508425,46.075147720249575,1.1000592097733284,0.0006566834537782524,46.77654591032161,132.92404205322268,132.92372393074686,1782399787.038739,1782399787.039237,1782399787.040487,1782399787.041182,1782399787.041333,1782399787.083746,1782399786.793526
11,18,1782399788.148947,-0.39923325808544213,45.944318012045706,1.1477243211267594,0.0005165659306997299,46.69332564101763,133.22919860839846,133.22880867650954,1782399788.091486,1782399788.091729,1782399788.091967,1782399788.092248,1782399788.092458,1782399788.142761,1782399787.851155
12,23,1782399790.0093791,-0.3993202722964293,46.199137593992035,124.65204958061878,0.0005956018485367133,170.45246250416267,133.7377377319336,133.73728325278074,1782399789.948223,1782399789.948444,1782399789.948695,1782399789.948877,1782399789.949293,1782399789.985753,1782399789.692176
13,34,1782399794.2829227,-0.3991023346424888,46.030861579525855,124.65236336864906,0.00040096744730601906,170.28452358097968,134.85628540039065,134.85592732057736,1782399794.233317,1782399794.233573,1782399794.233761,1782399794.23396,1782399794.234114,1782399794.271777,1782399793.934424
14,40,1782399796.948741,-0.39933984840880093,45.92843237734849,124.65228261820977,0.0006551402140994256,170.1820302873631,135.4664492797852,135.4660968121028,1782399796.916461,1782399796.91685,1782399796.917089,1782399796.917313,1782399796.918133,1782399796.910732,1782399796.574469
15,45,1782399799.0824554,-0.39941025479651904,46.02973699872928,124.6523811601089,0.0005423004950736549,170.28325020453647,135.97492309570316,135.97457138837396,1782399798.998347,1782399798.998551,1782399799.000195,1782399799.000312,1782399799.000439,1782399799.016773,1782399798.674977
16,48,1782399800.311641,-0.39931420614414004,45.80102854441933,1.1444764242163483,0.0005140514629604837,46.54670481395451,136.28000305175783,136.27965613413667,1782399800.27728,1782399800.277489,1782399800.277786,1782399800.27807,1782399800.278367,1782399800.285777,1782399799.948867
17,57,1782399804.274611,-0.39925685695188434,45.959220569490036,1.0999488952747891,0.0006579064265353149,46.66057051423975,137.1952691650391,137.1949103714248,1782399804.184882,1782399804.185155,1782399804.185317,1782399804.185456,1782399804.185868,1782399804.191734,1782399803.855173
18,5,1782399783.5517683,-0.3992043481708601,45.864203173993836,1.0998421926883652,0.0005948942820816539,46.565435912793426,131.9071197509766,131.90677477820446,1782399783.464542,1782399783.464756,1782399783.464951,1782399783.46652,1782399783.466767,1782399783.46978,1782399783.227378
19,10,1782399785.295536,-0.39936732556165827,45.83935813069809,1.0998500316547448,0.0004998152258846796,46.54034065201708,132.41568481445316,132.41524935447566,1782399785.275183,1782399785.275429,1782399785.275576,1782399785.275792,1782399785.27598,1782399785.274778,1782399785.031802
20,14,1782399786.7382607,-0.3993231363305209,45.91907675882693,1.1000669117104633,0.0005314292950967558,46.62035196350188,132.82235412597657,132.8220290154926,1782399786.660967,1782399786.661265,1782399786.661459,1782399786.661788,1782399786.662039,1782399786.72878,1782399786.434951
21,21,1782399789.2468543,-0.3993686838555172,46.00073770928534,124.65192833505893,0.0005334164396252819,170.25383077692854,133.53432525634767,133.53389342227226,1782399789.237781,1782399789.237993,1782399789.238188,1782399789.238378,1782399789.238778,1782399789.239778,1782399788.949439
22,27,1782399791.4366624,-0.3991565785247692,45.99374892372507,124.65204966253864,0.0005184234788459596,170.24716043121757,134.14453582763673,134.14406291379768,1782399791.36907,1782399791.36934,1782399791.369533,1782399791.369775,1782399791.370881,1782399791.418727,1782399791.127508
23,32,1782399793.42575,-0.3993095936045779,46.08913571794678,124.6522279122631,0.00045928730895243905,170.34251332391395,134.6528747558594,134.65253749006888,1782399793.339998,1782399793.340241,1782399793.340508,1782399793.340725,1782399793.342565,1782399793.417787,1782399793.079377
24,37,1782399795.704812,-0.3992798675221953,46.074167622018884,124.65228997310524,0.00047823966265291614,170.32765596726418,135.16137207031252,135.16101206634008,1782399795.646302,1782399795.646818,1782399795.647256,1782399795.647607,1782399795.647794,1782399795.685783,1782399795.348884
25,42,1782399797.7488568,-0.3992362040341852,45.90665125815696,124.6522069795567,0.0005917571558619552,170.16021379083597,135.66983978271486,135.66948664261125,1782399797.644648,1782399797.644857,1782399797.64501,1782399797.645164,1782399797.645541,1782399797.732729,1782399797.393324
