,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,2,1782399887.8428707,-0.39947722523694257,14.964996288796948,1.099980252629748,0.00042595869449873347,15.665925274884255,131.6015090942383,131.6016747736527,1782399887.775434,1782399887.77579,1782399887.776038,1782399887.776231,1782399887.777063,1782399887.815844,1782399887.618693
1,9,1782399890.4581425,-0.3995611356273133,15.001827427020842,1.0998682550546353,0.0002629651755247258,15.702397511623627,132.31396545410158,132.31353918043237,1782399890.379786,1782399890.380111,1782399890.380365,1782399890.380597,1782399890.381267,1782399890.402782,1782399890.157359
2,15,1782399893.5223293,-0.39968082186942516,15.128303294603898,1.0998359176426955,0.00036519139772460093,15.828823581774882,132.92406066894534,132.9237086719578,1782399893.3711,1782399893.371331,1782399893.371777,1782399893.372035,1782399893.37253,1782399893.420834,1782399893.12898
3,23,1782399896.5363824,-0.3995874540601892,15.130129435076354,47.67894325136691,0.0003847649202919402,62.40986999730334,133.737744140625,133.73726799399168,1782399896.4803,1782399896.480448,1782399896.480601,1782399896.480799,1782399896.481032,1782399896.525818,1782399896.233508
4,48,1782399906.4220915,-0.39956169711501505,14.941841840473666,1.1192406332353346,0.0003512530833667152,15.661872029677326,136.27998931884767,136.2796408753476,1782399906.370662,1782399906.370885,1782399906.371263,1782399906.372104,1782399906.373599,1782399906.375836,1782399906.031409
5,51,1782399907.7336206,-0.3996338147742723,14.962693504808064,1.1003558587219462,0.00036339641334913215,15.663778945169081,136.58507934570315,136.58472562111032,1782399907.704391,1782399907.704586,1782399907.704824,1782399907.705113,1782399907.7059,1782399907.727802,1782399907.388194
6,53,1782399908.605753,-0.399610448247569,15.034994368211827,1.0998879068354428,0.0003266893552742155,15.735598516155022,136.78848480224613,136.7881154516188,1782399908.501022,1782399908.501258,1782399908.501516,1782399908.501661,1782399908.502421,1782399908.600828,1782399908.262172
7,3,1782399888.1280963,-0.3994462987325746,14.968179373780368,1.1000375725579425,0.00043916858781130417,15.669209816193524,131.70385345458988,131.70336968890695,1782399888.034024,1782399888.034351,1782399888.03452,1782399888.034668,1782399888.034865,1782399888.105794,1782399887.909957
8,20,1782399895.4558587,-0.3996587823600759,15.047970987947618,47.58587666685861,0.0002461161562127629,62.234434988602295,133.43263793945314,133.43218324822897,1782399895.406342,1782399895.407068,1782399895.407333,1782399895.407452,1782399895.408582,1782399895.446835,1782399895.157751
9,25,1782399897.2417135,-0.3995606083948276,14.891450194206342,47.612530552624776,0.0003289267548857925,62.10474906519128,133.94112701416017,133.94065782450016,1782399897.17889,1782399897.17909,1782399897.179209,1782399897.179407,1782399897.181628,1782399897.234825,1782399896.942933
10,28,1782399898.367534,-0.3996469717566746,15.054353542535305,47.638434026040386,0.00046620209523536124,62.293606798914276,134.2462161254883,134.24574257026288,1782399898.333317,1782399898.333506,1782399898.333847,1782399898.334042,1782399898.33433,1782399898.315853,1782399898.024375
11,31,1782399899.5189497,-0.39963765880546814,14.944944491863636,47.64145026309975,0.00037508392157313265,62.18713218007949,134.55131774902347,134.5508273160256,1782399899.466642,1782399899.466813,1782399899.467022,1782399899.467228,1782399899.467489,1782399899.511816,1782399899.222876
12,46,1782399905.5700037,-0.3996438619786297,14.913722852024199,47.70212103142328,0.0004842085443064429,62.21668423001316,136.07657684326173,136.07625104483913,1782399905.563256,1782399905.563557,1782399905.563782,1782399905.564036,1782399905.565086,1782399905.561825,1782399905.221882
13,1,1782399887.4777322,-0.39954038888010174,15.00878195382825,1.100094526081856,0.0004151634648149043,15.709751254494812,131.49996063232425,131.49997985839846,1782399887.291773,1782399887.292073,1782399887.292333,1782399887.292555,1782399887.294471,1782399887.360784,1782399886.788585
14,5,1782399888.740932,-0.399606342089488,14.922841638298577,1.0999713308344583,0.000580672941141745,15.623787299984674,131.9070889282227,131.9067595194154,1782399888.731906,1782399888.732344,1782399888.732637,1782399888.732822,1782399888.733562,1782399888.734816,1782399888.489836
15,8,1782399890.0862794,-0.39956162562586495,15.09654840983037,1.0999462425673758,0.00046498508093265674,15.797398011852856,132.21223175048831,132.21184426517812,1782399890.043566,1782399890.043856,1782399890.044093,1782399890.04429,1782399890.044458,1782399890.076764,1782399889.831179
16,13,1782399892.6997986,-0.39970053351331203,15.080405089732125,1.099904619934762,0.00021482980199039858,15.780824005955541,132.7206530761719,132.7203188414493,1782399892.685392,1782399892.685794,1782399892.686154,1782399892.686399,1782399892.687073,1782399892.673814,1782399892.38296
17,18,1782399894.7021935,-0.3996793965544877,15.022458643728815,1.1143798768122755,0.00038274500426444414,15.73754186899089,133.2291967773438,133.22879341772048,1782399894.623965,1782399894.624422,1782399894.624593,1782399894.624903,1782399894.625716,1782399894.689775,1782399894.399833
18,22,1782399896.1878614,-0.3996231837418537,15.092961667368984,47.6557731717582,0.0003233079324258237,62.34943496331782,133.63603332519534,133.63557307873745,1782399896.123316,1782399896.123507,1782399896.123685,1782399896.123863,1782399896.124028,1782399896.180777,1782399895.888986
19,27,1782399897.9571447,-0.3995911580917981,14.972707487186762,47.503304584604265,0.0004017480048269687,62.076822661704114,134.1445236206055,134.14404765500862,1782399897.890928,1782399897.891176,1782399897.89144,1782399897.891665,1782399897.891907,1782399897.922784,1782399897.631773
20,30,1782399899.1741295,-0.3995239999923554,14.885679828635148,47.60420743958909,0.00037146267093681563,62.090734730902696,134.44960540771487,134.44913240077133,1782399899.080639,1782399899.080893,1782399899.081144,1782399899.081319,1782399899.081778,1782399899.115814,1782399898.826471
21,32,1782399899.8745282,-0.39965385258740876,14.938698972286964,47.567475809627965,0.00039897583393672375,62.10691990516156,134.6530081176758,134.65252223127982,1782399899.811772,1782399899.811969,1782399899.812099,1782399899.812253,1782399899.812391,1782399899.856818,1782399899.565778
22,35,1782399901.0301201,-0.3996010831688554,15.054094367623236,47.51773469034611,0.0004664463918640552,62.172694421192396,134.9579187011719,134.95760697704253,1782399900.98203,1782399900.982319,1782399900.982561,1782399900.982836,1782399900.983251,1782399901.012774,1782399900.673989
23,37,1782399901.7972262,-0.39971617027562206,15.025136784486934,47.521196150310885,0.0004974482298908063,62.14711421275215,135.16149108886722,135.16099680755102,1782399901.793052,1782399901.793228,1782399901.793366,1782399901.79348,1782399901.79361,1782399901.790776,1782399901.498306
24,40,1782399903.058928,-0.39968197910004877,14.965598051236514,47.576214440012386,0.0005185605232962031,62.14264907267212,135.4664096069336,135.46608155331373,1782399903.011088,1782399903.011472,1782399903.011654,1782399903.011875,1782399903.012296,1782399903.047773,1782399902.717691
25,42,1782399903.886391,-0.3996116546269818,15.066875861419435,47.50661337313983,0.0005341508191249548,62.17441173075157,135.6697970581055,135.66947138382218,1782399903.861699,1782399903.86191,1782399903.862272,1782399903.862455,1782399903.863022,1782399903.872778,1782399903.535578
26,45,1782399905.1719444,-0.3995320097559238,14.937030719979324,47.63945433982719,0.0005306427791214484,62.17748369282968,135.97488433837893,135.9745561295849,1782399905.062318,1782399905.062582,1782399905.062757,1782399905.062986,1782399905.063444,1782399905.162777,1782399904.821465
27,47,1782399905.9775321,-0.3996025501857984,14.849626215147538,47.45610200205616,0.00034166146146328197,61.90646732847943,136.17828063964845,136.17794596009338,1782399905.960089,1782399905.96052,1782399905.960815,1782399905.961058,1782399905.961293,1782399905.967783,1782399905.626683
28,50,1782399907.3289394,-0.3996029314612674,14.928311122650003,1.1005467791833274,0.00031456836949564067,15.62956953874155,136.48339843750003,136.4830307058561,1782399907.29689,1782399907.297208,1782399907.297396,1782399907.298098,1782399907.298448,1782399907.299771,1782399906.958313
29,52,1782399908.2036047,-0.3995436431258052,14.980007580543623,1.1003735012370044,0.0003946231830279122,15.681232061837852,136.68680145263676,136.68642053636455,1782399908.12843,1782399908.128772,1782399908.128946,1782399908.129122,1782399908.129711,1782399908.193857,1782399907.856333
30,55,1782399909.4581969,-0.39971737963374987,14.97144140284616,1.100089677927653,0.0003702471462477022,15.672183948286325,136.99189575195314,136.99150528212726,1782399909.406195,1782399909.406411,1782399909.406669,1782399909.40692,1782399909.407697,1782399909.418829,1782399909.080451
31,57,1782399910.2782645,-0.39960170720956567,14.877307287366241,1.0999897463731831,0.0004903919303168715,15.578185718460187,137.19528656005863,137.19489511263575,1782399910.274531,1782399910.275087,1782399910.275461,1782399910.275829,1782399910.188574,1782399910.270829,1782399909.92881
32,6,1782399889.4479122,-0.39960719102314884,15.015806487652158,1.099910610495809,0.0004297452922434961,15.716539652417083,132.00882965087894,132.00845443466966,1782399889.432297,1782399889.432489,1782399889.432732,1782399889.432926,1782399889.433323,1782399889.431797,1782399889.188767
