,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,1,1782400575.390575,-0.39966019278144094,15.078135074984948,1.1007103861418712,0.00045544708511845134,15.779640715430476,40.499741821289064,40.5,1782400575.001719,1782400575.001984,1782400575.00228,1782400575.002546,1782400575.002755,1782400575.063072,1782400574.485619
1,7,1782400577.9642963,-0.3997504940039938,15.142973488334118,1.100599885462297,0.0004183989055315137,15.844241278697945,41.11062164306641,41.110169491525426,1782400577.933582,1782400577.933889,1782400577.934146,1782400577.934359,1782400577.934554,1782400577.953038,1782400577.800759
2,9,1782400578.431318,-0.39960984952593304,15.012431255751224,1.1005614219495194,0.00040571037697530404,15.713788538551741,41.313978881835936,41.313559322033896,1782400578.391761,1782400578.39193,1782400578.392116,1782400578.392288,1782400578.39275,1782400578.407052,1782400578.252662
3,15,1782400580.1461418,-0.3997370525543465,15.027219120849525,1.1005807490305972,0.00045790196831411154,15.728520719294098,41.92393402099609,41.92372881355932,1782400580.04198,1782400580.042148,1782400580.042444,1782400580.042635,1782400580.04372,1782400580.117115,1782400579.916014
4,19,1782400581.1730342,-0.3996423726213277,15.174484093305448,1.1006497968746705,0.0003111303413308445,15.875802647900095,42.3309814453125,42.33050847457627,1782400581.154702,1782400581.154902,1782400581.155057,1782400581.155243,1782400581.156211,1782400581.163055,1782400581.006961
5,21,1782400581.6831787,-0.39967161913065835,15.116795332703216,1.1006985748168954,0.00032760099879104916,15.818149889388257,42.53408966064453,42.53389830508475,1782400581.602473,1782400581.602797,1782400581.603148,1782400581.603487,1782400581.603787,1782400581.669087,1782400581.4661
6,25,1782400582.8354752,-0.3996199980065864,15.076371493974014,1.1704268241899054,0.00030808706076729237,15.847486407218087,42.94086975097656,42.940677966101696,1782400582.703883,1782400582.70404,1782400582.704231,1782400582.704396,1782400582.704794,1782400582.761102,1782400582.558765
7,2,1782400576.3880246,-0.39979594621012327,14.990764828905839,1.1006205575151864,0.0004028100993163524,15.691992250310234,40.602046203613284,40.601694915254235,1782400576.371921,1782400576.372289,1782400576.372621,1782400576.372805,1782400576.373009,1782400576.382043,1782400576.227431
8,8,1782400578.20508,-0.399603682097347,14.968131709428693,1.1006119827613499,0.00043163263266151946,15.669571642725359,41.21228790283203,41.21186440677966,1782400578.154495,1782400578.154714,1782400578.154897,1782400578.155086,1782400578.155308,1782400578.183067,1782400578.026197
9,20,1782400581.414982,-0.39963251158663393,15.088630169413092,1.100636062671942,0.00028855822660764005,15.789922278724989,42.43268493652344,42.432203389830505,1782400581.374771,1782400581.375172,1782400581.375413,1782400581.375624,1782400581.375782,1782400581.403037,1782400581.250879
10,24,1782400582.513647,-0.3996352937060736,15.047625421398218,1.1006104009672621,0.00039476618593251375,15.74899529484533,42.839191894531254,42.83898305084746,1782400582.452562,1782400582.452962,1782400582.45341,1782400582.453713,1782400582.454395,1782400582.486078,1782400582.2861
11,30,1782400584.1325605,-0.3996196971564106,15.036716242915096,57.62473048203079,0.0004941591630849713,72.26232118695262,43.4493310546875,43.44915254237288,1782400584.064016,1782400584.064897,1782400584.065125,1782400584.065963,1782400584.066382,1782400584.12504,1782400583.922566
12,36,1782400585.7272072,-0.39967794443111854,15.193034463161863,57.682981057735155,0.0005041783040886179,72.47684175477006,44.05979827880859,44.059322033898304,1782400585.708682,1782400585.708913,1782400585.709144,1782400585.709377,1782400585.709595,1782400585.721075,1782400585.567297
13,39,1782400586.587226,-0.39957608430654823,15.114881311082417,57.63590313903046,0.0003940035037746389,72.35160236931016,44.36462768554688,44.36440677966102,1782400586.566516,1782400586.56688,1782400586.567304,1782400586.567459,1782400586.56776,1782400586.572096,1782400586.371972
14,48,1782400589.1798325,-0.3997587286605135,14.979630734263438,57.57333513083112,0.0004081846251476293,72.15361532105905,45.27986968994141,45.279661016949156,1782400589.15636,1782400589.15665,1782400589.156878,1782400589.15719,1782400589.157561,1782400589.15307,1782400588.951514
15,51,1782400590.0946739,-0.39978866623163245,15.07439938142465,57.64116784127852,0.00047743825054171244,72.31625599472194,45.58495788574219,45.58474576271186,1782400590.073883,1782400590.074082,1782400590.074275,1782400590.074461,1782400590.074726,1782400590.071046,1782400589.870152
16,54,1782400590.8386838,-0.39981377381702277,15.120931704719558,57.89887318325259,0.0004794134781615215,72.62047052763322,45.89029937744141,45.889830508474574,1782400590.74298,1782400590.743159,1782400590.743316,1782400590.743517,1782400590.745287,1782400590.833043,1782400590.678345
17,56,1782400591.4468815,-0.3996427628329399,15.203383585513096,1.101620920142069,0.00047042812898905517,15.905832170951248,46.093414306640625,46.09322033898305,1782400591.4419,1782400591.44224,1782400591.442549,1782400591.442923,1782400591.4434,1782400591.440107,1782400591.237697
18,4,1782400577.32773,-0.39965786640533546,15.04370204945326,1.1005391800181294,0.0003818586841786324,15.744965221750254,40.80551177978516,40.80508474576271,1782400577.292141,1782400577.292461,1782400577.292888,1782400577.293205,1782400577.293413,1782400577.306079,1782400577.121288
19,10,1782400578.8372424,-0.39976506885454677,14.997521250751772,1.1006474271624316,0.00032936172205395625,15.698732970781675,41.41542388916016,41.41525423728814,1782400578.822185,1782400578.822449,1782400578.824568,1782400578.824802,1782400578.825015,1782400578.829036,1782400578.62867
20,12,1782400579.328319,-0.3998383169359961,14.986031162982956,1.100617319454593,0.0004269343913999217,15.687237099892961,41.61883056640625,41.61864406779661,1782400579.269269,1782400579.269556,1782400579.269862,1782400579.270933,1782400579.271732,1782400579.312091,1782400579.110015
21,16,1782400580.4580908,-0.39979839918159904,15.118056948510878,1.100686204948799,0.0003906146328582995,15.819335368910949,42.025635681152345,42.02542372881356,1782400580.429551,1782400580.429808,1782400580.430032,1782400580.430214,1782400580.43036,1782400580.440077,1782400580.238155
22,22,1782400581.9435496,-0.39979932407248214,15.165733216245318,1.1004541369888123,0.00021743215693142973,15.866605461318604,42.63607299804688,42.63559322033898,1782400581.889756,1782400581.890123,1782400581.890376,1782400581.890628,1782400581.890856,1782400581.884036,1782400581.72939
23,27,1782400583.3713717,-0.39969312247137984,15.182618312816118,57.667724714808855,0.0004993564248990841,72.45114926157837,43.14428466796875,43.14406779661017,1782400583.301069,1782400583.301246,1782400583.301517,1782400583.301863,1782400583.302106,1782400583.361034,1782400583.160443
