,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,2,1782401029.5689254,-0.39972100324006443,14.759247156870765,1.1008980759899012,0.000523495613118548,15.460947725233705,40.60204711914063,40.6016921686722,1782401029.492711,1782401029.49291,1782401029.493158,1782401029.493342,1782401029.493631,1782401029.553274,1782401029.39852
1,5,1782401030.696754,-0.3998035359749324,14.857803630476868,1.100887955188735,0.0005567303819161069,15.559444780072598,40.9071826171875,40.906776914434914,1782401030.662417,1782401030.662756,1782401030.663,1782401030.663169,1782401030.663717,1782401030.678223,1782401030.523746
2,10,1782401033.5510457,-0.39979069175756177,14.836904301790875,1.10087498358353,0.0005154740439385524,15.538504067660764,41.415433959960936,41.415251490706105,1782401033.526512,1782401033.526722,1782401033.527097,1782401033.527274,1782401033.528132,1782401033.544227,1782401033.337587
3,14,1782401034.5622025,-0.3998287239856173,14.713304679927482,1.1010124596611823,0.0004647944103931888,15.414953210013408,41.82224609375,41.82203115172305,1782401034.495976,1782401034.496272,1782401034.496591,1782401034.496905,1782401034.498563,1782401034.551265,1782401034.3512
4,20,1782401036.0452647,-0.39971578900015153,14.797888050946213,1.1009107377898597,0.0005137982286502528,15.499596797964552,42.43266723632813,42.43220064324848,1782401035.981924,1782401035.982153,1782401035.982385,1782401035.98258,1782401035.982897,1782401036.011273,1782401035.859133
5,29,1782401038.549618,-0.3997775422219476,14.870591082317045,57.610420217298824,0.0004763985002561714,72.08171015589421,43.34792633056641,43.34745488053661,1782401038.487497,1782401038.487819,1782401038.488046,1782401038.488235,1782401038.488384,1782401038.511227,1782401038.35744
6,32,1782401039.2506099,-0.399678418046741,14.85140171224637,57.604274627029525,0.00037128540691965336,72.05636920663592,43.65300170898438,43.65253962629932,1782401039.216439,1782401039.216609,1782401039.216904,1782401039.217083,1782401039.217602,1782401039.242235,1782401039.088008
7,35,1782401040.0815938,-0.3996327394583007,14.907441584183752,57.547329925118035,0.00042503066523241263,72.0555638005087,43.957822265625,43.957624372062035,1782401040.015056,1782401040.015471,1782401040.015666,1782401040.015835,1782401040.016068,1782401040.075269,1782401039.874429
8,40,1782401041.4879823,-0.39966508383081945,15.022099671580488,57.831892526597116,0.00046933475261428905,72.45479644909932,44.46633880615234,44.46609894833322,1782401041.458073,1782401041.458255,1782401041.458758,1782401041.459192,1782401041.459466,1782401041.440257,1782401041.239947
9,44,1782401042.5155716,-0.39969186992188854,14.970672815175849,57.78234002955789,0.00042357978159614256,72.35374455459348,44.8730859375,44.87287860935017,1782401042.446508,1782401042.446725,1782401042.446961,1782401042.447219,1782401042.447314,1782401042.506263,1782401042.304825
10,1,1782401029.2853115,-0.39975510207548465,14.83555927336783,1.1008394930095564,0.0005383247164030127,15.537181989018292,40.49971893310547,40.499997253417966,1782401029.186103,1782401029.186298,1782401029.186749,1782401029.187068,1782401029.188197,1782401029.170267,1782401028.594365
11,4,1782401030.167598,-0.3997411259465671,14.82560933996165,1.1009410867883225,0.0006168660825282508,15.527426166885885,40.805452270507814,40.80508199918068,1782401030.1509,1782401030.151068,1782401030.151232,1782401030.151378,1782401030.151791,1782401030.16222,1782401030.007726
12,12,1782401034.059944,-0.3998765115039946,14.771377734364831,1.1009718215538946,0.000546459496215818,15.473019503910885,41.61884033203125,41.618641321214575,1782401033.958925,1782401033.959178,1782401033.959429,1782401033.959673,1782401033.959795,1782401034.041268,1782401033.840525
