,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_x,sample_x_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_x,ts_sample_x_user_setpoint
0,4,1782401360.0719647,-0.3998613841018828,15.021719846278286,1.1006048736246368,0.0004728025730508773,15.72293613837411,56.26552185058596,56.265077116368204,1782401359.992731,1782401359.993202,1782401359.993486,1782401359.993712,1782401359.994485,1782401360.059394,1782401359.908614
1,6,1782401360.676438,-0.3999026407884929,14.85560809127917,1.1004939976040917,0.00036906737228473857,15.556568515467022,56.46883728027346,56.468466946876674,1782401360.648153,1782401360.64839,1782401360.64866,1782401360.648872,1782401360.649103,1782401360.671451,1782401360.426738
2,9,1782401361.615555,-0.3998922272022406,14.897391853541304,1.100650009865776,0.0004598622997980244,15.598609498504628,56.77397766113284,56.77355169263939,1782401361.595956,1782401361.596177,1782401361.59646,1782401361.596717,1782401361.597491,1782401361.607426,1782401361.36524
3,15,1782401364.741698,-0.39992657624968725,14.899560581541204,1.7577777982420248,0.0003504889115952501,16.257762292445125,57.38410797119143,57.38372118416481,1782401364.670971,1782401364.67129,1782401364.67163,1782401364.671915,1782401364.672357,1782401364.726407,1782401364.437132
4,2,1782401359.3044994,-0.3999491787360958,14.994272627284856,1.1006319622207816,0.0005081630204407973,15.695463573789997,56.06140350341799,56.061687285859726,1782401359.279449,1782401359.279645,1782401359.279918,1782401359.280153,1782401359.28038,1782401359.298435,1782401359.102135
5,5,1782401360.3481524,-0.3998205816692487,14.928218772968679,1.1007553317336305,0.0004879415159619799,15.629641464549037,56.36723419189455,56.36677203162244,1782401360.259224,1782401360.259372,1782401360.25952,1782401360.259651,1782401360.260178,1782401360.318427,1782401360.122004
6,14,1782401364.3743346,-0.399926245612366,14.916399503271352,1.1018292045916749,0.0004790812943310399,15.618781543544959,57.28238342285159,57.28202626891058,1782401364.329422,1782401364.329558,1782401364.329996,1782401364.330168,1782401364.330356,1782401364.368388,1782401364.077257
7,19,1782401366.2629097,-0.3998782734136825,15.02914654806923,57.51389805763582,0.0004218711948088716,72.14358820348613,57.79097290039065,57.79050084518176,1782401366.130831,1782401366.131046,1782401366.131303,1782401366.131578,1782401366.131916,1782401366.167435,1782401365.876828
8,24,1782401368.355134,-0.3998052978846198,15.06179364992513,57.72578492859485,0.0002756194429683759,72.38804890007832,58.29932891845706,58.29897542145295,1782401368.336908,1782401368.337111,1782401368.337342,1782401368.337586,1782401368.339721,1782401368.341381,1782401368.005936
9,29,1782401370.3771389,-0.39995898764328425,15.087511546660426,57.62374064235614,0.00040878642903782763,72.31170198780231,58.80780731201174,58.807449997724135,1782401370.273937,1782401370.274189,1782401370.274419,1782401370.274594,1782401370.274699,1782401370.370474,1782401370.033335
10,34,1782401372.454422,-0.39986523111179373,15.150482113229419,57.7355209352623,0.00035608687946496497,72.48649390425946,59.31630035400393,59.315924573995325,1782401372.396278,1782401372.396523,1782401372.396699,1782401372.39691,1782401372.397109,1782401372.419436,1782401372.082079
11,39,1782401374.4817088,-0.39975308995376974,15.144007208960444,57.72290403174427,0.00032341965344504376,72.46748157040433,59.82475372314455,59.82439915026651,1782401374.473916,1782401374.474191,1782401374.474396,1782401374.474554,1782401374.474781,1782401374.476372,1782401374.138789
12,44,1782401376.5181227,-0.3998707551380243,15.039114355607282,57.64543548896409,0.0004191481811670826,72.28509823761462,60.33323699951174,60.33287372653769,1782401376.404612,1782401376.404923,1782401376.405139,1782401376.405356,1782401376.405785,1782401376.503381,1782401376.16562
13,46,1782401377.465271,-0.3999064297134694,14.99747656542207,1.1010592521688263,0.0004126624035979653,15.699042050281008,60.536621704101584,60.53626355704617,1782401377.377801,1782401377.378034,1782401377.378258,1782401377.378477,1782401377.378725,1782401377.444439,1782401377.09591
14,49,1782401378.6940365,-0.3999222317944382,15.046597658815779,1.1006344257682619,0.00041495045007159087,15.747724803239729,60.841692504882836,60.84134830280888,1782401378.668228,1782401378.668393,1782401378.668616,1782401378.669489,1782401378.669773,1782401378.686432,1782401378.350113
