,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,4,1782401402.2327127,-0.3998062093712881,14.878391651366202,1.100629075669988,0.00022799202766810204,15.579442509692557,41.86549896240234,41.865086881993186,1782401402.211179,1782401402.211492,1782401402.211711,1782401402.211921,1782401402.213151,1782401402.221388,1782401402.066779
1,6,1782401402.6710546,-0.39985413391053837,14.88253100240452,1.1006986180108917,0.00022671393920822627,15.583602200444052,42.06894897460938,42.068476712501656,1782401402.651215,1782401402.651526,1782401402.651768,1782401402.652095,1782401402.652353,1782401402.66043,1782401402.508471
2,7,1782401403.1708062,-0.3997294642788944,14.945850114544942,1.10067810681842,0.0002951423186736703,15.647093899403124,42.17059844970703,42.1701716277559,1782401403.075338,1782401403.075628,1782401403.075855,1782401403.076116,1782401403.077751,1782401403.158385,1782401403.005303
3,10,1782401403.85205,-0.399854997737774,14.745994977602033,1.1008577625823426,0.0002755404934481276,15.447273282940063,42.475726013183596,42.47525637351861,1782401403.831519,1782401403.831697,1782401403.831916,1782401403.8321,1782401403.83256,1782401403.842389,1782401403.687765
4,14,1782401404.8105857,-0.39980235044651924,14.89699266459627,1.100876315150311,0.0003558589685857588,15.598422488268666,42.88252624511719,42.88203603453556,1782401404.771145,1782401404.771338,1782401404.771794,1782401404.771976,1782401404.772943,1782401404.784442,1782401404.629728
5,16,1782401405.3479524,-0.39972547131196967,14.90493026865639,1.1068127079381953,0.0004792957986879422,15.612496801081294,43.08564910888672,43.08542586504403,1782401405.277495,1782401405.277812,1782401405.27807,1782401405.278262,1782401405.278695,1782401405.334437,1782401405.133488
6,22,1782401407.172076,-0.3996203316226218,14.79971270190766,57.47128528448183,0.0005380104079356079,71.87191566517485,43.69579895019531,43.695595356569456,1782401407.100415,1782401407.101193,1782401407.101405,1782401407.10162,1782401407.101941,1782401407.160383,1782401406.960286
7,25,1782401408.0094593,-0.3998210359232243,14.823248465044134,57.52555478979981,0.0004628921738392706,71.94944511109452,44.000883178710936,44.00068010233217,1782401407.983559,1782401407.98395,1782401407.984184,1782401407.984361,1782401407.984566,1782401407.987386,1782401407.787111
8,29,1782401409.070428,-0.3996070763426372,15.02144577625632,57.506466153008695,0.00039122686404362533,72.12869607978625,44.407679138183596,44.40745976334912,1782401408.994068,1782401408.994326,1782401408.994559,1782401408.994731,1782401408.995102,1782401409.057389,1782401408.857504
9,31,1782401409.592676,-0.39958146684383666,14.928253031721457,57.67243934890675,0.00020545864289822608,72.20131637242736,44.611075439453124,44.610849593857594,1782401409.512538,1782401409.512726,1782401409.513009,1782401409.513264,1782401409.513894,1782401409.563444,1782401409.362875
10,34,1782401410.3548656,-0.3997149251729172,14.820813114577186,57.59132810115657,0.0004446593035025698,72.01287094986422,44.9161279296875,44.91593433962031,1782401410.258349,1782401410.258544,1782401410.258743,1782401410.258942,1782401410.259133,1782401410.311397,1782401410.111495
11,40,1782401411.9225028,-0.3997087175316831,14.766222536832041,57.48925914220688,0.00045683838421113653,71.8562297998914,45.52630462646484,45.526103831145726,1782401411.88713,1782401411.887343,1782401411.887531,1782401411.887781,1782401411.88796,1782401411.882449,1782401411.681848
12,43,1782401412.6909282,-0.3997208513256197,14.774948092205298,57.504828567164964,0.0005018917472285806,71.88055769979192,45.83141937255859,45.83118857690844,1782401412.610257,1782401412.610524,1782401412.610791,1782401412.611019,1782401412.611483,1782401412.677392,1782401412.477643
13,55,1782401415.841501,-0.39967916123603237,14.91003780183749,1.1005986298573835,0.00047630018575925924,15.611433570644632,47.05173736572266,47.05152755995929,1782401415.76761,1782401415.768142,1782401415.768391,1782401415.768623,1782401415.768809,1782401415.826392,1782401415.625794
14,58,1782401416.7091436,-0.39972225727891314,14.980756804571064,1.1007352688650915,0.00041774347555209005,15.682187559632819,47.356825256347655,47.356612305721995,1782401416.670313,1782401416.670628,1782401416.670785,1782401416.671067,1782401416.671236,1782401416.689438,1782401416.489382
15,9,1782401403.6414375,-0.39969722416138787,14.801943989369132,1.1009274062057326,0.00016767161497084878,15.503341843028453,42.374022521972655,42.37356145826437,1782401403.601377,1782401403.601664,1782401403.601977,1782401403.602992,1782401403.604063,1782401403.626426,1782401403.472365
16,13,1782401404.5854177,-0.3997981504589284,14.7780671282162,1.1008661779652111,0.0002539440756261099,15.479389099798103,42.78054718017578,42.78034111928132,1782401404.510715,1782401404.511039,1782401404.51135,1782401404.511665,1782401404.511863,1782401404.572386,1782401404.371388
