,seq_num,time,tetramm1_current1_mean_value,tetramm1_current2_mean_value,tetramm1_current3_mean_value,tetramm1_current4_mean_value,tetramm1_sum_all_mean_value,sample_y,sample_y_user_setpoint,ts_tetramm1_current1_mean_value,ts_tetramm1_current2_mean_value,ts_tetramm1_current3_mean_value,ts_tetramm1_current4_mean_value,ts_tetramm1_sum_all_mean_value,ts_sample_y,ts_sample_y_user_setpoint
0,2,1782401624.9730973,-0.399440433643521,15.098827361643494,1.1002360787794934,0.0003435413538133583,15.799966548133257,41.66206085205078,41.66170071359408,1782401624.877479,1782401624.877864,1782401624.878109,1782401624.878261,1782401624.878471,1782401624.962524,1782401624.807595
1,7,1782401626.2300172,-0.3995517273572387,15.024627371728775,1.1001264360221334,0.0004251379174108645,15.72562721831106,42.17062866210937,42.17017528986527,1782401626.112248,1782401626.1125,1782401626.112718,1782401626.112976,1782401626.113957,1782401626.151534,1782401625.999352
2,9,1782401626.7382495,-0.39952960146516664,15.102229404742246,1.100185690743664,0.000499903113086466,15.803385397133862,42.37405426025391,42.37356512037374,1782401626.682312,1782401626.682565,1782401626.68282,1782401626.683026,1782401626.683485,1782401626.721523,1782401626.568238
3,3,1782401625.2004046,-0.39950314601141884,15.087874987341708,1.1001567760839086,0.00023450610789542227,15.788763123522072,41.76378112792969,41.76339562884832,1782401625.169879,1782401625.170166,1782401625.170399,1782401625.170582,1782401625.170764,1782401625.18951,1782401625.034393
4,15,1782401629.557902,-0.3996952805501095,15.01747325044881,1.1008031564289402,0.0002690919562187498,15.718850218283837,42.98394836425781,42.983734611899166,1782401629.484418,1782401629.48559,1782401629.485836,1782401629.486119,1782401629.486435,1782401629.552519,1782401629.351458
5,5,1782401625.6668117,-0.3995920144722469,14.961209951863053,1.1001342303050643,0.00028566539701663663,15.662037833092889,41.967243957519536,41.96678545935679,1782401625.618486,1782401625.618678,1782401625.618888,1782401625.619091,1782401625.620054,1782401625.641526,1782401625.487488
6,18,1782401630.4588475,-0.39948486712925596,14.918435664793238,1.1355853830562086,0.00040822186548736933,15.65494440258569,43.28903991699219,43.28881935766188,1782401630.443001,1782401630.443304,1782401630.443524,1782401630.444261,1782401630.444631,1782401630.407482,1782401630.206347
7,21,1782401631.2630837,-0.3996437383619726,15.033561458640463,57.8611791492543,0.0003839158405458691,72.4954807853733,43.59439727783203,43.59390410342459,1782401631.25059,1782401631.250799,1782401631.251043,1782401631.251356,1782401631.251696,1782401631.254521,1782401631.102631
8,24,1782401632.0085504,-0.39963795667692836,14.896816902299564,57.65217902569879,0.0004095893307626213,72.14976756065231,43.899461059570314,43.898988849187305,1782401631.993178,1782401631.993689,1782401631.993976,1782401631.994246,1782401631.994934,1782401632.001488,1782401631.847518
9,33,1782401634.585387,-0.39977944562057954,14.825552738544038,57.67149024862197,0.0003945531711892008,72.09765809471656,44.81470886230469,44.814243086475436,1782401634.55152,1782401634.551742,1782401634.551968,1782401634.552116,1782401634.552302,1782401634.579531,1782401634.426568
10,36,1782401635.4399946,-0.3995985587082299,14.899463763326919,57.672125903449825,0.00047958925256509383,72.17247069732115,45.119517211914065,45.11932783223815,1782401635.36489,1782401635.365146,1782401635.365423,1782401635.365664,1782401635.367379,1782401635.42352,1782401635.221695
11,39,1782401636.295793,-0.39958528257724363,14.898701133700591,57.61982199176877,0.0005456640425589708,72.11948350693467,45.42461090087891,45.42441257800086,1782401636.224453,1782401636.224664,1782401636.224914,1782401636.22509,1782401636.225817,1782401636.281489,1782401636.081263
12,44,1782401637.7061872,-0.399693707788799,14.877320692965148,57.7239735658395,0.0005579369689236836,72.2021584879847,45.93312042236328,45.932887154272045,1782401637.646298,1782401637.646552,1782401637.646789,1782401637.648565,1782401637.648699,1782401637.677483,1782401637.438523
13,48,1782401638.8695335,-0.399699479048343,14.87381289458617,53.49607783713132,0.0004867572731582479,67.9706780099426,46.33985626220703,46.339666815289,1782401638.767482,1782401638.767719,1782401638.767978,1782401638.768261,1782401638.768534,1782401638.846528,1782401638.6444
14,54,1782401640.5640202,-0.39968419973178465,14.91266529922205,1.1005428574659695,0.000494862260699261,15.614018819216911,46.950044555664064,46.94983630681442,1782401640.472207,1782401640.472492,1782401640.472779,1782401640.473006,1782401640.473256,1782401640.552485,1782401640.351848
15,59,1782401641.9577627,-0.39970779710887155,14.964842869165103,1.1002081694973354,0.0005352531331812585,15.66587849468677,47.45879425048828,47.45831088308561,1782401641.88142,1782401641.881688,1782401641.881921,1782401641.88209,1782401641.882311,1782401641.888483,1782401641.73429
16,1,1782401624.6791842,-0.39945745699747787,15.179292234777765,1.100204405661494,0.000482117126826644,15.880521300568587,41.55979797363281,41.560005798339844,1782401624.569252,1782401624.569581,1782401624.569963,1782401624.570199,1782401624.57066,1782401624.568519,1782401623.99238
17,6,1782401625.9067788,-0.3994966256051524,15.182505109980925,1.1001368368395792,0.00035222431142713413,15.883497545526822,42.0689306640625,42.06848037461103,1782401625.83916,1782401625.839547,1782401625.839781,1782401625.840188,1782401625.840911,1782401625.894523,1782401625.739105
18,11,1782401627.3691812,-0.39955541649527615,14.931902333644377,1.100270808245395,0.0005460692174553428,15.633163794611933,42.57715057373047,42.57695495088222,1782401627.27937,1782401627.279715,1782401627.279907,1782401627.280137,1782401627.280257,1782401627.356513,1782401627.156753
19,13,1782401628.6746192,-0.39969400566025887,14.848199263620117,1.1006306559746282,0.00048786256644173107,15.54962377650092,42.78054870605469,42.78034478139069,1782401628.596182,1782401628.596998,1782401628.597223,1782401628.597517,1782401628.597744,1782401628.667481,1782401628.466108
20,17,1782401630.149021,-0.39947924927351447,14.84228590499397,1.1008809830812651,0.00039824741289140977,15.544085886214608,43.18733764648437,43.187124442407644,1782401630.037827,1782401630.038003,1782401630.038218,1782401630.038344,1782401630.038873,1782401630.101513,1782401629.900866
21,23,1782401631.7940505,-0.3996081352756794,15.108681966346394,57.90835132918403,0.0002578721866618841,72.61768303244143,43.79748321533203,43.79729393393306,1782401631.771621,1782401631.771827,1782401631.772155,1782401631.772438,1782401631.772627,1782401631.786474,1782401631.585919
22,27,1782401632.912375,-0.3998163131712217,14.98942724803778,57.728108733057155,0.0004181009828135944,72.31813776890652,44.204278564453126,44.20407359495002,1782401632.864618,1782401632.865124,1782401632.865408,1782401632.865698,1782401632.866071,1782401632.890527,1782401632.664581
23,38,1782401636.0230165,-0.3996416219852461,14.80969987308864,57.7457554096329,0.0006098321271581612,72.15642349286341,45.32291107177735,45.322717662746626,1782401635.930566,1782401635.93097,1782401635.931181,1782401635.9313,1782401635.932185,1782401636.016532,1782401635.815707
24,42,1782401637.0517764,-0.3997246730164558,14.881391526497925,57.695304371631195,0.00045601760712326753,72.17742724271983,45.72997863769531,45.729497323763574,1782401636.96898,1782401636.969269,1782401636.969414,1782401636.969596,1782401636.970011,1782401636.996528,1782401636.84216
25,50,1782401639.4446514,-0.39970760349242274,14.95229820761615,1.1013707643219868,0.0004626270226203215,15.654423995468292,46.5432568359375,46.54305664579747,1782401639.326564,1782401639.326805,1782401639.327049,1782401639.327605,1782401639.327979,1782401639.394526,1782401639.193569
26,53,1782401640.3009968,-0.3997352340490815,14.863995527657957,1.1006431613825145,0.0004118788668498361,15.565315333858253,46.848374633789064,46.84814139156018,1782401640.246723,1782401640.246953,1782401640.247162,1782401640.247341,1782401640.247821,1782401640.24248,1782401640.047812
27,56,1782401641.1168535,-0.39966229724330843,14.934082977732176,1.1002052948621228,0.0005099043787270375,15.635135879729733,47.15345001220703,47.153226137322896,1782401641.045742,1782401641.045911,1782401641.046086,1782401641.046636,1782401641.04704,1782401641.110513,1782401640.908928
28,4,1782401625.4284768,-0.39956986475045764,15.073130318062056,1.1002221688218614,0.00036577830547890235,15.774148400438921,41.86554443359375,41.86509054410256,1782401625.399454,1782401625.399735,1782401625.400052,1782401625.400499,1782401625.401326,1782401625.421546,1782401625.268738
29,8,1782401626.485558,-0.3995385525025487,15.01650804732797,1.1001970209768477,0.00037760285815314516,15.717544118660397,42.27206512451172,42.271870205119505,1782401626.411057,1782401626.411184,1782401626.411396,1782401626.411567,1782401626.411953,1782401626.479521,1782401626.285477
30,10,1782401627.0154998,-0.399483152879003,14.960195594879561,1.1002931916743743,0.00047813092086087584,15.661483764595793,42.47575927734375,42.47526003562798,1782401626.937404,1782401626.937699,1782401626.937894,1782401626.938136,1782401626.938338,1782401626.962515,1782401626.81003
31,12,1782401627.9068828,-0.39950760514717915,14.840561051268747,1.1002728979413496,0.00047156619377150934,15.54179791025672,42.67914733886719,42.67864986613645,1782401627.865611,1782401627.86589,1782401627.866162,1782401627.866431,1782401627.86706,1782401627.887522,1782401627.734399
32,14,1782401629.2912312,-0.3997102456122754,14.863773590520609,1.1007784420133766,0.000329473443073177,15.565171260364792,42.882249145507814,42.88203969664493,1782401629.283434,1782401629.283631,1782401629.283856,1782401629.284049,1782401629.284992,1782401629.284531,1782401629.084243
33,16,1782401629.8412614,-0.39968633398079884,14.940665126792387,1.1007797720907062,0.00030805875810908945,15.6420666236604,43.08566040039062,43.0854295271534,1782401629.750545,1782401629.750901,1782401629.751077,1782401629.751317,1782401629.751756,1782401629.833508,1782401629.632034
34,26,1782401632.5563724,-0.3997834907150092,14.934735383545375,57.7511731586512,0.00034294103953674777,72.28646799252108,44.10287384033203,44.102378679695775,1782401632.489997,1782401632.490301,1782401632.490491,1782401632.490766,1782401632.49145,1782401632.515485,1782401632.360852
35,29,1782401633.4953043,-0.39970757817334807,14.969543765846243,57.86887901009822,0.0004821260645081827,72.43919732383557,44.40767730712891,44.40746342545849,1782401633.473371,1782401633.47355,1782401633.473715,1782401633.473846,1782401633.474129,1782401633.466524,1782401633.265026
36,32,1782401634.36762,-0.3998375454489134,14.914190558474726,57.728398600547735,0.00048770019856046477,72.24323931377218,44.71276306152344,44.7125481712212,1782401634.276582,1782401634.276766,1782401634.277074,1782401634.277383,1782401634.280579,1782401634.357534,1782401634.156991
37,35,1782401635.1603317,-0.3996198192837104,14.730352133196048,57.616956494324384,0.0003876249783839725,71.94807643321509,45.01807312011719,45.017632916983914,1782401635.087434,1782401635.087682,1782401635.087871,1782401635.088145,1782401635.089929,1782401635.14848,1782401634.994262
38,37,1782401635.7360878,-0.3995940787214666,14.943843743242855,57.825624911786676,0.0005691865307523414,72.37044376283893,45.22120880126953,45.221022747492384,1782401635.72301,1782401635.723254,1782401635.723491,1782401635.723707,1782401635.724075,1782401635.696516,1782401635.496094
39,41,1782401636.7881367,-0.39962069502580316,14.874827251569624,57.73681605374908,0.00046869123954358075,72.21249130153224,45.628028869628906,45.62780240850934,1782401636.704457,1782401636.704867,1782401636.705064,1782401636.705279,1782401636.705527,1782401636.762485,1782401636.564083
40,47,1782401638.564932,-0.3997233459991001,14.805399654863496,57.770092273884366,0.0005351756732745989,72.1763037584221,46.23847106933594,46.23797190003476,1782401638.546064,1782401638.54636,1782401638.546594,1782401638.546783,1782401638.547094,1782401638.551535,1782401638.399421
41,52,1782401639.991252,-0.3997104958243015,14.856196448119787,1.1008596526922303,0.0004729783474544504,15.557818583335179,46.74665435791016,46.74644647630595,1782401639.878198,1782401639.878468,1782401639.878696,1782401639.878878,1782401639.879212,1782401639.916533,1782401639.714977
42,58,1782401641.681166,-0.39967649677582107,14.968413227005637,1.1002874721929188,0.00047974864121918176,15.669503951063923,47.35682403564453,47.356615967831374,1782401641.607787,1782401641.60826,1782401641.60842,1782401641.608625,1782401641.609226,1782401641.676537,1782401641.476514
43,19,1782401630.7743123,-0.3995848908762736,14.935371404737669,24.531531998659144,0.00037327850990253697,39.06769672080307,43.390975646972656,43.390514272916114,1782401630.747068,1782401630.63081,1782401630.631031,1782401630.63126,1782401630.63166,1782401630.66251,1782401630.507641
44,25,1782401632.2968512,-0.3996502706830978,14.931494207633454,57.77233621115034,0.00045274343645332663,72.30463289153722,44.00088348388672,44.00068376444154,1782401632.204653,1782401632.204853,1782401632.205096,1782401632.205388,1782401632.205519,1782401632.265535,1782401632.06421
45,28,1782401633.187773,-0.3997225477035861,15.005296498114097,57.70389751717449,0.00041725637190829156,72.30988872395702,44.30597137451172,44.30576851020425,1782401633.108798,1782401633.109043,1782401633.109434,1782401633.109725,1782401633.110016,1782401633.172477,1782401632.972204
46,30,1782401633.7986906,-0.39974423125653974,14.993658948757414,57.780666889093816,0.0004640376866896727,72.37504564428133,44.509380187988285,44.50915834071272,1782401633.786034,1782401633.786358,1782401633.786572,1782401633.786709,1782401633.787143,1782401633.77448,1782401633.572808
47,34,1782401634.9021924,-0.3996613887353545,14.79903795342969,57.68480788394272,0.000499256620788579,72.08468370525772,44.91612670898438,44.91593800172968,1782401634.873591,1782401634.873728,1782401634.873909,1782401634.874081,1782401634.87487,1782401634.88252,1782401634.680822
48,40,1782401636.5070765,-0.3996054886877546,14.817997938808068,57.74170640104145,0.0005229087053642457,72.160621759867,45.52659423828125,45.5261074932551,1782401636.495375,1782401636.49555,1782401636.495787,1782401636.495992,1782401636.496516,1782401636.50253,1782401636.348411
49,45,1782401638.0916107,-0.3997972210999726,14.936300859594768,57.56243216376597,0.0006533482089511387,72.09958915046971,46.03480102539063,46.03458206952629,1782401638.002962,1782401638.003354,1782401638.003549,1782401638.003766,1782401638.004087,1782401638.085481,1782401637.887334
50,51,1782401639.6659362,-0.39974850720135263,14.822256450725483,1.1007201896905503,0.0005069191930934801,15.52373505240778,46.64523895263672,46.644751561051706,1782401639.607969,1782401639.608281,1782401639.608496,1782401639.608739,1782401639.609025,1782401639.658481,1782401639.502893
51,57,1782401641.4218292,-0.39974056445886386,14.954176480973208,1.1002615349403086,0.0005462732945171172,15.655243724749145,47.25513153076172,47.25492105257713,1782401641.411714,1782401641.411935,1782401641.412116,1782401641.412305,1782401641.413203,1782401641.413477,1782401641.211734
52,60,1782401642.2730587,-0.3997408057347461,15.109627805824413,1.100313981393678,0.0005262216059875158,15.810727203089348,47.56021240234375,47.560005798339844,1782401642.25329,1782401642.253482,1782401642.253622,1782401642.253791,1782401642.254854,1782401642.265625,1782401642.049901
53,20,1782401631.0497608,-0.39964130326278524,14.95958042684111,57.70229581362968,0.00040346106045500757,72.26263839826848,43.49240173339844,43.49220918817035,1782401631.03444,1782401631.034632,1782401631.034769,1782401631.034964,1782401631.03576,1782401631.038518,1782401630.832817
54,22,1782401631.4802742,-0.3995538079893883,14.962511784467415,57.885973863953865,0.0002404630726402318,72.4491723035046,43.69609619140625,43.69559901867883,1782401631.458625,1782401631.458832,1782401631.459192,1782401631.459384,1782401631.460244,1782401631.47252,1782401631.317959
55,31,1782401634.0624804,-0.3997649914079667,14.934508977875046,57.63274381216296,0.0004614621447932547,72.1679492607747,44.61107116699219,44.610853255966965,1782401633.974535,1782401633.974731,1782401633.974975,1782401633.97516,1782401633.975358,1782401634.05651,1782401633.85667
